File Name	Subject Description	Motion Description	KeyWords	Number of Frames	Frame Rate	Length (s)
03_04.amc	walk on uneven terrain	walk on uneven terrain	['walk']	1967	120	16.391666666666666
05_01.amc	modern dance	walk	['walk']	248	120	2.066666666666667
05_02.amc	modern dance	dance - expressive arms, pirouette	['dance']	467	120	3.8916666666666666
05_03.amc	modern dance	dance - sideways arabesque, turn step, folding arms	['dance', 'turn']	180	120	1.5
05_04.amc	modern dance	dance - sideways arabesque, folding arms, bending back	['dance']	499	120	4.158333333333333
05_05.amc	modern dance	dance - quasi-cou-de-pied, raised leg above hip-height, jete en tourant	['dance']	380	120	3.1666666666666665
05_06.amc	modern dance	dance - cartwheel-like start, pirouettes, jete	['dance']	368	120	3.066666666666667
05_07.amc	modern dance	dance - small jetes, attitude/arabesque, shifted-axis pirouette, turn	['dance', 'turn']	495	120	4.125
05_08.amc	modern dance	dance - rond de jambe in the air, jete, turn	['dance', 'turn']	300	120	2.5
05_09.amc	modern dance	dance - glissade devant, glissade derriere, attitude/arabesque	['dance']	475	120	3.9583333333333335
05_10.amc	modern dance	dance - glissade devant, glissade derriere, attitude/arabesque	['dance']	340	120	2.8333333333333335
05_11.amc	modern dance	dance - sideways steps, pirouette	['dance']	245	120	2.0416666666666665
05_12.amc	modern dance	dance - arms held high, pointe tendue a terre, upper body rotation	['dance']	563	120	4.691666666666666
05_13.amc	modern dance	dance - small jetes, pirouette	['dance']	455	120	3.7916666666666665
05_14.amc	modern dance	dance - retire derriere, attitude/arabesque	['dance']	267	120	2.225
05_15.amc	modern dance	dance - retire derriere, attitude/arabesque	['dance']	224	120	1.8666666666666667
05_16.amc	modern dance	dance - coupe dessous, jete en tourant	['dance']	218	120	1.8166666666666667
05_17.amc	modern dance	dance - coupe dessous, grand jete en tourant	['dance']	434	120	3.6166666666666667
05_18.amc	modern dance	dance - attitude/arabesque, jete en tourant, bending back	['dance']	761	120	6.341666666666667
05_19.amc	modern dance	dance - attitude/arabesque, jete en tourant, bending back	['dance']	357	120	2.975
05_20.amc	modern dance	dance - attitude/arabesque, jete en tourant, bending back	['dance']	455	120	3.7916666666666665
06_01.amc	dribble, shoot basketball	walk	['walk']	205	120	1.7083333333333333
06_02.amc	dribble, shoot basketball	basketball - forward dribble	[]	300	120	2.5
06_03.amc	dribble, shoot basketball	basketball - forward dribble	[]	219	120	1.825
06_04.amc	dribble, shoot basketball	basketball - forward dribble	[]	164	120	1.3666666666666667
06_05.amc	dribble, shoot basketball	basketball - forward dribble	[]	160	120	1.3333333333333333
06_06.amc	dribble, shoot basketball	basketball - backward dribble	[]	167	120	1.3916666666666666
06_07.amc	dribble, shoot basketball	basketball - backward dribble	[]	239	120	1.9916666666666667
06_08.amc	dribble, shoot basketball	basketball - sideways dribble	[]	142	120	1.1833333333333333
06_09.amc	dribble, shoot basketball	basketball - sideways dribble	[]	125	120	1.0416666666666667
06_10.amc	dribble, shoot basketball	basketball - forward dribble, 90-degree left turns	['turn']	463	120	3.8583333333333334
06_11.amc	dribble, shoot basketball	basketball - forward dribble, 90-degree right turns	['turn']	477	120	3.975
06_12.amc	dribble, shoot basketball	basketball - forward dribble, 90-degree right turns, crossover dribble	['turn']	508	120	4.233333333333333
06_13.amc	dribble, shoot basketball	basketball - low, fast free style dribble, dribble through legs	[]	2043	120	17.025
06_14.amc	dribble, shoot basketball	basketball - crossover dribble, shoot	[]	199	120	1.6583333333333334
06_15.amc	dribble, shoot basketball	basketball - dribble, shoot	[]	226	120	1.8833333333333333
07_01.amc	walk	walk	['walk']	131	120	1.0916666666666666
07_02.amc	walk	walk	['walk']	136	120	1.1333333333333333
07_03.amc	walk	walk	['walk']	172	120	1.4333333333333333
07_04.amc	walk	slow walk	['walk']	186	120	1.55
07_05.amc	walk	slow walk	['walk']	215	120	1.7916666666666667
07_06.amc	walk	walk	['walk']	173	120	1.4416666666666667
07_07.amc	walk	walk	['walk']	157	120	1.3083333333333333
07_08.amc	walk	walk	['walk']	150	120	1.25
07_09.amc	walk	walk	['walk']	127	120	1.0583333333333333
07_10.amc	walk	walk	['walk']	125	120	1.0416666666666667
07_11.amc	walk	walk	['walk']	130	120	1.0833333333333333
07_12.amc	walk	brisk walk	['walk']	109	120	0.9083333333333333
08_01.amc	walk	walk	['walk']	114	120	0.95
08_02.amc	walk	walk	['walk']	128	120	1.0666666666666667
08_03.amc	walk	walk	['walk']	146	120	1.2166666666666666
08_04.amc	walk	slow walk	['walk']	201	120	1.675
08_05.amc	walk	walk/stride	['walk']	123	120	1.025
08_06.amc	walk	walk	['walk']	122	120	1.0166666666666666
08_07.amc	walk	walk, exaggerated stride	['walk']	125	120	1.0416666666666667
08_08.amc	walk	walk	['walk']	117	120	0.975
08_09.amc	walk	walk	['walk']	121	120	1.0083333333333333
08_10.amc	walk	walk	['walk']	114	120	0.95
08_11.amc	walk	slow walk/stride	['walk']	155	120	1.2916666666666667
09_01.amc	run	run	['run']	61	120	0.5083333333333333
09_02.amc	run	run	['run']	53	120	0.44166666666666665
09_03.amc	run	run	['run']	52	120	0.43333333333333335
09_04.amc	run	run	['run']	56	120	0.4666666666666667
09_05.amc	run	run	['run']	59	120	0.49166666666666664
09_06.amc	run	run	['run']	58	120	0.48333333333333334
09_07.amc	run	run	['run']	57	120	0.475
09_08.amc	run	run	['run']	52	120	0.43333333333333335
09_09.amc	run	run	['run']	62	120	0.5166666666666667
09_10.amc	run	run	['run']	54	120	0.45
09_11.amc	run	run	['run']	68	120	0.5666666666666667
09_12.amc	run	navigate - walk forward, backward, sideways	['walk']	798	120	6.65
10_01.amc	kick soccer ball	soccer - kick ball	['kick']	333	120	2.775
10_02.amc	kick soccer ball	soccer - kick ball	['kick']	245	120	2.0416666666666665
10_03.amc	kick soccer ball	soccer - kick ball	['kick']	150	120	1.25
10_04.amc	kick soccer ball	walk	['walk']	228	120	1.9
10_05.amc	kick soccer ball	soccer - kick ball	['kick']	181	120	1.5083333333333333
10_06.amc	kick soccer ball	soccer - kick ball	['kick']	237	120	1.975
11_01.amc	kick soccer ball	soccer - kick ball	['kick']	248	120	2.066666666666667
12_01.amc	tai chi, walk	walk	['walk']	217	120	1.8083333333333333
12_02.amc	tai chi, walk	walk	['walk']	279	120	2.325
12_03.amc	tai chi, walk	walk	['walk']	235	120	1.9583333333333333
12_04.amc	tai chi, walk	tai chi	[]	7415	120	61.791666666666664
13_01.amc	various everyday behaviors	sit on high stool, stand up	['sit', 'stand']	963	120	8.025
13_02.amc	various everyday behaviors	sit on high stool, stand up	['sit', 'stand']	1448	120	12.066666666666666
13_03.amc	various everyday behaviors	sit on high stool, stand up	['sit', 'stand']	1547	120	12.891666666666667
13_04.amc	various everyday behaviors	sit on stepstool, chin in hand	['sit']	1982	120	16.516666666666666
13_05.amc	various everyday behaviors	sit on stepstool, hands against chin, fidget, stand up	['sit', 'stand']	1834	120	15.283333333333333
13_06.amc	various everyday behaviors	sit on stepstool, hands against chin, elbow out, stand up	['sit', 'stand']	1838	120	15.316666666666666
13_07.amc	various everyday behaviors	unscrew bottlecap, drink soda	[]	604	120	5.033333333333333
13_08.amc	various everyday behaviors	unscrew bottlecap, drink soda, screw on bottlecap	[]	667	120	5.558333333333334
13_09.amc	various everyday behaviors	drink soda	[]	458	120	3.816666666666667
13_10.amc	various everyday behaviors	jump up to grab, reach for, tiptoe	['jump']	997	120	8.308333333333334
13_11.amc	various everyday behaviors	forward jump	['jump']	172	120	1.4333333333333333
13_12.amc	various everyday behaviors	jump up to grab, reach for, tiptoe	['jump']	1430	120	11.916666666666666
13_13.amc	various everyday behaviors	forward jump	['jump']	182	120	1.5166666666666666
13_14.amc	various everyday behaviors	laugh	[]	1009	120	8.408333333333333
13_15.amc	various everyday behaviors	laugh	[]	992	120	8.266666666666667
13_16.amc	various everyday behaviors	laugh	[]	947	120	7.891666666666667
13_17.amc	various everyday behaviors	boxing	[]	2016	120	16.8
13_18.amc	various everyday behaviors	boxing	[]	1249	120	10.408333333333333
13_19.amc	various everyday behaviors	forward jump	['jump']	177	120	1.475
13_20.amc	various everyday behaviors	wash windows	[]	2382	120	19.85
13_21.amc	various everyday behaviors	wash windows	[]	2265	120	18.875
13_22.amc	various everyday behaviors	wash windows	[]	2067	120	17.225
13_23.amc	various everyday behaviors	sweep floor	[]	1673	120	13.941666666666666
13_24.amc	various everyday behaviors	sweep floor	[]	1680	120	14.0
13_25.amc	various everyday behaviors	sweep floor	[]	1670	120	13.916666666666666
13_26.amc	various everyday behaviors	direct traffic, wave	[]	1261	120	10.508333333333333
13_27.amc	various everyday behaviors	direct traffic, wave, point	[]	1736	120	14.466666666666667
13_28.amc	various everyday behaviors	direct traffic, wave, point	[]	1716	120	14.3
13_29.amc	various everyday behaviors	jumping jacks, side twists, bend over, squats	['jump']	1912	120	15.933333333333334
13_30.amc	various everyday behaviors	jumping jacks, side twists, squats, jog	['jump']	1026	120	8.55
13_31.amc	various everyday behaviors	jumping jacks, side twists, bend over, jog	['jump']	1256	120	10.466666666666667
13_32.amc	various everyday behaviors	forward jump	['jump']	139	120	1.1583333333333334
13_33.amc	various everyday behaviors	climb ladder	['climb']	624	120	5.2
13_34.amc	various everyday behaviors	climb ladder	['climb']	590	120	4.916666666666667
13_35.amc	various everyday behaviors	climb 3 steps	['climb']	500	120	4.166666666666667
13_36.amc	various everyday behaviors	climb 3 steps	['climb']	574	120	4.783333333333333
13_37.amc	various everyday behaviors	climb 3 steps	['climb']	615	120	5.125
13_38.amc	various everyday behaviors	climb 3 steps	['climb']	517	120	4.308333333333334
13_39.amc	various everyday behaviors	jump	['jump']	145	120	1.2083333333333333
13_40.amc	various everyday behaviors	jump	['jump']	132	120	1.1
13_41.amc	various everyday behaviors	jump	['jump']	153	120	1.275
13_42.amc	various everyday behaviors	jump	['jump']	166	120	1.3833333333333333
14_01.amc	various everyday behaviors	boxing	[]	2330	120	19.416666666666668
14_02.amc	various everyday behaviors	boxing	[]	2259	120	18.825
14_03.amc	various everyday behaviors	boxing	[]	2306	120	19.216666666666665
14_04.amc	various everyday behaviors	drink soda, screw on bottlecap	[]	315	120	2.625
14_05.amc	various everyday behaviors	unscrew bottlecap, drink soda	[]	352	120	2.933333333333333
14_06.amc	various everyday behaviors	jumping jacks, jog, squats, side twists, stretches	['jump']	2231	120	18.591666666666665
14_07.amc	various everyday behaviors	jump up to grab, reach for, tiptoe	['jump']	923	120	7.691666666666666
14_08.amc	various everyday behaviors	jump up to grab, reach for, tiptoe	['jump']	1093	120	9.108333333333333
14_09.amc	various everyday behaviors	jump up to grab, reach for, tiptoe	['jump']	1369	120	11.408333333333333
14_10.amc	various everyday behaviors	wash windows	[]	1765	120	14.708333333333334
14_11.amc	various everyday behaviors	wash windows	[]	1764	120	14.7
14_12.amc	various everyday behaviors	wash windows	[]	1146	120	9.55
14_13.amc	various everyday behaviors	mop floor	[]	1359	120	11.325
14_14.amc	various everyday behaviors	jumping jacks, jog, squats, side twists, stretches	['jump']	1938	120	16.15
14_15.amc	various everyday behaviors	mop floor	[]	1905	120	15.875
14_16.amc	various everyday behaviors	sweep floor	[]	2396	120	19.966666666666665
14_17.amc	various everyday behaviors	laugh	[]	1041	120	8.675
14_18.amc	various everyday behaviors	laugh	[]	1322	120	11.016666666666667
14_19.amc	various everyday behaviors	laugh	[]	1135	120	9.458333333333334
14_20.amc	various everyday behaviors	jumping jacks, side twists, reach up, bend over	['jump']	1934	120	16.116666666666667
14_21.amc	various everyday behaviors	climb 3 steps	['climb']	506	120	4.216666666666667
14_22.amc	various everyday behaviors	climb 3 steps	['climb']	506	120	4.216666666666667
14_23.amc	various everyday behaviors	climb 3 steps	['climb']	550	120	4.583333333333333
14_24.amc	various everyday behaviors	direct traffic, wave, point	[]	1542	120	12.85
14_25.amc	various everyday behaviors	direct traffic, wave, point	[]	1848	120	15.4
14_26.amc	various everyday behaviors	direct traffic, wave, point	[]	1966	120	16.383333333333333
14_27.amc	various everyday behaviors	sit on high stool, stand up	['sit', 'stand']	896	120	7.466666666666667
14_28.amc	various everyday behaviors	sit on high stool, stand up	['sit', 'stand']	855	120	7.125
14_29.amc	various everyday behaviors	sit on stepstool, stand up, swing legs	['sit', 'stand']	1050	120	8.75
14_30.amc	various everyday behaviors	sit on stepstool, ankle on other knee, hand on chin	['sit']	1071	120	8.925
14_31.amc	various everyday behaviors	sit on stepstool, stand up	['sit', 'stand']	872	120	7.266666666666667
14_32.amc	various everyday behaviors	sit on stepstool, stand up	['sit', 'stand']	1098	120	9.15
14_33.amc	various everyday behaviors	climb ladder	['climb']	577	120	4.808333333333334
14_34.amc	various everyday behaviors	climb ladder	['climb']	596	120	4.966666666666667
14_35.amc	various everyday behaviors	climb ladder	['climb']	672	120	5.6
14_36.amc	various everyday behaviors	sit on stepstool, stand up	['sit', 'stand']	872	120	7.266666666666667
14_37.amc	various everyday behaviors	drink soda	[]	213	120	1.775
15_01.amc	various everyday behaviors, dance moves	walk/wander	['walk']	2301	120	19.175
15_02.amc	various everyday behaviors, dance moves	climb, step over, sit on, stand on stepstool	['climb', 'sit', 'stand']	9151	120	76.25833333333334
15_03.amc	various everyday behaviors, dance moves	walk/wander	['walk']	5228	120	43.56666666666667
15_04.amc	various everyday behaviors, dance moves	wash windows, paint; hand signals; dance - Egyptian walk, the Dive, the Twist, the Cabbage Patch; boxing	['dance', 'walk']	9395	120	78.29166666666667
15_05.amc	various everyday behaviors, dance moves	wash windows, paint; hand signals; dance - Egyptian walk, the Dive, the Twist, the Cabbage Patch; boxing	['dance', 'walk']	9561	120	79.675
15_06.amc	various everyday behaviors, dance moves	lean forward, reach for	[]	1501	120	12.508333333333333
15_07.amc	various everyday behaviors, dance moves	lean forward, tiptoe, reach for	[]	2290	120	19.083333333333332
15_08.amc	various everyday behaviors, dance moves	hand signals - horizontally revolve forearms	[]	1607	120	13.391666666666667
15_09.amc	various everyday behaviors, dance moves	walk/wander	['walk']	3280	120	27.333333333333332
15_10.amc	various everyday behaviors, dance moves	sit on high stool, stand up	['sit', 'stand']	1158	120	9.65
15_11.amc	various everyday behaviors, dance moves	wash windows, paint figure eights; hand signals	[]	3913	120	32.608333333333334
15_12.amc	various everyday behaviors, dance moves	wash windows; basketball - dribble, lay-up shot, pass; throw ball; dance - Egyptian walk, the Dive, the Twist; strew	['dance', 'throw', 'walk']	3785	120	31.541666666666668
15_13.amc	various everyday behaviors, dance moves	boxing	[]	3887	120	32.391666666666666
15_14.amc	various everyday behaviors, dance moves	walk/wander	['walk']	3750	120	31.25
16_01.amc	run, jump, walk	jump	['jump']	133	120	1.1083333333333334
16_02.amc	run, jump, walk	jump	['jump']	193	120	1.6083333333333334
16_03.amc	run, jump, walk	high jump	['jump']	170	120	1.4166666666666667
16_04.amc	run, jump, walk	high jump	['jump']	157	120	1.3083333333333333
16_05.amc	run, jump, walk	forward jump	['jump']	122	120	1.0166666666666666
16_06.amc	run, jump, walk	forward jump	['jump']	169	120	1.4083333333333334
16_07.amc	run, jump, walk	forward jump	['jump']	175	120	1.4583333333333333
16_08.amc	run, jump, walk	run/jog, sudden stop	['run']	99	120	0.825
16_09.amc	run, jump, walk	forward jump	['jump']	206	120	1.7166666666666666
16_10.amc	run, jump, walk	forward jump	['jump']	191	120	1.5916666666666666
16_11.amc	run, jump, walk	walk, veer left	['walk']	222	120	1.85
16_12.amc	run, jump, walk	walk, veer left	['walk']	183	120	1.525
16_13.amc	run, jump, walk	walk, veer right	['walk']	184	120	1.5333333333333334
16_14.amc	run, jump, walk	walk, veer right	['walk']	197	120	1.6416666666666666
16_15.amc	run, jump, walk	walk	['walk']	195	120	1.625
16_16.amc	run, jump, walk	walk	['walk']	212	120	1.7666666666666666
16_17.amc	run, jump, walk	walk, 90-degree left turn	['turn', 'walk']	215	120	1.7916666666666667
16_18.amc	run, jump, walk	walk, 90-degree left turn	['turn', 'walk']	216	120	1.8
16_19.amc	run, jump, walk	walk, 90-degree right turn	['turn', 'walk']	170	120	1.4166666666666667
16_20.amc	run, jump, walk	walk, 90-degree right turn	['turn', 'walk']	209	120	1.7416666666666667
16_21.amc	run, jump, walk	walk	['walk']	129	120	1.075
16_22.amc	run, jump, walk	walk	['walk']	127	120	1.0583333333333333
16_23.amc	run, jump, walk	walk, veer left	['walk']	124	120	1.0333333333333334
16_24.amc	run, jump, walk	walk, veer left	['walk']	123	120	1.025
16_25.amc	run, jump, walk	walk, veer right	['walk']	117	120	0.975
16_26.amc	run, jump, walk	walk, veer right	['walk']	111	120	0.925
16_27.amc	run, jump, walk	walk, 90-degree left turn	['turn', 'walk']	100	120	0.8333333333333334
16_28.amc	run, jump, walk	walk, 90-degree left turn	['turn', 'walk']	112	120	0.9333333333333333
16_29.amc	run, jump, walk	walk, 90-degree right turn	['turn', 'walk']	117	120	0.975
16_30.amc	run, jump, walk	walk, 90-degree right turn	['turn', 'walk']	110	120	0.9166666666666666
16_31.amc	run, jump, walk	walk	['walk']	176	120	1.4666666666666666
16_32.amc	run, jump, walk	walk	['walk']	241	120	2.0083333333333333
16_33.amc	run, jump, walk	slow walk, stop	['walk']	118	120	0.9833333333333333
16_34.amc	run, jump, walk	slow walk, stop	['walk']	144	120	1.2
16_35.amc	run, jump, walk	run/jog	['run']	67	120	0.5583333333333333
16_36.amc	run, jump, walk	run/jog	['run']	78	120	0.65
16_37.amc	run, jump, walk	run/jog, veer left	['run']	76	120	0.6333333333333333
16_38.amc	run, jump, walk	run/jog, veer left	['run']	69	120	0.575
16_39.amc	run, jump, walk	run/jog, veer right	['run']	60	120	0.5
16_40.amc	run, jump, walk	run/jog, veer right	['run']	80	120	0.6666666666666666
16_41.amc	run, jump, walk	run/jog, 90-degree left turn	['run', 'turn']	66	120	0.55
16_42.amc	run, jump, walk	run/jog, 90-degree left turn	['run', 'turn']	85	120	0.7083333333333334
16_43.amc	run, jump, walk	run/jog, 90-degree right turn	['run', 'turn']	87	120	0.725
16_44.amc	run, jump, walk	run/jog, 90-degree right turn	['run', 'turn']	89	120	0.7416666666666667
16_45.amc	run, jump, walk	run/jog	['run']	55	120	0.4583333333333333
16_46.amc	run, jump, walk	run/jog	['run']	56	120	0.4666666666666667
16_47.amc	run, jump, walk	walk	['walk']	172	120	1.4333333333333333
16_48.amc	run, jump, walk	run, veer left	['run']	52	120	0.43333333333333335
16_49.amc	run, jump, walk	run, veer right	['run']	52	120	0.43333333333333335
16_50.amc	run, jump, walk	run, veer right	['run']	53	120	0.44166666666666665
16_51.amc	run, jump, walk	run, 90-degree left turn	['run', 'turn']	73	120	0.6083333333333333
16_52.amc	run, jump, walk	run, 90-degree left turn	['run', 'turn']	71	120	0.5916666666666667
16_53.amc	run, jump, walk	run, 90-degree right turn	['run', 'turn']	59	120	0.49166666666666664
16_54.amc	run, jump, walk	run, 90-degree right turn	['run', 'turn']	57	120	0.475
16_55.amc	run, jump, walk	run	['run']	75	120	0.625
16_56.amc	run, jump, walk	run/jog	['run']	69	120	0.575
16_57.amc	run, jump, walk	run/jog, sudden stop	['run']	111	120	0.925
16_58.amc	run, jump, walk	walk	['walk']	142	120	1.1833333333333333
17_01.amc	different walking styles	walk with anger, frustration	['walk']	2626	120	21.883333333333333
17_02.amc	different walking styles	walk with anger, frustration	['walk']	2650	120	22.083333333333332
17_03.amc	different walking styles	walk stealthily	['walk']	2646	120	22.05
17_04.amc	different walking styles	walk stealthily	['walk']	2659	120	22.158333333333335
17_05.amc	different walking styles	walk/hobble	['walk']	2640	120	22.0
17_06.amc	different walking styles	whistle, walk jauntily	['walk']	2582	120	21.516666666666666
17_07.amc	different walking styles	whistle, walk jauntily	['walk']	2677	120	22.308333333333334
17_08.amc	different walking styles	muscular, heavyset person's walk	['walk']	2574	120	21.45
17_09.amc	different walking styles	muscular, heavyset person's walk	['walk']	2532	120	21.1
17_10.amc	different walking styles	boxing	[]	1159	120	9.658333333333333
18_01.amc	human interaction and communication	walk, shake hands (2 subjects - subject A)	['walk']	125	120	1.0416666666666667
18_02.amc	human interaction and communication	walk, shake hands (2 subjects - subject A)	['walk']	125	120	1.0416666666666667
18_03.amc	human interaction and communication	A pulls B; B resists (2 subjects - subject A)	[]	246	120	2.05
18_04.amc	human interaction and communication	A pulls B; B resists (2 subjects - subject A)	[]	168	120	1.4
18_05.amc	human interaction and communication	A pulls B by the elbow; B resists (2 subjects - subject A)	[]	182	120	1.5166666666666666
18_06.amc	human interaction and communication	A pulls B by the elbow; B resists (2 subjects - subject A)	[]	169	120	1.4083333333333334
18_07.amc	human interaction and communication	navigate busy sidewalk; A leads the way, takes B by the arm (2 subjects - subject A)	['walk']	120	120	1.0
18_08.amc	human interaction and communication	conversation - explain with hand gestures (2 subjects - subject A)	[]	868	120	7.233333333333333
18_09.amc	human interaction and communication	conversation - explain with hand gestures, walk (2 subjects - subject A)	['walk']	96	120	0.8
18_10.amc	human interaction and communication	quarrel - angry hand gestures (2 subjects - subject A)	[]	751	120	6.258333333333334
18_11.amc	human interaction and communication	quarrel - angry hand gestures (2 subjects - subject A)	[]	795	120	6.625
18_12.amc	human interaction and communication	friends meet, hang out; A sits, B joins A (2 subjects - subject A)	['sit']	521	120	4.341666666666667
18_13.amc	human interaction and communication	run, scramble for last seat (2 subjects - subject A)	['run']	193	120	1.6083333333333334
18_14.amc	human interaction and communication	run, scramble for last seat (2 subjects - subject A)	['run']	137	120	1.1416666666666666
18_15.amc	human interaction and communication	chicken dance (2 subjects - subject A)	['dance']	639	120	5.325
19_01.amc	human interaction and communication	walk, shake hands (2 subjects - subject B)	['walk']	125	120	1.0416666666666667
19_02.amc	human interaction and communication	walk, shake hands (2 subjects - subject B)	['walk']	125	120	1.0416666666666667
19_03.amc	human interaction and communication	A pulls B; B resists (2 subjects - subject B)	[]	246	120	2.05
19_04.amc	human interaction and communication	A pulls B; B resists (2 subjects - subject B)	[]	168	120	1.4
19_05.amc	human interaction and communication	A pulls B by the elbow; B resists (2 subjects - subject B)	[]	182	120	1.5166666666666666
19_06.amc	human interaction and communication	A pulls B by the elbow; B resists (2 subjects - subject B)	[]	169	120	1.4083333333333334
19_07.amc	human interaction and communication	navigate busy sidewalk; A leads the way, takes B by the arm (2 subjects - subject B)	['walk']	120	120	1.0
19_08.amc	human interaction and communication	conversation - explain with hand gestures (2 subjects - subject B)	[]	868	120	7.233333333333333
19_09.amc	human interaction and communication	conversation - explain with hand gestures, walk (2 subjects - subject B)	['walk']	96	120	0.8
19_10.amc	human interaction and communication	quarrel - angry hand gestures (2 subjects - subject B)	[]	751	120	6.258333333333334
19_11.amc	human interaction and communication	quarrel - angry hand gestures (2 subjects - subject B)	[]	795	120	6.625
19_12.amc	human interaction and communication	friends meet, hang out; A sits, B joins A (2 subjects - subject B)	['sit']	521	120	4.341666666666667
19_13.amc	human interaction and communication	run, scramble for last seat (2 subjects - subject B)	['run']	193	120	1.6083333333333334
19_14.amc	human interaction and communication	run, scramble for last seat (2 subjects - subject B)	['run']	137	120	1.1416666666666666
19_15.amc	human interaction and communication	chicken dance (2 subjects - subject B)	['dance']	639	120	5.325
20_01.amc	human interaction - at play, formations	chicken dance (2 subjects - subject A)	['dance']	534	120	4.45
20_02.amc	human interaction - at play, formations	link arms, walk (2 subjects - subject A)	['walk']	94	120	0.7833333333333333
20_03.amc	human interaction - at play, formations	link arms, walk (2 subjects - subject A)	['walk']	113	120	0.9416666666666667
20_04.amc	human interaction - at play, formations	synchronized walk (2 subjects - subject A)	['walk']	102	120	0.85
20_05.amc	human interaction - at play, formations	synchronized walk (2 subjects - subject A)	['walk']	95	120	0.7916666666666666
20_06.amc	human interaction - at play, formations	soldiers march (2 subjects - subject A)	[]	120	120	1.0
20_07.amc	human interaction - at play, formations	soldiers march (2 subjects - subject A)	[]	100	120	0.8333333333333334
20_08.amc	human interaction - at play, formations	zombie march (2 subjects - subject A)	[]	88	120	0.7333333333333333
20_09.amc	human interaction - at play, formations	nursery rhyme - ring around the rosey (2 subjects - subject A)	[]	271	120	2.2583333333333333
20_10.amc	human interaction - at play, formations	360-degree two-person whip (2 subjects - subject A)	[]	215	120	1.7916666666666667
20_11.amc	human interaction - at play, formations	high-five, walk (2 subjects - subject A)	['walk']	96	120	0.8
20_12.amc	human interaction - at play, formations	low-five, walk (2 subjects - subject A)	['walk']	102	120	0.85
20_13.amc	human interaction - at play, formations	blind man's bluff (blindfold tag) (2 subjects - subject A)	[]	673	120	5.608333333333333
21_01.amc	human interaction - at play, formations	chicken dance (2 subjects - subject B)	['dance']	534	120	4.45
21_02.amc	human interaction - at play, formations	link arms, walk (2 subjects - subject B)	['walk']	94	120	0.7833333333333333
21_03.amc	human interaction - at play, formations	link arms, walk (2 subjects - subject B)	['walk']	113	120	0.9416666666666667
21_04.amc	human interaction - at play, formations	synchronized walk (2 subjects - subject B)	['walk']	102	120	0.85
21_05.amc	human interaction - at play, formations	synchronized walk (2 subjects - subject B)	['walk']	95	120	0.7916666666666666
21_06.amc	human interaction - at play, formations	soldiers march (2 subjects - subject B)	[]	120	120	1.0
