3.860993e-02 -6.128178e-01 2.766567e+00,3.865571e-02 -6.128973e-01 2.766580e+00,3.820338e-02 -6.141804e-01 2.766513e+00,3.786162e-02 -6.141737e-01 2.766408e+00,3.630167e-02 -6.131706e-01 2.765307e+00,2.994209e-02 -6.130861e-01 2.763819e+00,2.876890e-02 -6.128054e-01 2.763531e+00,2.495373e-02 -6.128999e-01 2.763123e+00,2.416686e-02 -6.127768e-01 2.762872e+00,2.442947e-02 -6.163250e-01 2.763443e+00,2.262513e-02 -6.211629e-01 2.763943e+00,2.282360e-02 -6.212654e-01 2.763941e+00,2.232607e-02 -6.245257e-01 2.763602e+00,2.100212e-02 -6.250466e-01 2.764199e+00,2.082716e-02 -6.252082e-01 2.764055e+00,2.076009e-02 -6.280681e-01 2.763730e+00,2.021923e-02 -6.310966e-01 2.763893e+00,1.976991e-02 -6.314192e-01 2.763995e+00,2.118099e-02 -6.274269e-01 2.764456e+00,2.160360e-02 -6.258141e-01 2.764420e+00,2.165223e-02 -6.256878e-01 2.764409e+00,1.939260e-02 -6.144575e-01 2.766384e+00,1.907803e-02 -6.128815e-01 2.766484e+00,1.959482e-02 -6.131806e-01 2.766751e+00,1.918314e-02 -6.123397e-01 2.767237e+00,1.917100e-02 -6.118045e-01 2.767344e+00,1.894598e-02 -6.089413e-01 2.767895e+00,1.958840e-02 -6.081371e-01 2.768140e+00,1.972999e-02 -6.068072e-01 2.768626e+00,1.973270e-02 -6.067916e-01 2.768619e+00,1.964588e-02 -6.065311e-01 2.768714e+00,1.981535e-02 -6.063607e-01 2.768657e+00,1.979775e-02 -6.062445e-01 2.768664e+00,1.979338e-02 -6.061990e-01 2.768765e+00,2.001485e-02 -6.062664e-01 2.768754e+00,2.045608e-02 -6.064681e-01 2.768857e+00,2.038925e-02 -6.065449e-01 2.768846e+00,2.036443e-02 -6.066167e-01 2.768839e+00,2.151383e-02 -6.069477e-01 2.768825e+00,2.230276e-02 -6.080096e-01 2.768965e+00,2.749033e-02 -6.127406e-01 2.769076e+00,2.820393e-02 -6.129358e-01 2.769292e+00,3.076069e-02 -6.140774e-01 2.769923e+00,3.072731e-02 -6.144115e-01 2.770003e+00,3.058327e-02 -6.139198e-01 2.769962e+00,3.049978e-02 -6.137623e-01 2.769933e+00,3.052824e-02 -6.134635e-01 2.769691e+00,3.054542e-02 -6.134811e-01 2.769669e+00
2.176974e-01 -6.435363e-01 2.713478e+00,2.191628e-01 -6.419952e-01 2.707663e+00,2.185199e-01 -6.360569e-01 2.697225e+00,2.178505e-01 -6.098452e-01 2.686817e+00,2.037112e-01 -5.792365e-01 2.647950e+00,2.010639e-01 -4.659185e-01 2.548767e+00,1.860139e-01 -3.991406e-01 2.527542e+00,1.280741e-01 -2.551884e-01 2.522372e+00,1.095477e-01 -1.939424e-01 2.520325e+00,9.823088e-02 -1.604783e-01 2.530981e+00,2.644958e-02 -2.533315e-02 2.515962e+00,6.468525e-04 -5.815441e-03 2.506510e+00,-3.981054e-02 1.784653e-03 2.494836e+00,-8.280548e-02 3.476210e-02 2.477842e+00,-8.754572e-02 4.462118e-03 2.463814e+00,-1.043637e-01 -5.475331e-02 2.436670e+00,-9.776847e-02 -2.390677e-02 2.447999e+00,-3.578681e-02 -1.057997e-01 2.412983e+00,3.629399e-02 -9.085689e-02 2.397156e+00,1.221331e-01 -1.981298e-02 2.378514e+00,1.789017e-01 2.790891e-02 2.377949e+00,3.006752e-01 9.584097e-02 2.408449e+00,3.431900e-01 1.102317e-01 2.430195e+00,3.819084e-01 1.198853e-01 2.462974e+00,3.918846e-01 1.242370e-01 2.469565e+00,3.940614e-01 1.212422e-01 2.470330e+00,4.054084e-01 1.155465e-01 2.470828e+00,4.099132e-01 1.076181e-01 2.470201e+00,4.151402e-01 7.879303e-02 2.471495e+00,4.187042e-01 6.857245e-02 2.469446e+00,4.207642e-01 5.435166e-02 2.468315e+00,4.148112e-01 9.351669e-03 2.459598e+00,4.028212e-01 -3.303530e-02 2.460134e+00,3.751710e-01 -1.262991e-01 2.459603e+00,3.578025e-01 -1.837236e-01 2.460856e+00,3.447502e-01 -2.423475e-01 2.450545e+00,3.041245e-01 -3.812452e-01 2.511306e+00,2.864556e-01 -4.503073e-01 2.533420e+00,2.589393e-01 -5.536945e-01 2.598728e+00,2.467326e-01 -5.865169e-01 2.636525e+00,2.160190e-01 -6.108006e-01 2.687282e+00,2.081717e-01 -6.071004e-01 2.696876e+00,2.062947e-01 -6.080652e-01 2.703027e+00,2.088216e-01 -6.130599e-01 2.702667e+00,2.279927e-01 -6.333054e-01 2.699264e+00,2.184059e-01 -6.111802e-01 2.709862e+00,2.283482e-01 -6.384602e-01 2.714230e+00,2.247178e-01 -6.407504e-01 2.718084e+00
-2.962062e-02 -6.025486e-01 2.730140e+00,-2.958207e-02 -6.029259e-01 2.730065e+00,-3.040007e-02 -6.059496e-01 2.729872e+00,-3.068214e-02 -6.059568e-01 2.729748e+00,-3.240238e-02 -6.038433e-01 2.728885e+00,-3.873911e-02 -6.045536e-01 2.728498e+00,-3.982706e-02 -6.042224e-01 2.728685e+00,-4.350310e-02 -6.048331e-01 2.728905e+00,-4.497054e-02 -6.039370e-01 2.729887e+00,-4.491000e-02 -6.104919e-01 2.736690e+00,-4.739223e-02 -6.169204e-01 2.740803e+00,-4.703760e-02 -6.159979e-01 2.741642e+00,-4.760807e-02 -6.202550e-01 2.743996e+00,-4.998149e-02 -6.196681e-01 2.746266e+00,-5.010253e-02 -6.197977e-01 2.746635e+00,-4.991109e-02 -6.229186e-01 2.745702e+00,-4.942234e-02 -6.269816e-01 2.745607e+00,-4.952119e-02 -6.276258e-01 2.745856e+00,-4.648745e-02 -6.229020e-01 2.747000e+00,-4.624380e-02 -6.193357e-01 2.746655e+00,-4.593304e-02 -6.189920e-01 2.745627e+00,-4.866185e-02 -6.034143e-01 2.745171e+00,-4.886399e-02 -6.021029e-01 2.745750e+00,-4.748698e-02 -6.049790e-01 2.746102e+00,-4.755199e-02 -6.049432e-01 2.746175e+00,-4.752608e-02 -6.048312e-01 2.746042e+00,-4.798545e-02 -6.001905e-01 2.744624e+00,-4.747785e-02 -5.988716e-01 2.744445e+00,-4.781434e-02 -5.959963e-01 2.743501e+00,-4.800161e-02 -5.958227e-01 2.742885e+00,-4.830892e-02 -5.952251e-01 2.742502e+00,-4.822231e-02 -5.946804e-01 2.741341e+00,-4.837818e-02 -5.941974e-01 2.740575e+00,-4.857402e-02 -5.940413e-01 2.740182e+00,-4.836698e-02 -5.941114e-01 2.739834e+00,-4.804485e-02 -5.941890e-01 2.739728e+00,-4.822775e-02 -5.942261e-01 2.739388e+00,-4.836196e-02 -5.943395e-01 2.738869e+00,-4.708253e-02 -5.950096e-01 2.738384e+00,-4.592663e-02 -5.973081e-01 2.737953e+00,-4.017817e-02 -6.060345e-01 2.736491e+00,-3.964823e-02 -6.060722e-01 2.736599e+00,-3.714352e-02 -6.063883e-01 2.736081e+00,-3.728910e-02 -6.071422e-01 2.735935e+00,-3.762533e-02 -6.058295e-01 2.735628e+00,-3.789231e-02 -6.052269e-01 2.735459e+00,-3.792277e-02 -6.046867e-01 2.735042e+00,-3.789043e-02 -6.047567e-01 2.734981e+00
8.076966e-03 -9.234890e-01 2.745394e+00,7.760018e-03 -9.237584e-01 2.745356e+00,7.805235e-03 -9.238669e-01 2.745446e+00,7.804981e-03 -9.238591e-01 2.745441e+00,8.069595e-03 -9.235907e-01 2.745061e+00,8.125334e-03 -9.229977e-01 2.744510e+00,8.068413e-03 -9.232407e-01 2.744217e+00,8.388072e-03 -9.232204e-01 2.743711e+00,8.491034e-03 -9.231286e-01 2.743544e+00,9.376147e-03 -9.240195e-01 2.743783e+00,9.519438e-03 -9.243572e-01 2.743872e+00,1.005266e-02 -9.245061e-01 2.743998e+00,1.051716e-02 -9.247678e-01 2.744141e+00,1.079654e-02 -9.246925e-01 2.744212e+00,1.080262e-02 -9.246843e-01 2.744229e+00,1.164338e-02 -9.247007e-01 2.744146e+00,1.247087e-02 -9.290504e-01 2.745663e+00,1.282889e-02 -9.287663e-01 2.745402e+00,1.288482e-02 -9.282242e-01 2.745153e+00,1.295660e-02 -9.282442e-01 2.745149e+00,1.284290e-02 -9.279160e-01 2.745142e+00,1.312557e-02 -9.275449e-01 2.745311e+00,1.325707e-02 -9.269441e-01 2.745060e+00,1.528709e-02 -9.294453e-01 2.746513e+00,1.522478e-02 -9.291853e-01 2.746712e+00,1.492770e-02 -9.287711e-01 2.746951e+00,1.477462e-02 -9.283317e-01 2.747060e+00,1.452879e-02 -9.278684e-01 2.747057e+00,1.413001e-02 -9.268994e-01 2.747249e+00,1.436337e-02 -9.271260e-01 2.747610e+00,1.400870e-02 -9.269065e-01 2.747737e+00,1.378621e-02 -9.265217e-01 2.747649e+00,1.320267e-02 -9.253710e-01 2.747554e+00,1.299283e-02 -9.255447e-01 2.747889e+00,1.302755e-02 -9.255888e-01 2.747929e+00,1.223030e-02 -9.253541e-01 2.748065e+00,1.205400e-02 -9.254558e-01 2.748148e+00,1.524461e-02 -9.316546e-01 2.749159e+00,1.345420e-02 -9.299726e-01 2.747566e+00,1.326651e-02 -9.300869e-01 2.747528e+00,1.206119e-02 -9.276671e-01 2.746410e+00,1.219164e-02 -9.272416e-01 2.745747e+00,1.064783e-02 -9.255693e-01 2.745020e+00,1.056745e-02 -9.250819e-01 2.744578e+00,1.039422e-02 -9.239379e-01 2.743496e+00,1.020697e-02 -9.239904e-01 2.743472e+00,1.036238e-02 -9.232051e-01 2.742568e+00,1.010056e-02 -9.230086e-01 2.742453e+00
-8.385438e-03 -1.212758e+00 2.761271e+00,-9.002580e-03 -1.214107e+00 2.760841e+00,-9.363716e-03 -1.214867e+00 2.760291e+00,-9.439914e-03 -1.214905e+00 2.760439e+00,-9.632395e-03 -1.214099e+00 2.760502e+00,-7.876656e-03 -1.212872e+00 2.761224e+00,-8.181576e-03 -1.213371e+00 2.761185e+00,-7.953773e-03 -1.214906e+00 2.760895e+00,-7.695936e-03 -1.214806e+00 2.760894e+00,-7.732498e-03 -1.215198e+00 2.761308e+00,-7.332319e-03 -1.215886e+00 2.761311e+00,-7.071747e-03 -1.216013e+00 2.761429e+00,-6.631983e-03 -1.216291e+00 2.761839e+00,-6.153606e-03 -1.216421e+00 2.762156e+00,-5.509109e-03 -1.219412e+00 2.758830e+00,-5.520269e-03 -1.219283e+00 2.759366e+00,-5.524162e-03 -1.219303e+00 2.759488e+00,-5.878154e-03 -1.219632e+00 2.759220e+00,-5.787286e-03 -1.219449e+00 2.759529e+00,-5.495487e-03 -1.219386e+00 2.759249e+00,-5.439603e-03 -1.218687e+00 2.759444e+00,-5.360399e-03 -1.218409e+00 2.759620e+00,-5.173900e-03 -1.218138e+00 2.759922e+00,-6.143639e-03 -1.217512e+00 2.759966e+00,-8.766176e-03 -1.215132e+00 2.760739e+00,-9.156100e-03 -1.214990e+00 2.760752e+00,-8.642609e-03 -1.215333e+00 2.760772e+00,-8.394413e-03 -1.215620e+00 2.760602e+00,-7.499000e-03 -1.215647e+00 2.761497e+00,-2.041313e-02 -1.234540e+00 2.736974e+00,-1.090379e-02 -1.241145e+00 2.731718e+00,-7.732824e-03 -1.223083e+00 2.752113e+00,-7.339206e-03 -1.218822e+00 2.757530e+00,-7.548185e-03 -1.218716e+00 2.758289e+00,-5.367128e-03 -1.220758e+00 2.756367e+00,-6.063357e-03 -1.220024e+00 2.757483e+00,-6.652523e-03 -1.218889e+00 2.758940e+00,-6.962203e-03 -1.218747e+00 2.759334e+00,-7.139666e-03 -1.206654e+00 2.762862e+00,-5.911266e-03 -1.209649e+00 2.762850e+00,-7.008217e-03 -1.213676e+00 2.762120e+00,-7.335647e-03 -1.213469e+00 2.761801e+00,-7.737718e-03 -1.213660e+00 2.761697e+00,-8.098931e-03 -1.213337e+00 2.761403e+00,-9.647208e-03 -1.212231e+00 2.759436e+00,-9.712796e-03 -1.212207e+00 2.759417e+00,-9.758436e-03 -1.212697e+00 2.759452e+00,-9.518396e-03 -1.213060e+00 2.759586e+00
1.649054e-02 -1.268160e+00 2.616086e+00,1.474577e-02 -1.267176e+00 2.616691e+00,1.373112e-02 -1.267376e+00 2.616480e+00,1.391283e-02 -1.267316e+00 2.604597e+00,1.449147e-02 -1.267458e+00 2.609949e+00,1.543013e-02 -1.267526e+00 2.617111e+00,1.448690e-02 -1.267542e+00 2.612188e+00,1.457714e-02 -1.266778e+00 2.619888e+00,1.218604e-02 -1.266456e+00 2.622952e+00,1.542770e-02 -1.266508e+00 2.617373e+00,1.318804e-02 -1.266837e+00 2.621648e+00,1.409941e-02 -1.266662e+00 2.622133e+00,8.742274e-03 -1.267065e+00 2.610861e+00,1.038098e-02 -1.265538e+00 2.620743e+00,1.150771e-02 -1.265857e+00 2.621104e+00,1.323507e-02 -1.266217e+00 2.621935e+00,1.594141e-02 -1.266008e+00 2.623261e+00,1.389821e-02 -1.266191e+00 2.618984e+00,1.202338e-02 -1.266063e+00 2.617254e+00,6.222549e-04 -1.266753e+00 2.609290e+00,6.013758e-03 -1.266703e+00 2.610620e+00,1.244436e-02 -1.266639e+00 2.622600e+00,1.169278e-02 -1.266630e+00 2.625649e+00,1.056965e-02 -1.265493e+00 2.607423e+00,6.233626e-03 -1.265539e+00 2.603389e+00,1.132038e-02 -1.265084e+00 2.603137e+00,1.200729e-02 -1.266109e+00 2.612446e+00,1.195432e-02 -1.266171e+00 2.612482e+00,1.073649e-02 -1.266458e+00 2.624475e+00,1.383584e-02 -1.266001e+00 2.609767e+00,1.462351e-02 -1.267273e+00 2.606488e+00,1.387501e-02 -1.266602e+00 2.620444e+00,1.378999e-02 -1.266601e+00 2.620471e+00,1.554906e-02 -1.266420e+00 2.610006e+00,1.646749e-02 -1.266463e+00 2.612613e+00,1.379085e-02 -1.266495e+00 2.613227e+00,1.196874e-02 -1.266444e+00 2.609732e+00,1.325106e-02 -1.266310e+00 2.609354e+00,1.406331e-02 -1.266270e+00 2.611746e+00,1.239684e-02 -1.262362e+00 2.606183e+00,-1.984414e-02 -1.254990e+00 2.599523e+00,2.056885e-02 -1.264648e+00 2.607422e+00,1.960056e-02 -1.266450e+00 2.614206e+00,-2.441194e-02 -1.268431e+00 2.605762e+00,2.084857e-02 -1.270255e+00 2.614162e+00,1.984056e-02 -1.269292e+00 2.613675e+00,1.636229e-02 -1.268400e+00 2.612513e+00,1.414557e-02 -1.268000e+00 2.613554e+00
1.060143e-01 -6.077690e-01 2.736434e+00,1.061016e-01 -6.077750e-01 2.736537e+00,1.058970e-01 -6.081045e-01 2.736540e+00,1.054889e-01 -6.080394e-01 2.736465e+00,1.039844e-01 -6.076405e-01 2.735053e+00,9.734941e-02 -6.066889e-01 2.732040e+00,9.615076e-02 -6.064861e-01 2.731302e+00,9.235113e-02 -6.060426e-01 2.730392e+00,9.149869e-02 -6.065943e-01 2.728711e+00,9.247042e-02 -6.103092e-01 2.725327e+00,9.144673e-02 -6.130064e-01 2.722511e+00,9.236682e-02 -6.143237e-01 2.721008e+00,9.173516e-02 -6.165851e-01 2.717774e+00,9.076172e-02 -6.174930e-01 2.717278e+00,9.023851e-02 -6.176563e-01 2.715366e+00,9.025797e-02 -6.204728e-01 2.714895e+00,8.911818e-02 -6.217591e-01 2.715247e+00,8.804127e-02 -6.216006e-01 2.715298e+00,8.839969e-02 -6.172119e-01 2.715337e+00,8.844770e-02 -6.170256e-01 2.715671e+00,8.848924e-02 -6.167014e-01 2.716555e+00,8.684382e-02 -6.096319e-01 2.720307e+00,8.645353e-02 -6.080508e-01 2.720021e+00,8.671794e-02 -6.070079e-01 2.720551e+00,8.547789e-02 -6.040878e-01 2.721982e+00,8.536414e-02 -6.028301e-01 2.722670e+00,8.573197e-02 -6.014559e-01 2.724426e+00,8.654430e-02 -6.012168e-01 2.725108e+00,8.706842e-02 -6.008601e-01 2.727067e+00,8.724429e-02 -6.010727e-01 2.727568e+00,8.723796e-02 -6.010790e-01 2.728251e+00,8.781742e-02 -6.015218e-01 2.729350e+00,8.781470e-02 -6.016036e-01 2.730072e+00,8.787497e-02 -6.021448e-01 2.731035e+00,8.835284e-02 -6.024799e-01 2.731419e+00,8.899173e-02 -6.031103e-01 2.731852e+00,8.885416e-02 -6.035296e-01 2.732192e+00,8.881776e-02 -6.038934e-01 2.732646e+00,8.985530e-02 -6.040734e-01 2.732894e+00,9.040249e-02 -6.044683e-01 2.733337e+00,9.492833e-02 -6.061083e-01 2.734716e+00,9.572319e-02 -6.062977e-01 2.735106e+00,9.843301e-02 -6.070310e-01 2.736732e+00,9.842170e-02 -6.071932e-01 2.737036e+00,9.830472e-02 -6.070770e-01 2.737165e+00,9.828578e-02 -6.070806e-01 2.737193e+00,9.836128e-02 -6.070151e-01 2.737152e+00,9.836754e-02 -6.070186e-01 2.737156e+00
3.782083e-02 -9.350396e-01 2.751199e+00,4.091552e-02 -9.345754e-01 2.751764e+00,3.902281e-02 -9.370947e-01 2.752521e+00,3.719112e-02 -9.395252e-01 2.752587e+00,3.626997e-02 -9.361429e-01 2.750807e+00,3.634596e-02 -9.352007e-01 2.750202e+00,3.594808e-02 -9.344219e-01 2.748964e+00,3.485916e-02 -9.352051e-01 2.748594e+00,3.504413e-02 -9.327149e-01 2.747791e+00,3.633150e-02 -9.336824e-01 2.747992e+00,3.662360e-02 -9.333131e-01 2.747995e+00,3.616451e-02 -9.339930e-01 2.747863e+00,3.624849e-02 -9.352394e-01 2.748580e+00,3.618161e-02 -9.350435e-01 2.748603e+00,3.599269e-02 -9.355118e-01 2.748435e+00,3.699379e-02 -9.348322e-01 2.748383e+00,3.955806e-02 -9.375957e-01 2.748534e+00,4.030404e-02 -9.370612e-01 2.748322e+00,4.100204e-02 -9.378605e-01 2.748405e+00,3.974875e-02 -9.375370e-01 2.748125e+00,3.909076e-02 -9.322014e-01 2.747124e+00,3.770291e-02 -9.308412e-01 2.746889e+00,3.736700e-02 -9.292341e-01 2.746179e+00,3.688715e-02 -9.278955e-01 2.746136e+00,3.680160e-02 -9.277363e-01 2.746346e+00,3.650653e-02 -9.267437e-01 2.746445e+00,3.558417e-02 -9.284657e-01 2.747473e+00,3.549827e-02 -9.283323e-01 2.747562e+00,3.480184e-02 -9.274012e-01 2.747819e+00,3.462976e-02 -9.261587e-01 2.748332e+00,3.476004e-02 -9.260606e-01 2.748513e+00,3.452615e-02 -9.263428e-01 2.748838e+00,3.420415e-02 -9.286083e-01 2.749719e+00,3.428709e-02 -9.308932e-01 2.750902e+00,3.449966e-02 -9.309132e-01 2.751041e+00,3.417197e-02 -9.326362e-01 2.751376e+00,3.423963e-02 -9.326324e-01 2.751313e+00,3.456888e-02 -9.367520e-01 2.751735e+00,3.608636e-02 -9.341643e-01 2.751112e+00,3.602380e-02 -9.342971e-01 2.751099e+00,3.605184e-02 -9.316415e-01 2.749845e+00,3.466827e-02 -9.329190e-01 2.749277e+00,3.434233e-02 -9.326292e-01 2.749049e+00,3.368888e-02 -9.341903e-01 2.749384e+00,3.318215e-02 -9.334083e-01 2.748615e+00,3.318197e-02 -9.334064e-01 2.748618e+00,3.282409e-02 -9.328842e-01 2.747606e+00,3.326792e-02 -9.280333e-01 2.746824e+00
5.131538e-02 -1.221812e+00 2.758340e+00,5.066685e-02 -1.220625e+00 2.758961e+00,5.136721e-02 -1.221303e+00 2.758670e+00,5.133665e-02 -1.221360e+00 2.758779e+00,5.153981e-02 -1.222183e+00 2.757291e+00,5.131721e-02 -1.219712e+00 2.759992e+00,5.114679e-02 -1.219525e+00 2.759733e+00,5.179212e-02 -1.213810e+00 2.762502e+00,5.075728e-02 -1.215904e+00 2.760677e+00,5.123434e-02 -1.215616e+00 2.762732e+00,5.243826e-02 -1.213946e+00 2.763582e+00,5.252700e-02 -1.213695e+00 2.763673e+00,5.242809e-02 -1.214794e+00 2.760469e+00,5.100928e-02 -1.234898e+00 2.737994e+00,5.060217e-02 -1.232791e+00 2.740266e+00,5.082140e-02 -1.228655e+00 2.745813e+00,3.946970e-02 -1.264231e+00 2.692072e+00,3.948753e-02 -1.263965e+00 2.693915e+00,5.103814e-02 -1.222447e+00 2.756924e+00,5.461806e-02 -1.207645e+00 2.760896e+00,4.916020e-02 -1.247243e+00 2.719642e+00,4.843597e-02 -1.247158e+00 2.722917e+00,4.921381e-02 -1.247105e+00 2.722996e+00,5.333548e-02 -1.227567e+00 2.745296e+00,5.334643e-02 -1.226183e+00 2.747492e+00,6.087124e-02 -1.236478e+00 2.735771e+00,5.481551e-02 -1.229405e+00 2.744810e+00,5.396488e-02 -1.226612e+00 2.746418e+00,5.347985e-02 -1.223661e+00 2.750787e+00,5.450327e-02 -1.217249e+00 2.755616e+00,5.427624e-02 -1.218603e+00 2.755831e+00,5.355449e-02 -1.219231e+00 2.755841e+00,5.347650e-02 -1.218722e+00 2.757504e+00,5.205493e-02 -1.221475e+00 2.756374e+00,5.192129e-02 -1.221892e+00 2.756017e+00,5.186851e-02 -1.221995e+00 2.756208e+00,5.157264e-02 -1.218910e+00 2.759108e+00,5.165112e-02 -1.216685e+00 2.760935e+00,5.155914e-02 -1.217299e+00 2.760679e+00,5.137077e-02 -1.218357e+00 2.760994e+00,5.105039e-02 -1.216335e+00 2.762228e+00,6.894150e-02 -1.246749e+00 2.719640e+00,5.016052e-02 -1.225511e+00 2.755269e+00,5.012534e-02 -1.224793e+00 2.755234e+00,5.013561e-02 -1.224137e+00 2.755703e+00,4.995047e-02 -1.222741e+00 2.756648e+00,4.940968e-02 -1.222605e+00 2.757638e+00,4.908536e-02 -1.222813e+00 2.757109e+00
5.035541e-02 -1.267674e+00 2.613769e+00,4.999687e-02 -1.267284e+00 2.613962e+00,5.146205e-02 -1.266866e+00 2.616741e+00,4.693451e-02 -1.265692e+00 2.603539e+00,4.626027e-02 -1.265449e+00 2.623439e+00,4.647338e-02 -1.265045e+00 2.620129e+00,4.788485e-02 -1.265427e+00 2.617486e+00,4.830201e-02 -1.265645e+00 2.613456e+00,4.713942e-02 -1.265949e+00 2.618371e+00,4.866556e-02 -1.266517e+00 2.612507e+00,4.834738e-02 -1.266627e+00 2.613138e+00,4.797894e-02 -1.266727e+00 2.612744e+00,4.756803e-02 -1.267016e+00 2.612378e+00,4.748558e-02 -1.266581e+00 2.610750e+00,4.762173e-02 -1.266586e+00 2.608264e+00,4.726495e-02 -1.266879e+00 2.610689e+00,5.949979e-02 -1.279081e+00 2.561960e+00,5.848832e-02 -1.278898e+00 2.563614e+00,5.040962e-02 -1.266884e+00 2.605149e+00,5.400215e-02 -1.267615e+00 2.612309e+00,5.139747e-02 -1.278297e+00 2.593306e+00,4.912004e-02 -1.274893e+00 2.595054e+00,4.752719e-02 -1.276190e+00 2.595718e+00,4.803217e-02 -1.267468e+00 2.611068e+00,4.810965e-02 -1.267772e+00 2.614963e+00,4.691141e-02 -1.267629e+00 2.610206e+00,4.504319e-02 -1.267126e+00 2.613632e+00,4.791785e-02 -1.267968e+00 2.618980e+00,4.721913e-02 -1.268343e+00 2.620938e+00,5.065309e-02 -1.268453e+00 2.607775e+00,4.957360e-02 -1.268179e+00 2.612564e+00,4.821639e-02 -1.268003e+00 2.613050e+00,4.565300e-02 -1.267676e+00 2.612192e+00,4.409187e-02 -1.268373e+00 2.607605e+00,4.341452e-02 -1.268417e+00 2.604696e+00,4.589677e-02 -1.268002e+00 2.616675e+00,4.701065e-02 -1.267700e+00 2.620052e+00,4.533545e-02 -1.265542e+00 2.605958e+00,4.831417e-02 -1.265453e+00 2.613376e+00,5.165515e-02 -1.264278e+00 2.605011e+00,5.130572e-02 -1.265461e+00 2.604844e+00,5.899058e-02 -1.272541e+00 2.591421e+00,5.354857e-02 -1.266826e+00 2.622538e+00,4.968603e-02 -1.266709e+00 2.609614e+00,4.944486e-02 -1.267245e+00 2.612108e+00,4.946777e-02 -1.267184e+00 2.612078e+00,4.719125e-02 -1.266773e+00 2.616344e+00,4.285631e-02 -1.266431e+00 2.617176e+00
4.328026e-02 -1.148160e-01 2.783501e+00,4.311558e-02 -1.148805e-01 2.783478e+00,4.280742e-02 -1.153935e-01 2.783502e+00,4.282701e-02 -1.153723e-01 2.783504e+00,4.102279e-02 -1.148947e-01 2.782706e+00,3.891633e-02 -1.143060e-01 2.782736e+00,3.885844e-02 -1.142956e-01 2.782686e+00,3.812838e-02 -1.139265e-01 2.783118e+00,3.806579e-02 -1.138677e-01 2.783032e+00,3.657414e-02 -1.132574e-01 2.782824e+00,4.052593e-02 -1.078254e-01 2.780256e+00,4.387573e-02 -1.062086e-01 2.777926e+00,5.113505e-02 -9.777381e-02 2.775854e+00,5.151163e-02 -9.665499e-02 2.776163e+00,5.225801e-02 -9.087154e-02 2.776825e+00,5.312002e-02 -8.985855e-02 2.777889e+00,5.346709e-02 -8.997019e-02 2.778903e+00,4.752212e-02 -8.887188e-02 2.778160e+00,4.078121e-02 -8.957183e-02 2.778918e+00,2.399546e-02 -1.006000e-01 2.780997e+00,2.473250e-02 -1.032524e-01 2.781174e+00,2.606432e-02 -1.043929e-01 2.781403e+00,2.609749e-02 -1.043845e-01 2.781422e+00,2.701824e-02 -1.048123e-01 2.780643e+00,2.603973e-02 -1.041174e-01 2.780665e+00,2.633162e-02 -1.042458e-01 2.780513e+00,2.802784e-02 -1.041299e-01 2.780546e+00,2.864145e-02 -1.044025e-01 2.780766e+00,3.221772e-02 -1.051112e-01 2.781746e+00,3.260407e-02 -1.051768e-01 2.781952e+00,3.235258e-02 -1.058111e-01 2.782009e+00,3.092807e-02 -1.058290e-01 2.783056e+00,3.072820e-02 -1.063348e-01 2.783595e+00,3.199717e-02 -1.080516e-01 2.784721e+00,3.200317e-02 -1.083072e-01 2.784669e+00,3.062288e-02 -1.077615e-01 2.784728e+00,2.930841e-02 -1.084084e-01 2.785155e+00,3.038826e-02 -1.088620e-01 2.785507e+00,3.151760e-02 -1.093152e-01 2.785750e+00,3.181985e-02 -1.093928e-01 2.785758e+00,3.305846e-02 -1.117816e-01 2.785477e+00,3.408880e-02 -1.123854e-01 2.785293e+00,3.446661e-02 -1.126651e-01 2.785254e+00,3.447026e-02 -1.132051e-01 2.785155e+00,3.449054e-02 -1.130028e-01 2.784937e+00,3.460580e-02 -1.130097e-01 2.784896e+00,3.475164e-02 -1.132764e-01 2.784510e+00,3.477015e-02 -1.135829e-01 2.784472e+00
