4.480176e-03 -4.768874e-01 2.808390e+00,4.387200e-03 -4.769181e-01 2.808384e+00,4.508481e-03 -4.770601e-01 2.808483e+00,4.571711e-03 -4.771331e-01 2.808552e+00,4.693524e-03 -4.771971e-01 2.808606e+00,4.672274e-03 -4.772409e-01 2.808812e+00,4.338316e-03 -4.770707e-01 2.809248e+00,4.273211e-03 -4.768956e-01 2.809430e+00,3.775413e-03 -4.767008e-01 2.809888e+00,3.418940e-03 -4.763280e-01 2.809705e+00,2.986642e-03 -4.759742e-01 2.810055e+00,2.083646e-03 -4.749645e-01 2.810777e+00,1.808169e-03 -4.746087e-01 2.810957e+00,1.121997e-03 -4.742956e-01 2.811157e+00,6.911696e-04 -4.724810e-01 2.811862e+00,7.844059e-04 -4.716658e-01 2.812525e+00,1.146886e-03 -4.700121e-01 2.813354e+00,1.991509e-03 -4.680849e-01 2.814141e+00,4.197150e-03 -4.641172e-01 2.815591e+00,4.968414e-03 -4.617637e-01 2.816163e+00,5.453878e-03 -4.594565e-01 2.816515e+00,5.869221e-03 -4.582159e-01 2.816585e+00,6.521700e-03 -4.565999e-01 2.816133e+00,6.484771e-03 -4.564236e-01 2.816065e+00,6.474759e-03 -4.564231e-01 2.816064e+00,6.312404e-03 -4.568157e-01 2.815765e+00,6.178371e-03 -4.579503e-01 2.815097e+00,4.462235e-03 -4.596291e-01 2.813936e+00,4.180855e-03 -4.599946e-01 2.813317e+00,3.537820e-03 -4.607130e-01 2.812516e+00,2.369521e-03 -4.620761e-01 2.811853e+00,8.128697e-04 -4.646295e-01 2.811609e+00,-2.750467e-04 -4.681915e-01 2.810957e+00,-4.370846e-04 -4.696474e-01 2.810667e+00,-4.967317e-04 -4.704894e-01 2.810418e+00,-2.462353e-04 -4.711038e-01 2.810317e+00,1.427810e-05 -4.725018e-01 2.810086e+00,1.733079e-04 -4.730588e-01 2.810254e+00,6.412646e-04 -4.735749e-01 2.810155e+00,1.046002e-03 -4.741284e-01 2.810134e+00,1.048356e-03 -4.744211e-01 2.810109e+00,1.359832e-03 -4.751404e-01 2.809815e+00,1.503057e-03 -4.754445e-01 2.809715e+00,1.525795e-03 -4.754661e-01 2.809686e+00,1.506082e-03 -4.754907e-01 2.809690e+00,1.461260e-03 -4.757113e-01 2.809648e+00,1.390107e-03 -4.758183e-01 2.809660e+00,1.199200e-03 -4.760446e-01 2.809756e+00,1.327736e-03 -4.761179e-01 2.809492e+00,1.331887e-03 -4.761531e-01 2.809504e+00
1.972149e-01 -5.033756e-01 2.735247e+00,1.974729e-01 -5.045183e-01 2.735516e+00,2.002123e-01 -5.032330e-01 2.737352e+00,2.006226e-01 -5.028310e-01 2.735123e+00,2.083806e-01 -4.899493e-01 2.721652e+00,2.269268e-01 -4.714733e-01 2.702342e+00,2.490223e-01 -3.866023e-01 2.619954e+00,2.516800e-01 -3.216224e-01 2.573116e+00,2.504676e-01 -2.436888e-01 2.530628e+00,2.578294e-01 -6.305961e-02 2.518884e+00,2.535703e-01 2.004013e-02 2.516207e+00,2.400873e-01 1.520894e-01 2.527907e+00,2.279901e-01 2.094827e-01 2.519066e+00,2.166737e-01 2.609856e-01 2.505135e+00,1.908349e-01 3.456217e-01 2.475362e+00,1.800185e-01 3.741733e-01 2.460902e+00,1.541057e-01 4.275575e-01 2.423611e+00,1.439989e-01 4.408377e-01 2.404439e+00,1.329057e-01 4.476903e-01 2.364036e+00,1.319618e-01 4.452498e-01 2.355126e+00,1.297667e-01 4.439751e-01 2.349776e+00,1.249315e-01 4.398135e-01 2.350168e+00,1.256062e-01 4.354567e-01 2.350770e+00,1.274022e-01 4.354055e-01 2.352792e+00,1.286468e-01 4.326762e-01 2.362071e+00,1.328881e-01 4.175000e-01 2.391599e+00,1.362972e-01 3.934907e-01 2.416028e+00,1.426331e-01 3.442344e-01 2.454056e+00,1.507569e-01 3.015189e-01 2.476095e+00,1.541405e-01 2.676247e-01 2.485427e+00,1.651542e-01 1.684188e-01 2.501858e+00,1.695617e-01 1.108961e-01 2.504917e+00,1.935020e-01 -2.714335e-02 2.549601e+00,1.970280e-01 -1.645894e-01 2.554529e+00,1.958871e-01 -2.341008e-01 2.562216e+00,2.005375e-01 -2.960879e-01 2.587087e+00,2.016963e-01 -4.027938e-01 2.640054e+00,1.925787e-01 -4.354350e-01 2.673867e+00,2.044593e-01 -4.727626e-01 2.698506e+00,2.036955e-01 -4.820031e-01 2.713462e+00,2.004477e-01 -4.922433e-01 2.722754e+00,1.938362e-01 -4.991059e-01 2.730181e+00,1.935764e-01 -4.997308e-01 2.729205e+00,1.940400e-01 -5.005245e-01 2.730235e+00,1.930257e-01 -4.996048e-01 2.729445e+00,1.920274e-01 -5.001130e-01 2.727299e+00,1.910530e-01 -4.997072e-01 2.727414e+00,1.930140e-01 -4.993691e-01 2.728752e+00,1.927274e-01 -4.996518e-01 2.728458e+00,1.921141e-01 -4.999805e-01 2.729785e+00
-6.802832e-02 -4.714305e-01 2.765361e+00,-6.812359e-02 -4.714554e-01 2.765450e+00,-6.791776e-02 -4.716817e-01 2.765679e+00,-6.784272e-02 -4.717773e-01 2.765760e+00,-6.768751e-02 -4.718528e-01 2.765791e+00,-6.770508e-02 -4.719201e-01 2.766010e+00,-6.796738e-02 -4.717633e-01 2.766148e+00,-6.803422e-02 -4.716494e-01 2.766270e+00,-6.867881e-02 -4.713455e-01 2.766573e+00,-6.926960e-02 -4.708510e-01 2.766216e+00,-6.967919e-02 -4.704522e-01 2.766333e+00,-7.082704e-02 -4.692224e-01 2.767820e+00,-7.121108e-02 -4.689796e-01 2.768317e+00,-7.216584e-02 -4.686489e-01 2.769254e+00,-7.239790e-02 -4.670753e-01 2.771436e+00,-7.210611e-02 -4.661544e-01 2.774143e+00,-7.230346e-02 -4.646533e-01 2.778197e+00,-7.202951e-02 -4.633602e-01 2.780249e+00,-7.100210e-02 -4.606310e-01 2.784005e+00,-7.030491e-02 -4.585663e-01 2.785471e+00,-6.978014e-02 -4.568432e-01 2.786908e+00,-6.965626e-02 -4.559550e-01 2.787479e+00,-6.937682e-02 -4.551295e-01 2.787842e+00,-6.942592e-02 -4.549382e-01 2.787747e+00,-6.945362e-02 -4.549414e-01 2.787763e+00,-6.961049e-02 -4.551687e-01 2.787542e+00,-6.951615e-02 -4.563465e-01 2.786310e+00,-7.087183e-02 -4.579530e-01 2.783323e+00,-7.112863e-02 -4.583789e-01 2.781657e+00,-7.183164e-02 -4.592815e-01 2.779083e+00,-7.281475e-02 -4.601517e-01 2.776321e+00,-7.398633e-02 -4.616445e-01 2.775436e+00,-7.427336e-02 -4.651712e-01 2.773243e+00,-7.435447e-02 -4.662274e-01 2.772060e+00,-7.420204e-02 -4.669071e-01 2.770930e+00,-7.382157e-02 -4.672805e-01 2.770269e+00,-7.337384e-02 -4.682764e-01 2.768587e+00,-7.318034e-02 -4.684845e-01 2.768458e+00,-7.240836e-02 -4.687494e-01 2.767838e+00,-7.184790e-02 -4.693220e-01 2.767644e+00,-7.181634e-02 -4.695856e-01 2.767531e+00,-7.140966e-02 -4.702524e-01 2.767206e+00,-7.119852e-02 -4.705275e-01 2.767081e+00,-7.118390e-02 -4.705331e-01 2.767077e+00,-7.119189e-02 -4.705491e-01 2.767099e+00,-7.124210e-02 -4.707233e-01 2.767094e+00,-7.129470e-02 -4.708157e-01 2.767142e+00,-7.156119e-02 -4.710739e-01 2.767370e+00,-7.145526e-02 -4.711562e-01 2.767203e+00,-7.141329e-02 -4.712227e-01 2.767297e+00
-1.049887e-01 -8.045020e-01 2.785196e+00,-1.049316e-01 -8.058590e-01 2.785927e+00,-1.040603e-01 -8.044434e-01 2.785759e+00,-1.036987e-01 -8.062601e-01 2.785976e+00,-1.044397e-01 -8.059168e-01 2.785914e+00,-1.046423e-01 -8.060235e-01 2.785982e+00,-1.053201e-01 -8.053445e-01 2.786253e+00,-1.059532e-01 -8.049880e-01 2.786584e+00,-1.065350e-01 -8.043989e-01 2.786889e+00,-1.055847e-01 -8.011574e-01 2.785583e+00,-1.064180e-01 -8.018159e-01 2.786085e+00,-1.070467e-01 -8.018903e-01 2.786413e+00,-1.079227e-01 -8.007384e-01 2.786507e+00,-1.079187e-01 -8.007078e-01 2.786518e+00,-1.080408e-01 -8.017592e-01 2.787348e+00,-1.071249e-01 -8.023326e-01 2.787888e+00,-1.070224e-01 -8.021991e-01 2.788252e+00,-1.047933e-01 -7.997358e-01 2.787927e+00,-9.801386e-02 -7.885599e-01 2.785444e+00,-9.227532e-02 -7.774412e-01 2.783342e+00,-9.157647e-02 -7.765250e-01 2.782680e+00,-9.419952e-02 -7.827570e-01 2.783434e+00,-9.309934e-02 -7.819737e-01 2.782647e+00,-9.219082e-02 -7.810399e-01 2.781686e+00,-9.453671e-02 -7.869362e-01 2.782872e+00,-1.003280e-01 -7.934287e-01 2.785453e+00,-1.016890e-01 -7.946912e-01 2.786574e+00,-1.030518e-01 -7.968755e-01 2.787750e+00,-1.034833e-01 -7.973414e-01 2.787659e+00,-1.033970e-01 -7.971761e-01 2.787466e+00,-1.035192e-01 -7.965438e-01 2.786419e+00,-1.043050e-01 -7.982761e-01 2.786517e+00,-1.066995e-01 -8.011991e-01 2.787772e+00,-1.070441e-01 -8.011579e-01 2.787015e+00,-1.076383e-01 -8.006327e-01 2.786757e+00,-1.066671e-01 -7.991778e-01 2.786045e+00,-1.073000e-01 -8.003385e-01 2.785812e+00,-1.078240e-01 -8.013309e-01 2.785977e+00,-1.071911e-01 -8.006845e-01 2.785296e+00,-1.076493e-01 -8.001375e-01 2.785262e+00,-1.060982e-01 -8.004724e-01 2.785562e+00,-1.058666e-01 -8.007742e-01 2.785387e+00,-1.050412e-01 -8.022121e-01 2.785434e+00,-1.053597e-01 -8.031782e-01 2.785646e+00,-1.041492e-01 -8.021679e-01 2.785178e+00,-1.049777e-01 -8.022199e-01 2.785334e+00,-1.059342e-01 -8.100187e-01 2.788348e+00,-1.061402e-01 -8.076410e-01 2.787180e+00,-1.057944e-01 -8.047533e-01 2.786492e+00,-1.059964e-01 -8.043572e-01 2.786535e+00
-1.001755e-01 -1.183268e+00 2.809481e+00,-1.003800e-01 -1.183242e+00 2.809266e+00,-1.002795e-01 -1.183532e+00 2.808839e+00,-1.003991e-01 -1.182156e+00 2.808872e+00,-1.003392e-01 -1.181732e+00 2.809011e+00,-1.009177e-01 -1.182646e+00 2.808003e+00,-1.001400e-01 -1.179456e+00 2.808941e+00,-1.002158e-01 -1.179612e+00 2.808945e+00,-1.000249e-01 -1.181520e+00 2.808161e+00,-1.000594e-01 -1.180253e+00 2.808244e+00,-9.991322e-02 -1.180339e+00 2.808711e+00,-9.980114e-02 -1.180834e+00 2.808760e+00,-9.984209e-02 -1.180894e+00 2.808682e+00,-9.945947e-02 -1.182111e+00 2.809402e+00,-9.956833e-02 -1.182240e+00 2.809740e+00,-9.967814e-02 -1.184128e+00 2.809592e+00,-9.993073e-02 -1.183993e+00 2.809463e+00,-9.992316e-02 -1.183995e+00 2.809456e+00,-9.989889e-02 -1.184235e+00 2.809813e+00,-9.985785e-02 -1.184128e+00 2.809871e+00,-9.895539e-02 -1.177698e+00 2.810999e+00,-9.940929e-02 -1.184380e+00 2.809181e+00,-9.777387e-02 -1.176182e+00 2.812290e+00,-9.810833e-02 -1.178391e+00 2.811118e+00,-9.881632e-02 -1.180139e+00 2.810294e+00,-9.892675e-02 -1.181507e+00 2.810079e+00,-9.906755e-02 -1.181630e+00 2.809846e+00,-9.928042e-02 -1.181804e+00 2.809767e+00,-9.953838e-02 -1.182275e+00 2.809467e+00,-9.953517e-02 -1.183518e+00 2.809074e+00,-9.956443e-02 -1.183495e+00 2.808758e+00,-9.974259e-02 -1.183596e+00 2.808774e+00,-9.964501e-02 -1.182443e+00 2.808995e+00,-9.985989e-02 -1.182061e+00 2.808998e+00,-9.998212e-02 -1.182516e+00 2.808555e+00,-9.996147e-02 -1.181669e+00 2.808883e+00,-1.001919e-01 -1.182853e+00 2.808411e+00,-1.004694e-01 -1.183072e+00 2.808087e+00,-9.978680e-02 -1.177443e+00 2.808446e+00,-9.972159e-02 -1.177327e+00 2.808477e+00,-9.962186e-02 -1.178845e+00 2.808568e+00,-9.995333e-02 -1.177851e+00 2.809416e+00,-1.002335e-01 -1.181631e+00 2.808573e+00,-1.003672e-01 -1.181753e+00 2.808289e+00,-1.005725e-01 -1.182356e+00 2.808146e+00,-1.004692e-01 -1.182312e+00 2.808275e+00,-1.006236e-01 -1.182794e+00 2.808149e+00,-1.002200e-01 -1.179165e+00 2.809593e+00,-9.987294e-02 -1.176337e+00 2.809068e+00,-1.000464e-01 -1.178253e+00 2.809440e+00
-1.304347e-01 -1.244830e+00 2.670839e+00,-1.314140e-01 -1.245245e+00 2.665006e+00,-1.316107e-01 -1.245007e+00 2.662692e+00,-1.231147e-01 -1.245052e+00 2.663257e+00,-1.257384e-01 -1.244986e+00 2.662390e+00,-1.268762e-01 -1.241614e+00 2.652343e+00,-1.159140e-01 -1.242817e+00 2.692979e+00,-1.244480e-01 -1.242290e+00 2.658930e+00,-1.250582e-01 -1.243123e+00 2.659107e+00,-1.186788e-01 -1.241364e+00 2.678115e+00,-1.204802e-01 -1.241324e+00 2.681114e+00,-1.214837e-01 -1.242237e+00 2.676582e+00,-1.271901e-01 -1.243047e+00 2.669589e+00,-1.319847e-01 -1.244106e+00 2.673098e+00,-1.259469e-01 -1.243529e+00 2.672625e+00,-1.276913e-01 -1.244599e+00 2.664161e+00,-1.202270e-01 -1.242423e+00 2.681313e+00,-1.223619e-01 -1.242899e+00 2.678156e+00,-1.248200e-01 -1.242897e+00 2.678216e+00,-1.266117e-01 -1.243209e+00 2.675644e+00,-1.246966e-01 -1.242931e+00 2.672495e+00,-1.197416e-01 -1.244199e+00 2.682244e+00,-1.240198e-01 -1.243074e+00 2.671273e+00,-1.235393e-01 -1.242681e+00 2.670546e+00,-1.219868e-01 -1.243080e+00 2.667173e+00,-1.190546e-01 -1.242714e+00 2.673301e+00,-1.189233e-01 -1.242596e+00 2.670790e+00,-1.227226e-01 -1.242172e+00 2.669129e+00,-1.248919e-01 -1.242382e+00 2.669712e+00,-1.223919e-01 -1.242338e+00 2.668863e+00,-1.259692e-01 -1.242309e+00 2.667976e+00,-1.212330e-01 -1.241935e+00 2.671299e+00,-1.207655e-01 -1.241627e+00 2.672677e+00,-1.189702e-01 -1.241593e+00 2.681710e+00,-1.183121e-01 -1.241976e+00 2.678835e+00,-1.182677e-01 -1.242021e+00 2.681091e+00,-1.182139e-01 -1.244154e+00 2.682292e+00,-1.322680e-01 -1.245545e+00 2.660821e+00,-1.383890e-01 -1.244231e+00 2.665955e+00,-1.381834e-01 -1.244608e+00 2.665184e+00,-1.400353e-01 -1.243855e+00 2.660954e+00,-1.283710e-01 -1.243624e+00 2.663661e+00,-1.256910e-01 -1.243022e+00 2.672502e+00,-1.344002e-01 -1.244274e+00 2.656948e+00,-1.352576e-01 -1.243499e+00 2.656078e+00,-1.331659e-01 -1.241955e+00 2.654685e+00,-1.253537e-01 -1.242481e+00 2.652621e+00,-1.266215e-01 -1.244525e+00 2.658708e+00,-1.331859e-01 -1.246347e+00 2.670196e+00,-1.331545e-01 -1.246308e+00 2.670187e+00
7.678227e-02 -4.701136e-01 2.777360e+00,7.666875e-02 -4.701344e-01 2.777275e+00,7.673169e-02 -4.701981e-01 2.777303e+00,7.678624e-02 -4.702374e-01 2.777368e+00,7.686496e-02 -4.702760e-01 2.777515e+00,7.684518e-02 -4.702807e-01 2.777720e+00,7.640801e-02 -4.700527e-01 2.778723e+00,7.636061e-02 -4.697902e-01 2.778962e+00,7.599424e-02 -4.696733e-01 2.779581e+00,7.581539e-02 -4.693673e-01 2.779501e+00,7.535908e-02 -4.690428e-01 2.780140e+00,7.465588e-02 -4.681812e-01 2.780260e+00,7.443588e-02 -4.676249e-01 2.780156e+00,7.381994e-02 -4.672635e-01 2.779803e+00,7.318982e-02 -4.647583e-01 2.779094e+00,7.328148e-02 -4.638100e-01 2.778706e+00,7.452153e-02 -4.610947e-01 2.776756e+00,7.627216e-02 -4.584106e-01 2.775757e+00,7.995253e-02 -4.534932e-01 2.774120e+00,8.061443e-02 -4.514055e-01 2.773667e+00,8.099160e-02 -4.485087e-01 2.772624e+00,8.163649e-02 -4.472239e-01 2.771994e+00,8.273885e-02 -4.447921e-01 2.770043e+00,8.270693e-02 -4.447401e-01 2.770031e+00,8.268681e-02 -4.447655e-01 2.770020e+00,8.239016e-02 -4.456793e-01 2.769650e+00,8.196613e-02 -4.471096e-01 2.769447e+00,7.943717e-02 -4.494653e-01 2.770176e+00,7.918801e-02 -4.497522e-01 2.770122e+00,7.848647e-02 -4.504618e-01 2.770346e+00,7.666928e-02 -4.528279e-01 2.771830e+00,7.489708e-02 -4.564504e-01 2.772989e+00,7.321119e-02 -4.598471e-01 2.774085e+00,7.302658e-02 -4.617777e-01 2.775086e+00,7.279637e-02 -4.630244e-01 2.775662e+00,7.307450e-02 -4.640079e-01 2.776226e+00,7.325370e-02 -4.658743e-01 2.777363e+00,7.334116e-02 -4.668068e-01 2.778170e+00,7.364506e-02 -4.673451e-01 2.778478e+00,7.387616e-02 -4.676726e-01 2.778600e+00,7.385536e-02 -4.678586e-01 2.778665e+00,7.403262e-02 -4.683334e-01 2.778475e+00,7.410779e-02 -4.685418e-01 2.778422e+00,7.413767e-02 -4.685605e-01 2.778357e+00,7.410496e-02 -4.685778e-01 2.778344e+00,7.407926e-02 -4.687518e-01 2.778288e+00,7.399838e-02 -4.688365e-01 2.778268e+00,7.388562e-02 -4.689738e-01 2.778271e+00,7.404315e-02 -4.689725e-01 2.777887e+00,7.402962e-02 -4.689938e-01 2.777864e+00
1.014785e-01 -8.003268e-01 2.771180e+00,1.010929e-01 -7.980505e-01 2.770808e+00,1.010916e-01 -7.981810e-01 2.770833e+00,1.010867e-01 -7.983506e-01 2.770860e+00,1.018337e-01 -8.014817e-01 2.772234e+00,1.016596e-01 -8.013574e-01 2.772173e+00,1.013474e-01 -8.004521e-01 2.772276e+00,1.010258e-01 -7.972252e-01 2.772045e+00,1.010850e-01 -7.983811e-01 2.772911e+00,1.008741e-01 -7.971151e-01 2.772816e+00,1.008767e-01 -7.933174e-01 2.772958e+00,1.007105e-01 -7.914805e-01 2.773127e+00,1.007076e-01 -7.914492e-01 2.773058e+00,1.007145e-01 -7.915841e-01 2.773193e+00,1.007978e-01 -7.911323e-01 2.773208e+00,1.009180e-01 -7.906407e-01 2.773221e+00,1.016854e-01 -7.892473e-01 2.773025e+00,1.017739e-01 -7.881549e-01 2.772463e+00,1.021100e-01 -7.844012e-01 2.771676e+00,1.022164e-01 -7.839398e-01 2.771842e+00,1.024448e-01 -7.822262e-01 2.771395e+00,1.024777e-01 -7.808719e-01 2.770509e+00,1.025227e-01 -7.787189e-01 2.768883e+00,1.025644e-01 -7.787215e-01 2.768833e+00,1.025244e-01 -7.786605e-01 2.768776e+00,1.024534e-01 -7.785132e-01 2.768502e+00,1.024727e-01 -7.800861e-01 2.769020e+00,1.019866e-01 -7.835672e-01 2.769432e+00,1.018908e-01 -7.836677e-01 2.769314e+00,1.017890e-01 -7.838218e-01 2.769320e+00,1.009163e-01 -7.832793e-01 2.768600e+00,1.008654e-01 -7.831793e-01 2.768544e+00,1.007115e-01 -7.858154e-01 2.769648e+00,1.007736e-01 -7.873368e-01 2.770207e+00,1.005803e-01 -7.903167e-01 2.771478e+00,1.005684e-01 -7.904261e-01 2.771473e+00,1.007600e-01 -7.918730e-01 2.771862e+00,1.014294e-01 -7.944452e-01 2.772180e+00,1.011257e-01 -7.949942e-01 2.772362e+00,1.009912e-01 -7.968805e-01 2.772922e+00,1.009224e-01 -7.976645e-01 2.772716e+00,1.008542e-01 -7.978281e-01 2.772708e+00,1.017169e-01 -7.998387e-01 2.772781e+00,1.015899e-01 -7.990850e-01 2.772329e+00,1.014845e-01 -7.980532e-01 2.771890e+00,1.013304e-01 -7.975430e-01 2.771578e+00,1.013357e-01 -7.974287e-01 2.771566e+00,1.011200e-01 -7.977329e-01 2.771704e+00,1.019825e-01 -8.010777e-01 2.772138e+00,1.018392e-01 -8.004720e-01 2.772048e+00
1.199998e-01 -1.192677e+00 2.816477e+00,1.191849e-01 -1.190689e+00 2.818120e+00,1.191930e-01 -1.190702e+00 2.818255e+00,1.196959e-01 -1.192868e+00 2.816513e+00,1.204392e-01 -1.192370e+00 2.816489e+00,1.206602e-01 -1.192576e+00 2.816354e+00,1.206947e-01 -1.193158e+00 2.816323e+00,1.207117e-01 -1.193058e+00 2.816344e+00,1.207049e-01 -1.193102e+00 2.816466e+00,1.205776e-01 -1.193362e+00 2.815552e+00,1.203102e-01 -1.192815e+00 2.816692e+00,1.200307e-01 -1.192855e+00 2.817308e+00,1.198675e-01 -1.193603e+00 2.817484e+00,1.197778e-01 -1.195010e+00 2.816201e+00,1.203717e-01 -1.194731e+00 2.816181e+00,1.203985e-01 -1.194109e+00 2.816772e+00,1.203065e-01 -1.191061e+00 2.818193e+00,1.201924e-01 -1.191374e+00 2.818237e+00,1.197852e-01 -1.191075e+00 2.818783e+00,1.200960e-01 -1.192345e+00 2.818453e+00,1.203489e-01 -1.192399e+00 2.818121e+00,1.205746e-01 -1.190301e+00 2.817660e+00,1.205731e-01 -1.189077e+00 2.818236e+00,1.203710e-01 -1.189542e+00 2.818772e+00,1.201227e-01 -1.189343e+00 2.819516e+00,1.204456e-01 -1.191846e+00 2.817165e+00,1.204722e-01 -1.191734e+00 2.817025e+00,1.202960e-01 -1.191816e+00 2.817149e+00,1.205243e-01 -1.191734e+00 2.816729e+00,1.205305e-01 -1.191720e+00 2.816730e+00,1.202742e-01 -1.192387e+00 2.815974e+00,1.203647e-01 -1.192315e+00 2.815916e+00,1.199099e-01 -1.191356e+00 2.818337e+00,1.198567e-01 -1.191207e+00 2.818266e+00,1.198902e-01 -1.191866e+00 2.818092e+00,1.197989e-01 -1.191919e+00 2.818028e+00,1.206431e-01 -1.191510e+00 2.818191e+00,1.204947e-01 -1.191964e+00 2.818450e+00,1.207682e-01 -1.190552e+00 2.819169e+00,1.209414e-01 -1.188489e+00 2.820363e+00,1.209515e-01 -1.188603e+00 2.820089e+00,1.207746e-01 -1.189182e+00 2.819518e+00,1.206775e-01 -1.189518e+00 2.819010e+00,1.204838e-01 -1.188897e+00 2.818985e+00,1.204934e-01 -1.188901e+00 2.818889e+00,1.205605e-01 -1.190238e+00 2.818460e+00,1.204401e-01 -1.190396e+00 2.818855e+00,1.196936e-01 -1.191451e+00 2.818982e+00,1.199054e-01 -1.192506e+00 2.819093e+00,1.200916e-01 -1.192299e+00 2.818906e+00
1.295072e-01 -1.245792e+00 2.689189e+00,1.290956e-01 -1.246820e+00 2.690263e+00,1.291485e-01 -1.246829e+00 2.690234e+00,1.298949e-01 -1.247108e+00 2.690383e+00,1.290430e-01 -1.246399e+00 2.691898e+00,1.297370e-01 -1.245784e+00 2.695486e+00,1.308393e-01 -1.246036e+00 2.695327e+00,1.311843e-01 -1.245831e+00 2.694903e+00,1.307860e-01 -1.246075e+00 2.694519e+00,1.307175e-01 -1.246077e+00 2.694354e+00,1.307325e-01 -1.246106e+00 2.694382e+00,1.303727e-01 -1.247338e+00 2.691786e+00,1.292976e-01 -1.246694e+00 2.678445e+00,1.271849e-01 -1.248264e+00 2.684629e+00,1.272269e-01 -1.247795e+00 2.689251e+00,1.276652e-01 -1.247823e+00 2.689716e+00,1.296939e-01 -1.247351e+00 2.696876e+00,1.305450e-01 -1.247275e+00 2.693251e+00,1.306282e-01 -1.246794e+00 2.691921e+00,1.305752e-01 -1.246650e+00 2.689802e+00,1.317521e-01 -1.246529e+00 2.691850e+00,1.319037e-01 -1.246848e+00 2.692869e+00,1.310073e-01 -1.246426e+00 2.690586e+00,1.309341e-01 -1.246488e+00 2.691043e+00,1.296852e-01 -1.246580e+00 2.691100e+00,1.293686e-01 -1.246387e+00 2.689309e+00,1.278871e-01 -1.245931e+00 2.683046e+00,1.281373e-01 -1.245305e+00 2.681828e+00,1.279344e-01 -1.245379e+00 2.681444e+00,1.263884e-01 -1.244889e+00 2.673801e+00,1.285506e-01 -1.247496e+00 2.680365e+00,1.294450e-01 -1.246849e+00 2.683903e+00,1.304917e-01 -1.247146e+00 2.688192e+00,1.302601e-01 -1.246742e+00 2.687357e+00,1.305784e-01 -1.246796e+00 2.688661e+00,1.303962e-01 -1.246327e+00 2.688543e+00,1.298900e-01 -1.245820e+00 2.684788e+00,1.293573e-01 -1.246092e+00 2.687078e+00,1.311227e-01 -1.246565e+00 2.689710e+00,1.331780e-01 -1.245674e+00 2.696071e+00,1.315932e-01 -1.246151e+00 2.690473e+00,1.308611e-01 -1.246448e+00 2.693671e+00,1.307598e-01 -1.247507e+00 2.686180e+00,1.298454e-01 -1.247302e+00 2.686655e+00,1.297523e-01 -1.246630e+00 2.685523e+00,1.301998e-01 -1.246161e+00 2.690186e+00,1.298321e-01 -1.246153e+00 2.689660e+00,1.300007e-01 -1.246212e+00 2.690568e+00,1.300805e-01 -1.246673e+00 2.690873e+00,1.290180e-01 -1.246840e+00 2.682029e+00
-1.256977e-03 7.518368e-02 2.801374e+00,-1.252562e-03 7.507551e-02 2.801466e+00,-1.276817e-03 7.496136e-02 2.801671e+00,-1.169892e-03 7.481110e-02 2.801878e+00,-1.296985e-03 7.478818e-02 2.802055e+00,-1.395191e-03 7.475657e-02 2.802099e+00,-1.461740e-03 7.465795e-02 2.802378e+00,-1.636306e-03 7.467792e-02 2.802537e+00,-1.761124e-03 7.445353e-02 2.802928e+00,-1.750977e-03 7.447235e-02 2.803174e+00,-1.733954e-03 7.445184e-02 2.804613e+00,-1.992778e-03 7.462665e-02 2.807242e+00,-1.986412e-03 7.475780e-02 2.808468e+00,-2.148737e-03 7.524922e-02 2.809922e+00,-2.891938e-03 7.647818e-02 2.811967e+00,-3.110335e-03 7.694697e-02 2.812657e+00,-4.020546e-03 7.875083e-02 2.813916e+00,-4.117950e-03 7.976814e-02 2.814735e+00,-4.263542e-03 8.013979e-02 2.814279e+00,-4.410918e-03 8.011112e-02 2.814081e+00,-4.829477e-03 8.072056e-02 2.814067e+00,-5.435830e-03 8.126195e-02 2.813404e+00,-5.735188e-03 8.124337e-02 2.812604e+00,-5.821513e-03 8.124760e-02 2.812256e+00,-5.918710e-03 8.117025e-02 2.812071e+00,-6.075300e-03 8.151151e-02 2.812035e+00,-6.247941e-03 8.118500e-02 2.811620e+00,-6.738038e-03 8.085821e-02 2.811461e+00,-7.141180e-03 8.034068e-02 2.811227e+00,-7.463874e-03 8.003251e-02 2.811045e+00,-8.587995e-03 7.921190e-02 2.810719e+00,-8.709588e-03 7.903680e-02 2.810509e+00,-8.521096e-03 7.836981e-02 2.810183e+00,-8.132321e-03 7.749583e-02 2.808785e+00,-7.666829e-03 7.705210e-02 2.808201e+00,-7.303141e-03 7.680564e-02 2.807788e+00,-6.235631e-03 7.641541e-02 2.806234e+00,-5.857732e-03 7.637443e-02 2.805910e+00,-5.443213e-03 7.630530e-02 2.805565e+00,-5.213958e-03 7.607865e-02 2.805476e+00,-5.166703e-03 7.603085e-02 2.805605e+00,-5.043151e-03 7.590897e-02 2.805554e+00,-4.860919e-03 7.578573e-02 2.805298e+00,-4.777305e-03 7.570819e-02 2.805250e+00,-4.694278e-03 7.565922e-02 2.805214e+00,-4.555055e-03 7.551102e-02 2.805188e+00,-4.471942e-03 7.547322e-02 2.805232e+00,-4.409632e-03 7.524838e-02 2.805333e+00,-4.228391e-03 7.491560e-02 2.805395e+00,-4.187747e-03 7.483333e-02 2.805541e+00
