4.578315e-02 -6.156881e-01 2.767653e+00,4.577988e-02 -6.156610e-01 2.767586e+00,4.577440e-02 -6.156403e-01 2.767526e+00,4.491413e-02 -6.154618e-01 2.766828e+00,4.440251e-02 -6.154418e-01 2.766168e+00,4.267062e-02 -6.146669e-01 2.764684e+00,4.106497e-02 -6.139751e-01 2.763315e+00,3.704949e-02 -6.133092e-01 2.762052e+00,3.242508e-02 -6.127573e-01 2.760609e+00,3.122431e-02 -6.127951e-01 2.759843e+00,3.044154e-02 -6.129075e-01 2.759623e+00,3.046998e-02 -6.127419e-01 2.759400e+00,3.042525e-02 -6.121239e-01 2.759331e+00,3.007850e-02 -6.107283e-01 2.758510e+00,2.995303e-02 -6.073306e-01 2.758285e+00,2.999351e-02 -6.066335e-01 2.758170e+00,2.905730e-02 -6.040985e-01 2.758131e+00,2.842201e-02 -6.033631e-01 2.759163e+00,2.895734e-02 -6.002230e-01 2.760892e+00,3.684820e-02 -5.849411e-01 2.766327e+00,3.787170e-02 -5.835295e-01 2.766905e+00,3.859341e-02 -5.821890e-01 2.767452e+00,3.852762e-02 -5.745209e-01 2.769377e+00,3.660788e-02 -5.798621e-01 2.770031e+00,3.248088e-02 -6.001624e-01 2.771022e+00,2.573157e-02 -6.073226e-01 2.772103e+00,2.528311e-02 -6.103829e-01 2.771536e+00,2.381527e-02 -6.147689e-01 2.771843e+00,2.281565e-02 -6.121922e-01 2.771896e+00,2.297362e-02 -6.117657e-01 2.772053e+00,2.099405e-02 -6.105343e-01 2.772571e+00,2.103017e-02 -6.104539e-01 2.772729e+00,2.107704e-02 -6.104487e-01 2.772750e+00,2.226074e-02 -6.114202e-01 2.773191e+00,2.240310e-02 -6.116124e-01 2.773262e+00,2.239869e-02 -6.114472e-01 2.773235e+00,2.237828e-02 -6.114481e-01 2.773210e+00,2.233200e-02 -6.116884e-01 2.773068e+00,2.211256e-02 -6.116933e-01 2.773003e+00,2.264749e-02 -6.117956e-01 2.773146e+00,2.290301e-02 -6.119120e-01 2.773282e+00,2.337592e-02 -6.119971e-01 2.773445e+00,2.408305e-02 -6.118983e-01 2.773793e+00,2.487258e-02 -6.117060e-01 2.774367e+00,2.506362e-02 -6.116205e-01 2.774373e+00
2.313521e-01 -6.467239e-01 2.724436e+00,2.310262e-01 -6.434219e-01 2.725660e+00,2.295650e-01 -6.464838e-01 2.723913e+00,2.351763e-01 -6.370645e-01 2.716446e+00,2.355062e-01 -5.991127e-01 2.715585e+00,2.304154e-01 -5.409780e-01 2.699715e+00,2.691000e-01 -4.955568e-01 2.644993e+00,2.808595e-01 -4.380806e-01 2.624985e+00,2.933306e-01 -2.884285e-01 2.629791e+00,2.911368e-01 -2.340804e-01 2.649186e+00,2.875785e-01 -1.377136e-01 2.702081e+00,2.730257e-01 -8.364864e-02 2.740434e+00,2.527540e-01 -5.654265e-02 2.784114e+00,2.446352e-01 -4.667588e-02 2.775735e+00,2.476843e-01 -1.005087e-02 2.735556e+00,2.513682e-01 1.373712e-02 2.719035e+00,2.439637e-01 8.406907e-02 2.657562e+00,2.000877e-01 2.291097e-01 2.502097e+00,1.813087e-01 2.845875e-01 2.420545e+00,1.616641e-01 2.505121e-01 2.311185e+00,1.532603e-01 2.391533e-01 2.294880e+00,1.390610e-01 2.292804e-01 2.288387e+00,1.205413e-01 1.986142e-01 2.269867e+00,1.158016e-01 1.365774e-01 2.254032e+00,1.188116e-01 9.739735e-02 2.248959e+00,1.240020e-01 -2.439125e-03 2.242357e+00,1.315943e-01 -6.288862e-02 2.242400e+00,1.486896e-01 -1.296411e-01 2.249240e+00,1.751087e-01 -2.657305e-01 2.298772e+00,1.791092e-01 -3.426175e-01 2.312789e+00,1.950713e-01 -4.752297e-01 2.390046e+00,2.025356e-01 -5.215204e-01 2.439538e+00,2.107263e-01 -5.559983e-01 2.494945e+00,2.240863e-01 -5.975562e-01 2.609988e+00,2.262769e-01 -6.014066e-01 2.659636e+00,2.459899e-01 -6.348525e-01 2.712523e+00,2.440315e-01 -6.123032e-01 2.745571e+00,2.447684e-01 -6.120607e-01 2.777336e+00,2.438164e-01 -6.127157e-01 2.785869e+00,2.362281e-01 -6.198598e-01 2.798479e+00,2.286156e-01 -6.253468e-01 2.796376e+00,2.269681e-01 -6.270697e-01 2.796687e+00,2.195171e-01 -6.276522e-01 2.791217e+00,2.165855e-01 -6.241605e-01 2.785374e+00,2.168736e-01 -6.265447e-01 2.781121e+00
-2.286669e-02 -6.070491e-01 2.732738e+00,-2.287704e-02 -6.070390e-01 2.732643e+00,-2.289643e-02 -6.070175e-01 2.732552e+00,-2.367566e-02 -6.069425e-01 2.732020e+00,-2.434094e-02 -6.069452e-01 2.731200e+00,-2.607829e-02 -6.063532e-01 2.729604e+00,-2.774318e-02 -6.054233e-01 2.728119e+00,-3.230511e-02 -6.040438e-01 2.725752e+00,-3.673674e-02 -6.026386e-01 2.722998e+00,-3.786972e-02 -6.024944e-01 2.721663e+00,-3.844931e-02 -6.024815e-01 2.721083e+00,-3.830145e-02 -6.022623e-01 2.720617e+00,-3.827392e-02 -6.016960e-01 2.720502e+00,-3.849479e-02 -6.013286e-01 2.720379e+00,-3.871506e-02 -6.002859e-01 2.721234e+00,-3.873009e-02 -6.000121e-01 2.721961e+00,-3.968681e-02 -5.983150e-01 2.726807e+00,-4.041581e-02 -5.955722e-01 2.733761e+00,-3.974696e-02 -5.917006e-01 2.737582e+00,-3.155465e-02 -5.789830e-01 2.745897e+00,-3.058306e-02 -5.778052e-01 2.746933e+00,-3.002585e-02 -5.763453e-01 2.748082e+00,-2.946771e-02 -5.667880e-01 2.750996e+00,-3.132110e-02 -5.765483e-01 2.752162e+00,-3.555708e-02 -6.034558e-01 2.751881e+00,-4.081264e-02 -6.072178e-01 2.752648e+00,-4.148106e-02 -6.091487e-01 2.752651e+00,-4.143398e-02 -6.121185e-01 2.753776e+00,-4.272553e-02 -6.072028e-01 2.752308e+00,-4.263590e-02 -6.056389e-01 2.751286e+00,-4.676590e-02 -6.011051e-01 2.749306e+00,-4.677938e-02 -6.005283e-01 2.749002e+00,-4.667154e-02 -6.001782e-01 2.748542e+00,-4.543180e-02 -6.017611e-01 2.747808e+00,-4.529423e-02 -6.020308e-01 2.747541e+00,-4.552342e-02 -6.013059e-01 2.746483e+00,-4.561594e-02 -6.014288e-01 2.746046e+00,-4.600429e-02 -6.027341e-01 2.744535e+00,-4.643746e-02 -6.026959e-01 2.743808e+00,-4.569545e-02 -6.028160e-01 2.743042e+00,-4.545648e-02 -6.030090e-01 2.742938e+00,-4.496413e-02 -6.030343e-01 2.742584e+00,-4.440004e-02 -6.022237e-01 2.742346e+00,-4.375665e-02 -6.016571e-01 2.742500e+00,-4.332730e-02 -6.006591e-01 2.741483e+00
2.487071e-02 -9.191030e-01 2.728812e+00,2.515066e-02 -9.192755e-01 2.728516e+00,2.516363e-02 -9.163770e-01 2.726775e+00,2.493704e-02 -9.182273e-01 2.726001e+00,2.482153e-02 -9.187350e-01 2.725488e+00,2.440487e-02 -9.207739e-01 2.724859e+00,2.407081e-02 -9.208553e-01 2.724266e+00,2.345892e-02 -9.208071e-01 2.723686e+00,2.271600e-02 -9.204948e-01 2.722159e+00,2.250910e-02 -9.202985e-01 2.721326e+00,2.269257e-02 -9.207487e-01 2.721377e+00,2.493703e-02 -9.273306e-01 2.722951e+00,2.403170e-02 -9.259687e-01 2.722365e+00,2.406348e-02 -9.195930e-01 2.720001e+00,2.377603e-02 -9.191852e-01 2.720147e+00,2.380334e-02 -9.189476e-01 2.720464e+00,2.350257e-02 -9.192468e-01 2.721343e+00,2.174289e-02 -9.228723e-01 2.728962e+00,2.223951e-02 -9.232312e-01 2.730484e+00,3.062846e-02 -9.491895e-01 2.748363e+00,2.885463e-02 -9.419020e-01 2.748641e+00,2.902953e-02 -9.379019e-01 2.749323e+00,2.835478e-02 -9.339317e-01 2.749244e+00,2.842307e-02 -9.394171e-01 2.752286e+00,2.823124e-02 -9.373604e-01 2.752431e+00,2.576562e-02 -9.320350e-01 2.750172e+00,2.610330e-02 -9.381697e-01 2.751132e+00,2.565768e-02 -9.377109e-01 2.751345e+00,2.381906e-02 -9.356008e-01 2.751188e+00,2.507264e-02 -9.448264e-01 2.754534e+00,2.426148e-02 -9.440890e-01 2.755709e+00,2.053698e-02 -9.414887e-01 2.757275e+00,1.666238e-02 -9.402519e-01 2.757719e+00,1.661869e-02 -9.387285e-01 2.757981e+00,1.635735e-02 -9.383289e-01 2.757874e+00,1.572040e-02 -9.371711e-01 2.757809e+00,1.399549e-02 -9.395946e-01 2.758531e+00,1.409901e-02 -9.361753e-01 2.757611e+00,1.408567e-02 -9.355061e-01 2.756988e+00,1.383809e-02 -9.355034e-01 2.756827e+00,1.407700e-02 -9.350833e-01 2.756835e+00,1.292918e-02 -9.333972e-01 2.756458e+00,1.238060e-02 -9.328468e-01 2.756202e+00,1.245882e-02 -9.328403e-01 2.756147e+00,1.247890e-02 -9.321904e-01 2.755321e+00
-1.005113e-02 -1.239634e+00 2.710334e+00,-1.047739e-02 -1.238633e+00 2.708728e+00,-1.089255e-02 -1.236002e+00 2.707637e+00,-1.210912e-02 -1.235375e+00 2.706507e+00,-1.190943e-02 -1.234535e+00 2.705879e+00,-1.245294e-02 -1.234104e+00 2.704032e+00,-1.237575e-02 -1.234260e+00 2.703911e+00,-1.297238e-02 -1.233806e+00 2.703698e+00,-1.274872e-02 -1.234193e+00 2.703702e+00,-1.256874e-02 -1.234283e+00 2.703600e+00,-1.263687e-02 -1.235452e+00 2.703699e+00,-1.204917e-02 -1.236838e+00 2.703428e+00,-1.227796e-02 -1.237046e+00 2.703482e+00,-1.238173e-02 -1.236709e+00 2.703474e+00,-1.262206e-02 -1.236483e+00 2.703648e+00,-1.291095e-02 -1.236747e+00 2.703690e+00,-1.158910e-02 -1.235781e+00 2.704974e+00,-9.057026e-03 -1.238123e+00 2.712360e+00,-8.686218e-03 -1.240294e+00 2.714108e+00,1.041462e-03 -1.248031e+00 2.727837e+00,1.488197e-03 -1.218630e+00 2.760602e+00,1.455575e-03 -1.218500e+00 2.760746e+00,1.375356e-03 -1.218908e+00 2.760935e+00,7.823405e-04 -1.218069e+00 2.761592e+00,6.654660e-04 -1.218146e+00 2.761558e+00,3.145370e-04 -1.218086e+00 2.762385e+00,-3.077210e-04 -1.217259e+00 2.761876e+00,-7.028802e-04 -1.217284e+00 2.761793e+00,-9.046380e-04 -1.217395e+00 2.761663e+00,-1.174679e-03 -1.217595e+00 2.761967e+00,-1.400349e-03 -1.217768e+00 2.762172e+00,-1.040523e-03 -1.217203e+00 2.762802e+00,-9.223868e-04 -1.217219e+00 2.762808e+00,-6.744072e-04 -1.216314e+00 2.763216e+00,-7.926337e-04 -1.215409e+00 2.764105e+00,-1.777298e-03 -1.214469e+00 2.764463e+00,-2.645113e-03 -1.213540e+00 2.764220e+00,-2.685439e-03 -1.213709e+00 2.764096e+00,-2.859073e-03 -1.213920e+00 2.764153e+00,-2.853666e-03 -1.214042e+00 2.764251e+00,-2.781003e-03 -1.213950e+00 2.764415e+00,-3.168921e-03 -1.214330e+00 2.764256e+00,-3.398688e-03 -1.213661e+00 2.764301e+00,-3.588671e-03 -1.213317e+00 2.764811e+00,-5.870020e-03 -1.214759e+00 2.762719e+00
2.646949e-02 -1.277224e+00 2.590468e+00,2.813852e-02 -1.277100e+00 2.590253e+00,2.850971e-02 -1.277661e+00 2.591466e+00,3.030344e-02 -1.276643e+00 2.591516e+00,2.937537e-02 -1.275843e+00 2.590410e+00,2.830822e-02 -1.272659e+00 2.586598e+00,2.944918e-02 -1.272186e+00 2.586606e+00,3.018120e-02 -1.272919e+00 2.587758e+00,2.902397e-02 -1.283779e+00 2.594463e+00,2.906029e-02 -1.282441e+00 2.593163e+00,2.787144e-02 -1.279217e+00 2.589511e+00,2.840258e-02 -1.277738e+00 2.587334e+00,2.832095e-02 -1.276207e+00 2.586432e+00,2.580960e-02 -1.281436e+00 2.588947e+00,2.825291e-02 -1.281744e+00 2.590761e+00,2.840218e-02 -1.281683e+00 2.590788e+00,2.777960e-02 -1.281517e+00 2.591691e+00,2.850313e-02 -1.275230e+00 2.592737e+00,2.795674e-02 -1.273267e+00 2.591895e+00,2.481513e-02 -1.272896e+00 2.597992e+00,1.894161e-02 -1.265959e+00 2.621670e+00,1.894310e-02 -1.265971e+00 2.621660e+00,1.847253e-02 -1.266485e+00 2.618541e+00,1.744976e-02 -1.266101e+00 2.622021e+00,1.655986e-02 -1.266441e+00 2.621893e+00,1.771185e-02 -1.265992e+00 2.618542e+00,1.698374e-02 -1.265436e+00 2.619632e+00,1.762156e-02 -1.265212e+00 2.620064e+00,1.673972e-02 -1.265226e+00 2.622422e+00,1.703630e-02 -1.265140e+00 2.621347e+00,2.134844e-02 -1.265818e+00 2.616220e+00,2.140145e-02 -1.265899e+00 2.616175e+00,2.195183e-02 -1.265829e+00 2.612923e+00,1.905629e-02 -1.266535e+00 2.615487e+00,2.140857e-02 -1.266119e+00 2.615000e+00,2.145465e-02 -1.266760e+00 2.614958e+00,1.639252e-02 -1.267086e+00 2.608838e+00,1.451685e-02 -1.266330e+00 2.613430e+00,2.134435e-02 -1.265790e+00 2.602398e+00,1.565866e-02 -1.262452e+00 2.599922e+00,2.062579e-02 -1.265017e+00 2.611470e+00,1.216140e-02 -1.260548e+00 2.598599e+00,1.803946e-02 -1.261753e+00 2.600317e+00,1.434929e-02 -1.263059e+00 2.624044e+00,1.614986e-02 -1.263770e+00 2.622702e+00
1.134425e-01 -6.095770e-01 2.735892e+00,1.134405e-01 -6.095291e-01 2.735841e+00,1.134414e-01 -6.095067e-01 2.735801e+00,1.124942e-01 -6.091476e-01 2.734874e+00,1.121172e-01 -6.091072e-01 2.734363e+00,1.104054e-01 -6.081581e-01 2.732998e+00,1.088848e-01 -6.076900e-01 2.731742e+00,1.052959e-01 -6.076036e-01 2.731360e+00,1.003516e-01 -6.079701e-01 2.731281e+00,9.913746e-02 -6.081733e-01 2.730997e+00,9.804656e-02 -6.085416e-01 2.731273e+00,9.803921e-02 -6.084197e-01 2.731204e+00,9.796954e-02 -6.077546e-01 2.731209e+00,9.783188e-02 -6.043251e-01 2.729148e+00,9.802762e-02 -5.977318e-01 2.727127e+00,9.816176e-02 -5.962198e-01 2.725859e+00,9.638020e-02 -5.915385e-01 2.721071e+00,9.562752e-02 -5.923029e-01 2.720078e+00,9.608360e-02 -5.911492e-01 2.719934e+00,1.039435e-01 -5.759292e-01 2.720592e+00,1.051141e-01 -5.744277e-01 2.720582e+00,1.060603e-01 -5.732686e-01 2.720527e+00,1.056194e-01 -5.679780e-01 2.721298e+00,1.037135e-01 -5.703097e-01 2.721556e+00,1.000221e-01 -5.834827e-01 2.723176e+00,9.152959e-02 -5.940452e-01 2.724767e+00,9.150036e-02 -5.978799e-01 2.723495e+00,8.781353e-02 -6.038805e-01 2.722681e+00,8.714798e-02 -6.022402e-01 2.723907e+00,8.783711e-02 -6.021563e-01 2.725790e+00,8.639532e-02 -6.029569e-01 2.728484e+00,8.704638e-02 -6.039315e-01 2.730242e+00,8.753128e-02 -6.046329e-01 2.731004e+00,8.936094e-02 -6.057845e-01 2.732812e+00,8.964941e-02 -6.061248e-01 2.733270e+00,8.987965e-02 -6.062286e-01 2.733733e+00,8.984754e-02 -6.062031e-01 2.733824e+00,9.001476e-02 -6.061587e-01 2.734319e+00,8.969898e-02 -6.061791e-01 2.734749e+00,9.078013e-02 -6.063436e-01 2.736541e+00,9.113680e-02 -6.063707e-01 2.737083e+00,9.184035e-02 -6.065577e-01 2.738076e+00,9.266432e-02 -6.066583e-01 2.739038e+00,9.363666e-02 -6.069759e-01 2.740167e+00,9.391700e-02 -6.074479e-01 2.740880e+00
1.354747e-01 -8.935089e-01 2.693120e+00,1.361732e-01 -8.933783e-01 2.691227e+00,1.359515e-01 -8.933612e-01 2.690468e+00,1.373511e-01 -8.927824e-01 2.688555e+00,1.371695e-01 -8.927301e-01 2.688285e+00,1.302289e-01 -8.922268e-01 2.699564e+00,1.289664e-01 -8.916667e-01 2.701228e+00,1.435776e-01 -8.898180e-01 2.691489e+00,1.437778e-01 -8.894202e-01 2.688241e+00,1.415629e-01 -8.897820e-01 2.688566e+00,1.482393e-01 -8.888244e-01 2.685887e+00,1.467707e-01 -8.889608e-01 2.685796e+00,1.453536e-01 -8.885431e-01 2.686188e+00,1.347232e-01 -8.867802e-01 2.688201e+00,1.192863e-01 -8.818653e-01 2.692588e+00,1.175776e-01 -8.804657e-01 2.693336e+00,1.098520e-01 -8.759209e-01 2.696027e+00,1.077474e-01 -8.757731e-01 2.708035e+00,1.087404e-01 -8.747617e-01 2.706284e+00,8.946071e-02 -8.591882e-01 2.713051e+00,8.909075e-02 -8.575783e-01 2.713553e+00,9.135599e-02 -8.564471e-01 2.713944e+00,9.205222e-02 -8.513848e-01 2.713817e+00,9.233383e-02 -8.536745e-01 2.714857e+00,8.776740e-02 -8.665309e-01 2.717315e+00,7.941813e-02 -8.763502e-01 2.723583e+00,7.919477e-02 -8.797069e-01 2.725250e+00,5.542181e-02 -8.830779e-01 2.731244e+00,5.436575e-02 -8.817756e-01 2.730347e+00,5.377020e-02 -8.818731e-01 2.730241e+00,5.138659e-02 -8.827148e-01 2.731909e+00,5.030805e-02 -8.836676e-01 2.732375e+00,4.948308e-02 -8.842419e-01 2.732837e+00,4.875313e-02 -8.852592e-01 2.733180e+00,4.819879e-02 -8.855062e-01 2.733454e+00,4.816133e-02 -8.856651e-01 2.733258e+00,4.792570e-02 -8.856319e-01 2.733202e+00,4.816392e-02 -8.856941e-01 2.733007e+00,4.812572e-02 -8.858127e-01 2.732997e+00,4.770088e-02 -8.860792e-01 2.732389e+00,4.712301e-02 -8.860266e-01 2.732488e+00,4.680895e-02 -8.862210e-01 2.732181e+00,4.627916e-02 -8.862731e-01 2.731803e+00,4.589214e-02 -8.865311e-01 2.731547e+00,4.304259e-02 -8.865748e-01 2.731372e+00
7.921833e-02 -1.215912e+00 2.739031e+00,7.947636e-02 -1.215617e+00 2.737623e+00,7.973823e-02 -1.215664e+00 2.736961e+00,8.115229e-02 -1.214978e+00 2.735650e+00,8.108909e-02 -1.214780e+00 2.736259e+00,7.750306e-02 -1.215570e+00 2.743499e+00,7.701943e-02 -1.215200e+00 2.744798e+00,8.865218e-02 -1.212365e+00 2.737960e+00,9.017555e-02 -1.211902e+00 2.736215e+00,8.906735e-02 -1.212591e+00 2.735723e+00,9.439778e-02 -1.211503e+00 2.732639e+00,9.322529e-02 -1.211804e+00 2.731911e+00,9.192786e-02 -1.211249e+00 2.733151e+00,8.705311e-02 -1.210930e+00 2.732023e+00,7.460544e-02 -1.206587e+00 2.735577e+00,7.343867e-02 -1.205227e+00 2.736546e+00,6.864120e-02 -1.200875e+00 2.740366e+00,6.271959e-02 -1.200799e+00 2.749134e+00,6.544128e-02 -1.200108e+00 2.746859e+00,5.656188e-02 -1.186510e+00 2.749018e+00,5.635035e-02 -1.184985e+00 2.749109e+00,5.777778e-02 -1.184093e+00 2.747339e+00,6.027230e-02 -1.181116e+00 2.731206e+00,5.874544e-02 -1.183611e+00 2.727722e+00,5.689853e-02 -1.196703e+00 2.729670e+00,5.265359e-02 -1.207020e+00 2.733250e+00,5.396123e-02 -1.208654e+00 2.753552e+00,4.461264e-02 -1.213244e+00 2.755590e+00,4.370384e-02 -1.211463e+00 2.758760e+00,4.312118e-02 -1.211390e+00 2.759976e+00,4.226968e-02 -1.212243e+00 2.761862e+00,4.220873e-02 -1.213181e+00 2.762604e+00,4.154197e-02 -1.213847e+00 2.762373e+00,4.090846e-02 -1.214796e+00 2.763218e+00,4.117126e-02 -1.215047e+00 2.763587e+00,4.099568e-02 -1.215162e+00 2.763698e+00,4.098346e-02 -1.214998e+00 2.764648e+00,3.927978e-02 -1.215000e+00 2.764568e+00,3.942006e-02 -1.215129e+00 2.764506e+00,3.915468e-02 -1.215681e+00 2.761767e+00,5.205988e-02 -1.218157e+00 2.733011e+00,3.982548e-02 -1.216757e+00 2.753925e+00,5.385502e-02 -1.217360e+00 2.689563e+00,5.387731e-02 -1.217602e+00 2.689254e+00,5.315411e-02 -1.217574e+00 2.688925e+00
4.559226e-02 -1.266555e+00 2.615009e+00,3.903925e-02 -1.263369e+00 2.594572e+00,3.995771e-02 -1.263412e+00 2.595012e+00,4.244450e-02 -1.264564e+00 2.597889e+00,4.462969e-02 -1.263861e+00 2.591183e+00,4.906972e-02 -1.265358e+00 2.617378e+00,4.871358e-02 -1.265723e+00 2.618633e+00,4.672436e-02 -1.265181e+00 2.606084e+00,4.430775e-02 -1.266543e+00 2.611680e+00,3.483149e-02 -1.265910e+00 2.589891e+00,4.146095e-02 -1.266031e+00 2.599094e+00,3.811353e-02 -1.266220e+00 2.594729e+00,3.791998e-02 -1.266250e+00 2.594502e+00,3.481699e-02 -1.267101e+00 2.597140e+00,3.602710e-02 -1.265295e+00 2.605432e+00,3.693660e-02 -1.265811e+00 2.613160e+00,3.780541e-02 -1.266306e+00 2.611552e+00,4.306415e-02 -1.267130e+00 2.602147e+00,4.341155e-02 -1.266596e+00 2.599918e+00,5.129341e-02 -1.265164e+00 2.602412e+00,4.783458e-02 -1.269176e+00 2.611067e+00,4.529871e-02 -1.268464e+00 2.613840e+00,4.346556e-02 -1.267940e+00 2.608428e+00,4.444080e-02 -1.267001e+00 2.609022e+00,4.161693e-02 -1.267612e+00 2.608636e+00,4.208627e-02 -1.266170e+00 2.595925e+00,4.035993e-02 -1.265412e+00 2.593286e+00,4.076114e-02 -1.266581e+00 2.602895e+00,4.193749e-02 -1.266530e+00 2.601564e+00,4.536837e-02 -1.266280e+00 2.603179e+00,4.468255e-02 -1.266133e+00 2.607087e+00,4.266895e-02 -1.266325e+00 2.615221e+00,4.266369e-02 -1.266296e+00 2.615140e+00,4.337008e-02 -1.265838e+00 2.615947e+00,5.028889e-02 -1.263748e+00 2.611650e+00,4.494706e-02 -1.263041e+00 2.619445e+00,4.207247e-02 -1.262918e+00 2.613758e+00,4.289783e-02 -1.264056e+00 2.618320e+00,4.382429e-02 -1.262899e+00 2.606157e+00,4.305562e-02 -1.263024e+00 2.603612e+00,4.297921e-02 -1.263281e+00 2.604831e+00,4.300217e-02 -1.263326e+00 2.604852e+00,4.845320e-02 -1.286622e+00 2.587543e+00,4.569395e-02 -1.287624e+00 2.588372e+00,4.028702e-02 -1.291725e+00 2.593979e+00
5.316899e-02 -1.133747e-01 2.782471e+00,4.837820e-02 -1.134213e-01 2.783151e+00,4.842029e-02 -1.134059e-01 2.783172e+00,4.880451e-02 -1.135736e-01 2.783487e+00,4.860534e-02 -1.137598e-01 2.783339e+00,4.816259e-02 -1.131962e-01 2.782764e+00,4.795559e-02 -1.125047e-01 2.782568e+00,4.797321e-02 -1.125144e-01 2.782382e+00,4.825097e-02 -1.125555e-01 2.781996e+00,4.834749e-02 -1.124470e-01 2.781934e+00,4.767650e-02 -1.120000e-01 2.782076e+00,4.766786e-02 -1.119999e-01 2.782049e+00,4.497959e-02 -1.111156e-01 2.782257e+00,4.420463e-02 -1.106151e-01 2.781877e+00,4.193204e-02 -1.075445e-01 2.782516e+00,3.811818e-02 -1.070227e-01 2.782580e+00,3.642322e-02 -1.046088e-01 2.782364e+00,3.468282e-02 -1.023976e-01 2.782506e+00,3.476027e-02 -1.020920e-01 2.783021e+00,3.488889e-02 -1.017500e-01 2.783554e+00,3.487639e-02 -1.017478e-01 2.783551e+00,3.473068e-02 -1.018450e-01 2.783494e+00,4.476830e-02 -7.914218e-02 2.780760e+00,4.651279e-02 -8.121487e-02 2.779127e+00,4.640181e-02 -8.288507e-02 2.779495e+00,3.596941e-02 -9.167633e-02 2.781495e+00,3.603570e-02 -9.170987e-02 2.781506e+00,3.647528e-02 -9.946083e-02 2.782075e+00,3.774257e-02 -1.013418e-01 2.782533e+00,3.877805e-02 -1.025111e-01 2.782932e+00,3.966424e-02 -1.036199e-01 2.781917e+00,4.180385e-02 -1.050825e-01 2.781045e+00,4.179284e-02 -1.054283e-01 2.780135e+00,4.121372e-02 -1.071038e-01 2.777813e+00,4.124701e-02 -1.077685e-01 2.776779e+00,4.244799e-02 -1.034247e-01 2.775869e+00,4.279606e-02 -1.006732e-01 2.775520e+00,4.090112e-02 -1.052749e-01 2.773662e+00,4.107592e-02 -1.058284e-01 2.773551e+00,4.077505e-02 -1.073539e-01 2.773177e+00,4.083811e-02 -1.080986e-01 2.773154e+00,4.082893e-02 -1.081753e-01 2.773224e+00,4.054257e-02 -1.088941e-01 2.773473e+00,4.019103e-02 -1.096008e-01 2.774577e+00,3.934290e-02 -1.108135e-01 2.775665e+00
-1.208984e-01 -6.739073e-01 2.666671e+00,-1.272352e-01 -6.678499e-01 2.665306e+00,-1.230955e-01 -6.726742e-01 2.659100e+00,-1.227950e-01 -6.709409e-01 2.652243e+00,-1.231752e-01 -6.730772e-01 2.660672e+00,-1.302549e-01 -6.650068e-01 2.657249e+00,-1.370290e-01 -6.594833e-01 2.657811e+00,-1.349385e-01 -6.648936e-01 2.659306e+00,-1.429523e-01 -6.600209e-01 2.662111e+00,-1.348540e-01 -6.645449e-01 2.657906e+00,-1.355650e-01 -6.593982e-01 2.659541e+00,-1.373794e-01 -6.561449e-01 2.654685e+00,-1.341365e-01 -6.559238e-01 2.648280e+00,-1.370100e-01 -6.544163e-01 2.647686e+00,-1.236764e-01 -6.612157e-01 2.643109e+00,-1.286767e-01 -6.569035e-01 2.650315e+00,-1.417633e-01 -6.615654e-01 2.644605e+00,-1.452123e-01 -6.643679e-01 2.653438e+00,-1.397074e-01 -6.655130e-01 2.662408e+00,-1.358710e-01 -6.664355e-01 2.659739e+00,-1.367728e-01 -6.671313e-01 2.664373e+00,-1.379584e-01 -6.650483e-01 2.658481e+00,-1.365966e-01 -6.638227e-01 2.657552e+00,-1.361136e-01 -6.621987e-01 2.657859e+00,-1.392672e-01 -6.601151e-01 2.662001e+00,-1.431064e-01 -6.628345e-01 2.673534e+00,-1.410532e-01 -6.658219e-01 2.679753e+00,-1.466317e-01 -6.602928e-01 2.687517e+00,-1.392702e-01 -6.596355e-01 2.697285e+00,-1.496606e-01 -6.626792e-01 2.699626e+00,-1.523607e-01 -6.633450e-01 2.704690e+00,-1.525771e-01 -6.629966e-01 2.703689e+00,-1.559476e-01 -6.620425e-01 2.699338e+00,-1.521262e-01 -6.610705e-01 2.695832e+00,-1.524310e-01 -6.624081e-01 2.701260e+00,-1.576605e-01 -6.628569e-01 2.700991e+00,-1.556266e-01 -6.607632e-01 2.694116e+00,-1.574503e-01 -6.619027e-01 2.697115e+00,-1.574935e-01 -6.620186e-01 2.697616e+00,-1.570684e-01 -6.602733e-01 2.690490e+00,-1.488946e-01 -6.614861e-01 2.689416e+00,-1.485264e-01 -6.598400e-01 2.682716e+00,-1.483646e-01 -6.591008e-01 2.679716e+00,-1.460489e-01 -6.626205e-01 2.680970e+00,-1.511809e-01 -6.642271e-01 2.679110e+00
