3.986523e-02 -5.585299e-01 2.731127e+00,3.877213e-02 -5.580927e-01 2.730496e+00,3.779566e-02 -5.583250e-01 2.729483e+00,3.540813e-02 -5.589030e-01 2.727597e+00,3.145438e-02 -5.592729e-01 2.726138e+00,2.701988e-02 -5.589013e-01 2.724191e+00,2.179610e-02 -5.595677e-01 2.722460e+00,1.444170e-02 -5.625225e-01 2.720535e+00,1.268965e-02 -5.663475e-01 2.719614e+00,8.900668e-03 -5.615885e-01 2.718513e+00,8.641351e-03 -5.526946e-01 2.718076e+00,6.489116e-03 -5.325783e-01 2.718273e+00,6.394284e-03 -5.326879e-01 2.718352e+00,6.655975e-03 -5.330334e-01 2.718477e+00,7.043499e-03 -5.351754e-01 2.721162e+00,1.115388e-02 -5.414549e-01 2.721967e+00,1.454874e-02 -5.469894e-01 2.724278e+00,1.661413e-02 -5.509604e-01 2.726182e+00,2.078189e-02 -5.612902e-01 2.732723e+00,2.132424e-02 -5.623006e-01 2.734944e+00,2.187314e-02 -5.634595e-01 2.737992e+00,2.281223e-02 -5.632432e-01 2.743531e+00,2.278429e-02 -5.629228e-01 2.744990e+00,2.647269e-02 -5.607607e-01 2.748883e+00,2.840057e-02 -5.608796e-01 2.750338e+00,3.002119e-02 -5.603330e-01 2.751403e+00,3.239589e-02 -5.601366e-01 2.752516e+00,3.523946e-02 -5.602053e-01 2.753751e+00,4.072717e-02 -5.607489e-01 2.756005e+00,4.199155e-02 -5.607511e-01 2.756258e+00,4.308537e-02 -5.607377e-01 2.756787e+00,4.468530e-02 -5.607660e-01 2.757205e+00,4.510262e-02 -5.606955e-01 2.757443e+00,4.572764e-02 -5.601996e-01 2.757087e+00,4.620657e-02 -5.598400e-01 2.756708e+00,4.618262e-02 -5.598745e-01 2.756310e+00,4.616282e-02 -5.598789e-01 2.756246e+00,4.635448e-02 -5.595016e-01 2.755851e+00
1.982964e-01 -5.682783e-01 2.690757e+00,2.011523e-01 -5.709110e-01 2.684187e+00,2.041103e-01 -5.612592e-01 2.660034e+00,2.133738e-01 -4.816473e-01 2.567855e+00,2.077739e-01 -4.216584e-01 2.490094e+00,1.927874e-01 -3.302142e-01 2.436384e+00,1.452875e-01 -8.550614e-02 2.389378e+00,9.888646e-02 1.020499e-01 2.379193e+00,5.488496e-02 1.598882e-01 2.400631e+00,-2.310908e-02 2.898370e-01 2.380334e+00,-5.553538e-02 3.237051e-01 2.370318e+00,-9.843978e-02 3.853218e-01 2.347136e+00,-1.026494e-01 3.887872e-01 2.351368e+00,-1.085191e-01 3.928308e-01 2.357370e+00,-1.126840e-01 3.803815e-01 2.375052e+00,-1.020359e-01 3.626201e-01 2.383175e+00,-4.794481e-02 2.893913e-01 2.403316e+00,-1.141087e-02 2.386494e-01 2.411071e+00,6.696927e-02 1.380006e-01 2.420776e+00,5.486909e-02 1.954225e-01 2.385428e+00,1.575558e-01 -2.502257e-03 2.398561e+00,2.223167e-01 -1.565530e-01 2.464237e+00,2.876838e-01 -3.014930e-01 2.454990e+00,3.124060e-01 -4.632005e-01 2.561363e+00,3.073854e-01 -5.084909e-01 2.622231e+00,2.949305e-01 -5.376266e-01 2.676974e+00,2.632660e-01 -5.763808e-01 2.745888e+00,2.390505e-01 -5.860248e-01 2.756866e+00,2.122280e-01 -5.785276e-01 2.740076e+00,2.137480e-01 -5.758348e-01 2.740243e+00,2.161475e-01 -5.745080e-01 2.743529e+00,2.158392e-01 -5.716318e-01 2.736930e+00,2.183200e-01 -5.736418e-01 2.737369e+00,2.167281e-01 -5.717431e-01 2.732044e+00,2.165507e-01 -5.726344e-01 2.729890e+00,2.185960e-01 -5.697079e-01 2.724791e+00,2.155092e-01 -5.702336e-01 2.728293e+00,2.153023e-01 -5.697028e-01 2.725737e+00
-2.882726e-02 -5.509924e-01 2.694673e+00,-2.979968e-02 -5.507929e-01 2.694546e+00,-3.070158e-02 -5.510190e-01 2.693884e+00,-3.287975e-02 -5.516919e-01 2.693187e+00,-3.663639e-02 -5.519813e-01 2.692907e+00,-4.051743e-02 -5.513581e-01 2.692962e+00,-4.582421e-02 -5.525282e-01 2.695913e+00,-5.136935e-02 -5.564339e-01 2.701005e+00,-5.119340e-02 -5.617136e-01 2.703691e+00,-5.410809e-02 -5.593098e-01 2.707436e+00,-5.403322e-02 -5.529099e-01 2.704981e+00,-5.429252e-02 -5.340038e-01 2.703250e+00,-5.452435e-02 -5.337559e-01 2.703527e+00,-5.441546e-02 -5.337411e-01 2.703686e+00,-5.391177e-02 -5.344392e-01 2.705363e+00,-5.056513e-02 -5.402784e-01 2.708443e+00,-4.739060e-02 -5.466745e-01 2.713944e+00,-4.550586e-02 -5.493664e-01 2.715951e+00,-4.072274e-02 -5.611324e-01 2.725437e+00,-4.070612e-02 -5.616204e-01 2.727597e+00,-4.063911e-02 -5.615454e-01 2.727973e+00,-4.080407e-02 -5.598983e-01 2.730302e+00,-4.126448e-02 -5.589671e-01 2.730574e+00,-3.958992e-02 -5.558115e-01 2.730725e+00,-3.871172e-02 -5.554534e-01 2.730344e+00,-3.736420e-02 -5.541143e-01 2.729679e+00,-3.536018e-02 -5.530399e-01 2.728149e+00,-3.302171e-02 -5.527795e-01 2.727260e+00,-2.801041e-02 -5.531559e-01 2.725955e+00,-2.658989e-02 -5.531327e-01 2.725140e+00,-2.549470e-02 -5.529497e-01 2.724716e+00,-2.372978e-02 -5.530022e-01 2.723744e+00,-2.337492e-02 -5.529330e-01 2.723710e+00,-2.289544e-02 -5.529087e-01 2.723003e+00,-2.258377e-02 -5.529773e-01 2.722625e+00,-2.260592e-02 -5.527994e-01 2.722024e+00,-2.264950e-02 -5.528220e-01 2.721868e+00,-2.252500e-02 -5.528278e-01 2.721661e+00
-1.427297e-02 -8.991470e-01 2.743106e+00,-1.594803e-02 -8.985941e-01 2.742581e+00,-1.731529e-02 -8.978574e-01 2.742193e+00,-1.874337e-02 -8.973275e-01 2.741452e+00,-1.934436e-02 -8.974571e-01 2.741093e+00,-1.664213e-02 -9.100328e-01 2.743661e+00,-1.629053e-02 -9.098504e-01 2.741786e+00,-1.384413e-02 -9.056082e-01 2.735478e+00,-1.450565e-02 -9.049794e-01 2.733730e+00,-1.564461e-02 -9.038205e-01 2.731583e+00,-1.632737e-02 -9.035811e-01 2.731207e+00,-1.596776e-02 -9.030397e-01 2.729932e+00,-1.403026e-02 -8.966643e-01 2.728768e+00,-1.282768e-02 -8.959808e-01 2.728752e+00,-6.068546e-03 -9.043890e-01 2.734128e+00,-4.544782e-03 -9.082401e-01 2.735976e+00,-3.183857e-03 -9.085311e-01 2.738390e+00,-2.439682e-03 -9.091451e-01 2.739351e+00,-1.732438e-03 -9.080904e-01 2.740230e+00,-9.308843e-04 -9.077656e-01 2.740807e+00,-1.021337e-03 -9.092773e-01 2.743664e+00,-5.563206e-03 -9.121021e-01 2.753963e+00,-9.981293e-03 -9.097103e-01 2.755900e+00,-1.030812e-02 -9.090340e-01 2.756526e+00,-9.910625e-03 -9.090514e-01 2.756653e+00,-9.551198e-03 -9.101915e-01 2.757168e+00,-9.632067e-03 -9.104524e-01 2.757588e+00,-9.619542e-03 -9.104640e-01 2.757694e+00,-8.234672e-03 -9.041646e-01 2.756446e+00,-8.225433e-03 -9.037013e-01 2.756405e+00,-6.945880e-03 -9.028456e-01 2.756682e+00,-6.780596e-03 -9.045100e-01 2.757193e+00,-7.319679e-03 -9.017812e-01 2.756925e+00,-6.398596e-03 -9.047499e-01 2.757583e+00,-6.462426e-03 -9.050699e-01 2.757612e+00,-6.407980e-03 -9.052617e-01 2.757871e+00,-7.740857e-03 -9.047396e-01 2.757195e+00,-8.359905e-03 -9.042717e-01 2.757013e+00
-2.088401e-02 -1.206694e+00 2.761130e+00,-2.253977e-02 -1.209146e+00 2.759692e+00,-2.257151e-02 -1.209129e+00 2.759006e+00,-2.049719e-02 -1.211753e+00 2.759054e+00,-2.020484e-02 -1.209638e+00 2.761115e+00,-2.013295e-02 -1.209650e+00 2.761136e+00,-2.038841e-02 -1.211290e+00 2.758767e+00,-2.183801e-02 -1.213696e+00 2.754796e+00,-2.315257e-02 -1.216245e+00 2.750816e+00,-2.492244e-02 -1.215933e+00 2.744207e+00,-2.496048e-02 -1.215091e+00 2.743624e+00,-2.490140e-02 -1.216226e+00 2.736157e+00,-2.442073e-02 -1.216199e+00 2.735715e+00,-2.464260e-02 -1.213703e+00 2.736274e+00,-2.443404e-02 -1.213145e+00 2.736416e+00,-2.085046e-02 -1.216252e+00 2.734467e+00,-1.856315e-02 -1.216911e+00 2.735875e+00,-1.789858e-02 -1.218982e+00 2.735524e+00,-1.809197e-02 -1.219437e+00 2.740057e+00,-1.783978e-02 -1.218923e+00 2.741398e+00,-1.530728e-02 -1.212419e+00 2.749978e+00,-1.678320e-02 -1.208892e+00 2.757420e+00,-1.683001e-02 -1.207135e+00 2.759257e+00,-1.694209e-02 -1.208611e+00 2.759082e+00,-1.707244e-02 -1.208018e+00 2.759672e+00,-1.700979e-02 -1.209281e+00 2.759988e+00,-1.606990e-02 -1.208808e+00 2.761770e+00,-1.644032e-02 -1.208047e+00 2.762017e+00,-1.689813e-02 -1.207165e+00 2.762027e+00,-1.685418e-02 -1.207158e+00 2.762089e+00,-1.565617e-02 -1.209429e+00 2.761067e+00,-1.527789e-02 -1.210021e+00 2.761220e+00,-3.295154e-02 -1.232488e+00 2.730227e+00,-1.766316e-02 -1.205795e+00 2.760958e+00,-1.705518e-02 -1.206349e+00 2.761312e+00,-1.668163e-02 -1.209543e+00 2.759480e+00,-1.718925e-02 -1.209486e+00 2.759502e+00,-1.514678e-02 -1.208415e+00 2.762563e+00
-1.254524e-02 -1.266475e+00 2.624925e+00,-1.265945e-02 -1.266579e+00 2.625900e+00,-1.187806e-02 -1.266706e+00 2.626033e+00,-6.355745e-03 -1.267634e+00 2.629979e+00,-1.368185e-02 -1.266421e+00 2.626368e+00,-1.684956e-02 -1.265291e+00 2.629508e+00,-1.503500e-02 -1.266788e+00 2.627196e+00,-1.085104e-02 -1.266868e+00 2.621894e+00,-8.663755e-03 -1.267026e+00 2.623017e+00,-6.522352e-03 -1.266096e+00 2.620295e+00,-7.401427e-03 -1.267182e+00 2.617607e+00,-6.694582e-03 -1.264994e+00 2.606144e+00,-6.841833e-03 -1.267599e+00 2.618093e+00,-9.636290e-03 -1.266062e+00 2.617344e+00,-1.759996e-03 -1.267120e+00 2.614711e+00,-8.161168e-05 -1.267205e+00 2.614447e+00,-6.901786e-04 -1.267021e+00 2.614586e+00,-5.428093e-03 -1.266849e+00 2.607644e+00,-2.449199e-03 -1.270803e+00 2.622072e+00,-4.423814e-03 -1.269142e+00 2.622189e+00,-5.591988e-03 -1.268448e+00 2.620470e+00,-6.562962e-03 -1.264674e+00 2.631649e+00,-6.013313e-03 -1.264995e+00 2.637321e+00,-5.643428e-03 -1.265940e+00 2.629451e+00,1.554622e-04 -1.265466e+00 2.632834e+00,-4.183960e-02 -1.269531e+00 2.603516e+00,-1.446164e-02 -1.265819e+00 2.625032e+00,-1.487694e-02 -1.265787e+00 2.626306e+00,-6.978079e-04 -1.266316e+00 2.630293e+00,-5.377088e-04 -1.266276e+00 2.630326e+00,-6.542749e-04 -1.266331e+00 2.631725e+00,-2.383693e-03 -1.266423e+00 2.631208e+00,5.042382e-03 -1.277816e+00 2.614985e+00,-2.628703e-03 -1.266098e+00 2.632629e+00,-6.886320e-03 -1.265928e+00 2.627783e+00,-5.759079e-03 -1.265864e+00 2.617742e+00,-3.867388e-03 -1.265470e+00 2.622627e+00,-5.196503e-03 -1.265856e+00 2.620874e+00
1.074726e-01 -5.517396e-01 2.698635e+00,1.062465e-01 -5.508925e-01 2.697337e+00,1.052865e-01 -5.511985e-01 2.696086e+00,1.026604e-01 -5.517973e-01 2.692843e+00,9.851507e-02 -5.523450e-01 2.690216e+00,9.323316e-02 -5.523483e-01 2.685713e+00,8.689534e-02 -5.528163e-01 2.677866e+00,7.733492e-02 -5.556254e-01 2.668643e+00,7.385506e-02 -5.589989e-01 2.664737e+00,6.911482e-02 -5.477320e-01 2.657014e+00,6.966616e-02 -5.367346e-01 2.661148e+00,6.689610e-02 -5.172288e-01 2.663942e+00,6.681953e-02 -5.181878e-01 2.664027e+00,6.751535e-02 -5.194591e-01 2.664149e+00,6.768140e-02 -5.233976e-01 2.668371e+00,7.285103e-02 -5.300272e-01 2.666853e+00,7.642379e-02 -5.343897e-01 2.666890e+00,7.843661e-02 -5.392749e-01 2.668326e+00,8.190093e-02 -5.476490e-01 2.672150e+00,8.300772e-02 -5.491856e-01 2.674325e+00,8.442601e-02 -5.532908e-01 2.682496e+00,8.641239e-02 -5.543978e-01 2.690560e+00,8.702299e-02 -5.546492e-01 2.693907e+00,9.359144e-02 -5.531715e-01 2.702213e+00,9.662593e-02 -5.538743e-01 2.706151e+00,9.849951e-02 -5.538213e-01 2.708583e+00,1.012054e-01 -5.541883e-01 2.711899e+00,1.043247e-01 -5.544466e-01 2.715053e+00,1.097700e-01 -5.547832e-01 2.720050e+00,1.108749e-01 -5.547496e-01 2.720941e+00,1.119215e-01 -5.548894e-01 2.722389e+00,1.131828e-01 -5.548040e-01 2.723628e+00,1.134899e-01 -5.547244e-01 2.724019e+00,1.142804e-01 -5.531763e-01 2.723663e+00,1.148976e-01 -5.521519e-01 2.723087e+00,1.146187e-01 -5.524826e-01 2.722599e+00,1.145819e-01 -5.524959e-01 2.722558e+00,1.147370e-01 -5.514355e-01 2.721795e+00
7.915239e-02 -9.258283e-01 2.759995e+00,8.014138e-02 -9.231645e-01 2.758563e+00,7.770719e-02 -9.231514e-01 2.757506e+00,7.484873e-02 -9.240189e-01 2.756771e+00,7.820784e-02 -9.221601e-01 2.753380e+00,7.381696e-02 -9.224828e-01 2.750390e+00,6.829613e-02 -9.246800e-01 2.746781e+00,7.137258e-02 -8.814493e-01 2.721581e+00,7.135068e-02 -8.815135e-01 2.721554e+00,7.115801e-02 -8.489899e-01 2.713027e+00,7.232159e-02 -8.627933e-01 2.715117e+00,7.318448e-02 -8.652239e-01 2.714851e+00,7.307862e-02 -8.653244e-01 2.714990e+00,7.343253e-02 -8.667502e-01 2.715705e+00,7.316685e-02 -8.700650e-01 2.719360e+00,7.421285e-02 -8.775367e-01 2.723175e+00,7.631921e-02 -8.783855e-01 2.726692e+00,7.347607e-02 -9.305729e-01 2.746083e+00,7.160163e-02 -9.300933e-01 2.748694e+00,7.000202e-02 -9.301903e-01 2.750781e+00,7.405546e-02 -9.302931e-01 2.755247e+00,8.106341e-02 -9.317153e-01 2.761743e+00,8.256139e-02 -9.312774e-01 2.762889e+00,8.374378e-02 -9.293343e-01 2.764635e+00,8.402785e-02 -9.299186e-01 2.766305e+00,8.392549e-02 -9.300662e-01 2.767345e+00,8.430222e-02 -9.307283e-01 2.769467e+00,7.769572e-02 -9.343917e-01 2.772636e+00,7.938150e-02 -9.342576e-01 2.773325e+00,7.949845e-02 -9.342368e-01 2.773445e+00,7.973801e-02 -9.338663e-01 2.773638e+00,7.811130e-02 -9.354537e-01 2.774426e+00,7.956000e-02 -9.340576e-01 2.774237e+00,8.032397e-02 -9.315744e-01 2.773376e+00,8.090700e-02 -9.312690e-01 2.773159e+00,8.299099e-02 -9.298282e-01 2.772408e+00,8.301102e-02 -9.296559e-01 2.772199e+00,8.125714e-02 -9.315786e-01 2.772246e+00
7.668776e-02 -1.223784e+00 2.757726e+00,7.611485e-02 -1.225285e+00 2.755489e+00,7.621044e-02 -1.225028e+00 2.755507e+00,7.402702e-02 -1.224769e+00 2.755610e+00,7.382214e-02 -1.224452e+00 2.756039e+00,7.378051e-02 -1.221957e+00 2.757361e+00,7.353447e-02 -1.222160e+00 2.755662e+00,7.567918e-02 -1.210609e+00 2.751094e+00,7.644694e-02 -1.210935e+00 2.748920e+00,7.537541e-02 -1.178676e+00 2.739604e+00,7.629208e-02 -1.192588e+00 2.740264e+00,7.750817e-02 -1.195936e+00 2.730999e+00,7.829452e-02 -1.196041e+00 2.730930e+00,7.903147e-02 -1.197484e+00 2.731308e+00,7.872686e-02 -1.200889e+00 2.733755e+00,7.873821e-02 -1.208601e+00 2.734333e+00,8.194234e-02 -1.209312e+00 2.739378e+00,8.222990e-02 -1.220368e+00 2.740677e+00,8.312260e-02 -1.211397e+00 2.754269e+00,8.234184e-02 -1.213686e+00 2.754590e+00,8.035545e-02 -1.217549e+00 2.751825e+00,8.167399e-02 -1.206453e+00 2.763306e+00,8.156345e-02 -1.209109e+00 2.761380e+00,8.228809e-02 -1.207710e+00 2.765329e+00,8.238264e-02 -1.207922e+00 2.765726e+00,8.273932e-02 -1.207728e+00 2.767617e+00,8.099016e-02 -1.211724e+00 2.764637e+00,8.117972e-02 -1.211800e+00 2.764568e+00,8.105844e-02 -1.210646e+00 2.765252e+00,8.057171e-02 -1.208604e+00 2.766157e+00,8.060320e-02 -1.207219e+00 2.767128e+00,7.836522e-02 -1.214203e+00 2.765199e+00,7.866827e-02 -1.215105e+00 2.764307e+00,7.807805e-02 -1.217450e+00 2.762720e+00,8.148248e-02 -1.209587e+00 2.768436e+00,8.050089e-02 -1.212072e+00 2.767071e+00,8.084052e-02 -1.217127e+00 2.763825e+00,8.198391e-02 -1.214875e+00 2.763634e+00
6.200015e-02 -1.267277e+00 2.606031e+00,7.396166e-02 -1.267343e+00 2.612555e+00,6.975998e-02 -1.266964e+00 2.624896e+00,7.001784e-02 -1.266802e+00 2.624330e+00,6.818992e-02 -1.266494e+00 2.621432e+00,6.742029e-02 -1.266544e+00 2.632131e+00,6.619763e-02 -1.267408e+00 2.625008e+00,6.368426e-02 -1.268066e+00 2.621626e+00,6.402358e-02 -1.268351e+00 2.621108e+00,6.508398e-02 -1.268012e+00 2.619450e+00,6.554721e-02 -1.268270e+00 2.619418e+00,6.281734e-02 -1.268030e+00 2.607923e+00,6.289563e-02 -1.267998e+00 2.608169e+00,6.210108e-02 -1.268494e+00 2.607784e+00,6.251564e-02 -1.269008e+00 2.618623e+00,6.386526e-02 -1.269124e+00 2.616573e+00,6.453513e-02 -1.270066e+00 2.609453e+00,6.540947e-02 -1.270371e+00 2.607338e+00,6.572931e-02 -1.271645e+00 2.623285e+00,6.380696e-02 -1.270962e+00 2.621937e+00,6.358398e-02 -1.270599e+00 2.618753e+00,6.480912e-02 -1.268839e+00 2.624001e+00,6.515376e-02 -1.268610e+00 2.622413e+00,6.884617e-02 -1.266597e+00 2.616623e+00,7.112604e-02 -1.266841e+00 2.618709e+00,7.114376e-02 -1.266815e+00 2.618119e+00,6.458794e-02 -1.265724e+00 2.634113e+00,7.205604e-02 -1.267986e+00 2.626111e+00,7.962158e-02 -1.271535e+00 2.626988e+00,7.866665e-02 -1.271155e+00 2.628463e+00,7.348500e-02 -1.269530e+00 2.625136e+00,7.504316e-02 -1.268135e+00 2.622074e+00,7.253350e-02 -1.269488e+00 2.618104e+00,7.945871e-02 -1.268081e+00 2.638804e+00,6.975584e-02 -1.267062e+00 2.617193e+00,7.047050e-02 -1.266830e+00 2.615255e+00,7.099494e-02 -1.267228e+00 2.616114e+00,7.060121e-02 -1.267761e+00 2.616905e+00
3.425530e-02 -5.091731e-02 2.754561e+00,3.334238e-02 -5.076901e-02 2.754751e+00,3.273048e-02 -5.067670e-02 2.754248e+00,3.198769e-02 -5.038067e-02 2.753837e+00,3.132505e-02 -5.027125e-02 2.753420e+00,3.084483e-02 -5.006484e-02 2.753055e+00,3.048243e-02 -4.989622e-02 2.753135e+00,2.857823e-02 -4.869969e-02 2.751394e+00,2.758033e-02 -4.863665e-02 2.750918e+00,3.134283e-02 -4.579182e-02 2.746754e+00,3.285628e-02 -4.293383e-02 2.746019e+00,3.130217e-02 -2.499110e-02 2.728456e+00,3.298633e-02 -2.700423e-02 2.729321e+00,3.309857e-02 -2.733513e-02 2.728055e+00,3.342181e-02 -2.834668e-02 2.727133e+00,3.374359e-02 -2.938012e-02 2.727002e+00,3.333579e-02 -3.233687e-02 2.728830e+00,3.323416e-02 -3.335682e-02 2.729843e+00,3.153891e-02 -3.799678e-02 2.741969e+00,3.411501e-02 -3.812385e-02 2.746711e+00,3.724517e-02 -4.078128e-02 2.753489e+00,4.006598e-02 -4.344538e-02 2.758118e+00,4.090466e-02 -4.385855e-02 2.760188e+00,4.217710e-02 -4.484280e-02 2.763152e+00,4.292063e-02 -4.542151e-02 2.763649e+00,4.373345e-02 -4.593328e-02 2.764364e+00,4.606946e-02 -4.717619e-02 2.767056e+00,4.702033e-02 -4.776344e-02 2.768243e+00,4.910916e-02 -4.830679e-02 2.770763e+00,4.958117e-02 -4.845404e-02 2.771325e+00,4.976210e-02 -4.878476e-02 2.772573e+00,4.980629e-02 -4.959988e-02 2.774333e+00,4.977931e-02 -4.987083e-02 2.775684e+00,4.885699e-02 -5.036282e-02 2.776892e+00,4.827690e-02 -5.055796e-02 2.777265e+00,4.690262e-02 -5.075976e-02 2.777316e+00,4.639725e-02 -5.069057e-02 2.777427e+00,4.581934e-02 -5.097306e-02 2.777564e+00
-1.416588e-01 -5.698515e-01 2.645108e+00,-1.411479e-01 -5.718142e-01 2.648435e+00,-1.427291e-01 -5.765752e-01 2.650769e+00,-1.468804e-01 -5.865160e-01 2.637446e+00,-1.470474e-01 -5.871831e-01 2.640446e+00,-1.533954e-01 -5.717676e-01 2.646461e+00,-1.581490e-01 -5.846952e-01 2.645447e+00,-1.607373e-01 -5.806434e-01 2.656112e+00,-1.580482e-01 -5.818161e-01 2.662637e+00,-1.635328e-01 -5.692278e-01 2.673967e+00,-1.599468e-01 -5.711823e-01 2.685338e+00,-1.669655e-01 -5.681861e-01 2.710711e+00,-1.678657e-01 -5.662850e-01 2.727194e+00,-1.655753e-01 -5.706251e-01 2.728445e+00,-1.532565e-01 -5.856929e-01 2.751220e+00,-1.547599e-01 -5.847092e-01 2.750829e+00,-1.443265e-01 -5.852686e-01 2.752673e+00,-1.403104e-01 -5.901169e-01 2.742801e+00,-1.375518e-01 -5.892335e-01 2.737218e+00,-1.435745e-01 -5.907537e-01 2.741910e+00,-1.449798e-01 -5.900611e-01 2.736799e+00,-1.632511e-01 -5.960693e-01 2.730454e+00,-1.669464e-01 -5.810871e-01 2.729666e+00,-1.604653e-01 -5.891736e-01 2.704455e+00,-1.576509e-01 -5.872621e-01 2.698457e+00,-1.559052e-01 -5.873158e-01 2.693656e+00,-1.441379e-01 -5.901376e-01 2.675452e+00,-1.364316e-01 -5.883837e-01 2.667454e+00,-1.344639e-01 -5.879533e-01 2.676456e+00,-1.231317e-01 -5.685588e-01 2.668118e+00,-1.234439e-01 -5.767301e-01 2.674844e+00,-1.300515e-01 -5.758716e-01 2.673719e+00,-1.339509e-01 -5.893763e-01 2.666453e+00,-1.304804e-01 -5.973898e-01 2.669947e+00,-1.376137e-01 -5.894816e-01 2.666952e+00,-1.364167e-01 -5.883123e-01 2.667120e+00,-1.413402e-01 -5.861853e-01 2.668455e+00,-1.435991e-01 -5.879354e-01 2.665452e+00
-1.724828e-01 -4.970738e-01 2.646637e+00,-1.714523e-01 -5.101065e-01 2.636636e+00,-1.725794e-01 -5.066390e-01 2.637419e+00,-1.704468e-01 -5.334185e-01 2.632000e+00,-1.710020e-01 -5.358577e-01 2.629167e+00,-1.729995e-01 -5.401244e-01 2.632445e+00,-1.737879e-01 -5.396679e-01 2.637727e+00,-1.804944e-01 -5.217236e-01 2.654083e+00,-1.812071e-01 -5.210105e-01 2.660385e+00,-1.821690e-01 -5.072300e-01 2.678215e+00,-1.802466e-01 -5.280923e-01 2.688250e+00,-1.838347e-01 -5.166366e-01 2.702813e+00,-1.851106e-01 -5.127841e-01 2.721375e+00,-1.532472e-01 -5.314592e-01 2.735000e+00,-1.395577e-01 -5.471464e-01 2.751333e+00,-1.350784e-01 -5.244200e-01 2.727000e+00,-1.335513e-01 -5.263275e-01 2.717750e+00,-1.325370e-01 -5.282923e-01 2.709700e+00,-1.249313e-01 -5.413769e-01 2.697699e+00,-1.235690e-01 -5.264916e-01 2.682909e+00,-1.239366e-01 -5.275988e-01 2.683600e+00,-1.443624e-01 -5.383036e-01 2.700750e+00,-1.248964e-01 -5.178281e-01 2.682636e+00,-1.438597e-01 -5.376465e-01 2.690304e+00,-1.384967e-01 -5.300620e-01 2.682312e+00,-1.307962e-01 -5.250844e-01 2.679400e+00,-1.161875e-01 -5.310346e-01 2.666050e+00,-1.157128e-01 -5.248110e-01 2.663278e+00,-1.126113e-01 -5.270967e-01 2.658850e+00,-9.313816e-02 -4.977490e-01 2.640937e+00,-9.319898e-02 -5.161297e-01 2.643200e+00,-9.405100e-02 -5.070061e-01 2.642809e+00,-1.075284e-01 -5.324118e-01 2.651000e+00,-1.087973e-01 -5.301423e-01 2.652370e+00,-1.074131e-01 -5.282532e-01 2.649554e+00,-1.077326e-01 -5.349626e-01 2.651459e+00,-1.074582e-01 -5.340332e-01 2.651211e+00,-1.073791e-01 -5.337610e-01 2.651271e+00
1.952012e-01 -6.057850e-01 2.691626e+00,2.107953e-01 -6.038417e-01 2.672418e+00,2.068110e-01 -6.077715e-01 2.652660e+00,2.143377e-01 -5.327279e-01 2.527201e+00,2.050216e-01 -4.616352e-01 2.432788e+00,1.944091e-01 -3.583416e-01 2.393159e+00,1.401730e-01 -7.475624e-02 2.371740e+00,8.601715e-02 1.311036e-01 2.383541e+00,4.648649e-02 2.196638e-01 2.396713e+00,-3.368681e-02 3.475211e-01 2.371633e+00,-7.654969e-02 3.837412e-01 2.375474e+00,-1.309594e-01 4.414689e-01 2.349197e+00,-1.271790e-01 4.435425e-01 2.347244e+00,-1.188573e-01 4.484849e-01 2.348749e+00,-1.286171e-01 4.397253e-01 2.360888e+00,-1.137173e-01 4.091036e-01 2.375347e+00,-7.414286e-02 3.230586e-01 2.396949e+00,-3.748439e-02 2.751240e-01 2.403399e+00,5.698482e-02 1.572493e-01 2.424938e+00,4.493016e-02 2.144282e-01 2.389603e+00,1.402111e-01 2.752965e-02 2.372246e+00,2.131025e-01 -1.483003e-01 2.442688e+00,2.969964e-01 -3.079987e-01 2.416574e+00,3.267332e-01 -4.820527e-01 2.527443e+00,3.176435e-01 -5.324553e-01 2.602421e+00,3.032072e-01 -5.677324e-01 2.662745e+00,2.809707e-01 -6.168004e-01 2.741396e+00,2.488206e-01 -6.318191e-01 2.757899e+00,2.022291e-01 -6.085535e-01 2.736932e+00,2.099571e-01 -6.093164e-01 2.740430e+00,2.101552e-01 -6.080076e-01 2.742932e+00,2.134414e-01 -6.060886e-01 2.737098e+00,2.135937e-01 -6.065333e-01 2.739098e+00,2.090350e-01 -6.066483e-01 2.728430e+00,2.088428e-01 -6.060924e-01 2.725930e+00,2.084960e-01 -6.050919e-01 2.721430e+00,2.127638e-01 -6.041708e-01 2.728431e+00,2.086533e-01 -6.055365e-01 2.723430e+00
