5.330963e-02 -5.650037e-01 2.769895e+00,5.341584e-02 -5.655603e-01 2.769857e+00,5.366360e-02 -5.656895e-01 2.770112e+00,5.336340e-02 -5.655244e-01 2.769920e+00,5.161750e-02 -5.655198e-01 2.769317e+00,4.941364e-02 -5.657833e-01 2.768969e+00,4.763882e-02 -5.649908e-01 2.768401e+00,4.687255e-02 -5.645463e-01 2.768080e+00,4.569595e-02 -5.642533e-01 2.767294e+00,4.459501e-02 -5.648742e-01 2.767260e+00,4.397706e-02 -5.650426e-01 2.767419e+00,4.381838e-02 -5.650760e-01 2.767467e+00,4.325886e-02 -5.669508e-01 2.767826e+00,4.217311e-02 -5.690416e-01 2.768241e+00,4.179267e-02 -5.695927e-01 2.768511e+00,4.174889e-02 -5.697984e-01 2.768787e+00,4.158031e-02 -5.701132e-01 2.769039e+00,4.112638e-02 -5.710644e-01 2.769424e+00,4.071864e-02 -5.711190e-01 2.769606e+00,3.968076e-02 -5.727426e-01 2.770139e+00,3.966710e-02 -5.728967e-01 2.770206e+00,3.857396e-02 -5.730556e-01 2.770505e+00,3.811935e-02 -5.733096e-01 2.770471e+00,3.799245e-02 -5.735731e-01 2.770537e+00,3.761376e-02 -5.749912e-01 2.770345e+00,3.749041e-02 -5.767636e-01 2.770108e+00,3.840212e-02 -5.687243e-01 2.770366e+00,3.837704e-02 -5.666268e-01 2.770350e+00,3.831056e-02 -5.665405e-01 2.770389e+00,3.729636e-02 -5.649937e-01 2.770539e+00,3.595239e-02 -5.640552e-01 2.770346e+00,3.497979e-02 -5.638785e-01 2.770449e+00,3.492188e-02 -5.638888e-01 2.770637e+00,3.511135e-02 -5.639561e-01 2.770729e+00,3.672033e-02 -5.643731e-01 2.771797e+00,3.931390e-02 -5.653775e-01 2.774105e+00,4.047929e-02 -5.656650e-01 2.775065e+00,4.138443e-02 -5.656535e-01 2.775961e+00,4.222214e-02 -5.657271e-01 2.776746e+00,4.267898e-02 -5.656306e-01 2.777192e+00,4.412707e-02 -5.657000e-01 2.778309e+00,4.529222e-02 -5.655131e-01 2.778933e+00
2.192643e-01 -5.575589e-01 2.724678e+00,2.193770e-01 -5.565829e-01 2.724832e+00,2.217865e-01 -5.579842e-01 2.722668e+00,2.289658e-01 -5.547732e-01 2.713645e+00,2.508366e-01 -5.032914e-01 2.667679e+00,2.570748e-01 -3.724511e-01 2.626722e+00,2.588651e-01 -3.091284e-01 2.600775e+00,2.534686e-01 -2.418387e-01 2.603590e+00,2.310130e-01 -1.411209e-01 2.626430e+00,2.136849e-01 -8.977190e-02 2.615683e+00,1.965398e-01 -4.893519e-02 2.583424e+00,1.757739e-01 -2.380741e-02 2.549725e+00,8.258285e-02 8.915032e-02 2.428377e+00,6.165922e-02 7.676640e-02 2.350566e+00,6.538977e-02 4.514582e-02 2.253075e+00,5.674654e-02 5.718783e-02 2.252122e+00,4.017503e-02 6.548908e-02 2.261867e+00,2.015263e-02 6.433132e-02 2.278661e+00,1.494818e-02 5.855813e-02 2.266673e+00,1.761048e-02 4.942402e-02 2.263607e+00,2.111624e-02 4.549937e-02 2.270451e+00,3.222638e-02 3.673612e-02 2.271090e+00,3.927429e-02 2.825065e-02 2.270278e+00,5.400196e-02 1.846344e-02 2.277565e+00,7.811295e-02 -1.706943e-02 2.280930e+00,9.951089e-02 -4.578839e-02 2.294096e+00,1.593143e-01 -1.276929e-01 2.331236e+00,1.910982e-01 -1.823633e-01 2.345853e+00,2.174170e-01 -2.471749e-01 2.367174e+00,2.749605e-01 -3.814085e-01 2.450222e+00,2.895170e-01 -4.395410e-01 2.501352e+00,2.848841e-01 -5.285168e-01 2.609335e+00,2.709323e-01 -5.566469e-01 2.668660e+00,2.436121e-01 -5.629392e-01 2.732206e+00,2.248559e-01 -5.721007e-01 2.748186e+00,2.132469e-01 -5.626596e-01 2.748649e+00,2.149757e-01 -5.659888e-01 2.750082e+00,2.199693e-01 -5.655729e-01 2.754661e+00,2.175971e-01 -5.692429e-01 2.749382e+00,2.175559e-01 -5.691366e-01 2.748934e+00,2.171883e-01 -5.700328e-01 2.749732e+00,2.174639e-01 -5.700102e-01 2.747486e+00
-1.607020e-02 -5.578619e-01 2.737612e+00,-1.590531e-02 -5.584652e-01 2.737555e+00,-1.566339e-02 -5.586919e-01 2.737717e+00,-1.616768e-02 -5.577892e-01 2.737149e+00,-1.799488e-02 -5.573964e-01 2.736132e+00,-1.998082e-02 -5.577171e-01 2.735657e+00,-2.201306e-02 -5.561055e-01 2.735124e+00,-2.286583e-02 -5.551783e-01 2.734817e+00,-2.375961e-02 -5.555578e-01 2.734412e+00,-2.495961e-02 -5.562491e-01 2.734637e+00,-2.562661e-02 -5.563783e-01 2.734938e+00,-2.625439e-02 -5.577556e-01 2.736294e+00,-2.744148e-02 -5.638813e-01 2.742239e+00,-2.874166e-02 -5.668895e-01 2.744447e+00,-2.891091e-02 -5.683969e-01 2.747481e+00,-2.852753e-02 -5.692614e-01 2.750256e+00,-2.856918e-02 -5.697920e-01 2.751463e+00,-2.866000e-02 -5.705675e-01 2.752810e+00,-2.895288e-02 -5.705697e-01 2.753164e+00,-2.932653e-02 -5.710122e-01 2.753942e+00,-2.934078e-02 -5.714148e-01 2.754322e+00,-3.037011e-02 -5.715205e-01 2.754680e+00,-3.085560e-02 -5.717621e-01 2.754658e+00,-3.099408e-02 -5.720382e-01 2.754732e+00,-3.132046e-02 -5.730163e-01 2.754764e+00,-3.134689e-02 -5.742017e-01 2.754852e+00,-2.897053e-02 -5.632421e-01 2.752311e+00,-2.883632e-02 -5.617340e-01 2.752030e+00,-2.893575e-02 -5.616131e-01 2.751618e+00,-3.033086e-02 -5.592922e-01 2.750745e+00,-3.203409e-02 -5.577289e-01 2.749652e+00,-3.350167e-02 -5.565951e-01 2.748881e+00,-3.351682e-02 -5.565458e-01 2.748872e+00,-3.324880e-02 -5.563866e-01 2.748217e+00,-3.197342e-02 -5.568609e-01 2.748295e+00,-2.999008e-02 -5.577084e-01 2.748364e+00,-2.907979e-02 -5.579587e-01 2.748618e+00,-2.833087e-02 -5.578076e-01 2.748798e+00,-2.750242e-02 -5.577165e-01 2.748814e+00,-2.703348e-02 -5.574647e-01 2.748936e+00,-2.561510e-02 -5.573086e-01 2.749046e+00,-2.445021e-02 -5.578509e-01 2.749105e+00
5.466555e-03 -9.173446e-01 2.769092e+00,5.903681e-03 -9.239994e-01 2.770712e+00,3.461796e-03 -9.237676e-01 2.771594e+00,4.123169e-03 -9.222093e-01 2.770851e+00,4.316562e-03 -9.214389e-01 2.771053e+00,5.068573e-03 -9.140241e-01 2.769782e+00,4.702085e-03 -9.142745e-01 2.769960e+00,4.125875e-03 -9.140970e-01 2.769930e+00,3.836092e-03 -9.132609e-01 2.769212e+00,3.851179e-03 -9.133241e-01 2.769166e+00,4.012327e-03 -9.126776e-01 2.769227e+00,5.622291e-03 -9.099326e-01 2.768862e+00,7.536502e-03 -9.095518e-01 2.768818e+00,8.229651e-03 -9.095079e-01 2.768922e+00,1.550096e-02 -9.244549e-01 2.772730e+00,1.480825e-02 -9.208853e-01 2.772439e+00,1.455428e-02 -9.151831e-01 2.770838e+00,1.371707e-02 -9.111554e-01 2.770433e+00,1.113167e-02 -9.080577e-01 2.769678e+00,1.082178e-02 -9.071184e-01 2.769053e+00,1.080517e-02 -9.068167e-01 2.769105e+00,1.103183e-02 -9.071735e-01 2.769358e+00,1.133272e-02 -9.076774e-01 2.769616e+00,1.160875e-02 -9.079415e-01 2.770042e+00,8.694618e-03 -9.014903e-01 2.768545e+00,9.470733e-03 -9.060764e-01 2.768884e+00,5.741968e-03 -9.023074e-01 2.767663e+00,6.040534e-03 -9.029733e-01 2.767915e+00,6.988042e-03 -9.092870e-01 2.769238e+00,6.528480e-03 -9.118019e-01 2.770285e+00,6.204421e-03 -9.131294e-01 2.770846e+00,5.544185e-03 -9.143864e-01 2.771291e+00,5.659386e-03 -9.219124e-01 2.773712e+00,6.747956e-03 -9.295759e-01 2.775206e+00,7.360525e-03 -9.299930e-01 2.775482e+00,5.877275e-03 -9.171057e-01 2.773708e+00,5.754653e-03 -9.170759e-01 2.773812e+00,5.314445e-03 -9.182098e-01 2.774801e+00,4.837083e-03 -9.180957e-01 2.774899e+00,5.390736e-03 -9.142457e-01 2.775091e+00,5.160493e-03 -9.132862e-01 2.775202e+00,5.203349e-03 -9.147397e-01 2.775508e+00
-9.991710e-03 -1.212882e+00 2.762896e+00,-9.638642e-03 -1.214583e+00 2.761369e+00,-1.130341e-02 -1.214256e+00 2.763256e+00,-1.070689e-02 -1.215451e+00 2.762248e+00,-3.352012e-02 -1.249742e+00 2.717580e+00,-1.136307e-02 -1.211397e+00 2.762202e+00,-1.126153e-02 -1.211242e+00 2.762294e+00,-1.189379e-02 -1.209707e+00 2.762917e+00,-1.660058e-02 -1.216478e+00 2.758110e+00,-2.334022e-02 -1.244180e+00 2.730372e+00,-2.348089e-02 -1.243491e+00 2.730160e+00,-2.302038e-02 -1.240692e+00 2.730170e+00,-2.432578e-02 -1.239909e+00 2.728674e+00,-2.498306e-02 -1.239688e+00 2.728210e+00,-2.792355e-02 -1.248595e+00 2.725505e+00,-2.926669e-02 -1.249162e+00 2.725310e+00,-2.963713e-02 -1.243709e+00 2.726102e+00,-2.879493e-02 -1.239965e+00 2.726193e+00,-1.770159e-02 -1.202041e+00 2.769535e+00,-1.507722e-02 -1.210350e+00 2.762940e+00,-1.491505e-02 -1.210648e+00 2.762832e+00,-1.613560e-02 -1.215316e+00 2.760587e+00,-1.661974e-02 -1.215711e+00 2.760705e+00,-2.612990e-02 -1.238052e+00 2.733080e+00,-3.122212e-02 -1.231091e+00 2.727878e+00,-2.787492e-02 -1.235686e+00 2.725167e+00,-2.088599e-02 -1.223157e+00 2.750807e+00,-2.199412e-02 -1.220470e+00 2.751066e+00,-2.224522e-02 -1.220332e+00 2.751301e+00,-2.553776e-02 -1.210945e+00 2.753206e+00,-2.610709e-02 -1.209958e+00 2.753611e+00,-1.958826e-02 -1.211512e+00 2.759777e+00,-1.869411e-02 -1.210214e+00 2.762064e+00,-2.426377e-02 -1.257883e+00 2.715639e+00,-2.493335e-02 -1.257061e+00 2.716082e+00,-8.606614e-03 -1.212460e+00 2.760600e+00,-9.030587e-03 -1.213675e+00 2.760126e+00,-8.798621e-03 -1.213585e+00 2.760761e+00,-9.726254e-03 -1.213756e+00 2.760036e+00,-1.119053e-02 -1.211160e+00 2.762046e+00,-1.036313e-02 -1.217666e+00 2.758569e+00,-1.056762e-02 -1.215565e+00 2.759659e+00
2.043983e-03 -1.268571e+00 2.630126e+00,-7.282635e-03 -1.268012e+00 2.617352e+00,-2.386156e-03 -1.267265e+00 2.620443e+00,-9.821295e-04 -1.266805e+00 2.620901e+00,1.298326e-02 -1.275878e+00 2.605222e+00,1.577700e-03 -1.267144e+00 2.629898e+00,2.908922e-03 -1.266532e+00 2.630411e+00,-6.698845e-03 -1.266564e+00 2.635138e+00,7.992463e-03 -1.266568e+00 2.631194e+00,1.350367e-02 -1.276797e+00 2.616554e+00,1.346363e-02 -1.276811e+00 2.616781e+00,7.936142e-03 -1.273557e+00 2.614100e+00,5.353505e-03 -1.275589e+00 2.613755e+00,4.779983e-03 -1.277883e+00 2.614863e+00,9.906661e-03 -1.278931e+00 2.610915e+00,1.154737e-02 -1.279278e+00 2.612004e+00,1.425260e-02 -1.275681e+00 2.615368e+00,1.427375e-02 -1.276237e+00 2.617613e+00,8.475776e-03 -1.266815e+00 2.632609e+00,9.452218e-03 -1.266750e+00 2.630796e+00,8.333111e-03 -1.267308e+00 2.632378e+00,6.435058e-03 -1.266846e+00 2.634949e+00,2.121981e-03 -1.267470e+00 2.629884e+00,8.113360e-03 -1.274717e+00 2.620492e+00,7.593246e-03 -1.274965e+00 2.622353e+00,1.001910e-02 -1.275951e+00 2.616601e+00,3.343120e-03 -1.266801e+00 2.632581e+00,3.193850e-03 -1.266788e+00 2.632720e+00,3.098173e-03 -1.266824e+00 2.632725e+00,-7.732897e-04 -1.267129e+00 2.633140e+00,-1.513296e-03 -1.266803e+00 2.632840e+00,3.576853e-03 -1.266671e+00 2.626544e+00,3.011944e-03 -1.266915e+00 2.622974e+00,1.850909e-02 -1.278596e+00 2.599124e+00,2.045400e-02 -1.278995e+00 2.601421e+00,4.793388e-03 -1.267233e+00 2.622980e+00,3.095647e-03 -1.267924e+00 2.627110e+00,2.977148e-03 -1.267702e+00 2.626718e+00,4.246433e-03 -1.267576e+00 2.625781e+00,4.306551e-03 -1.267537e+00 2.625750e+00,3.505122e-03 -1.265691e+00 2.630131e+00,4.611275e-03 -1.265540e+00 2.638388e+00
1.215020e-01 -5.574901e-01 2.732912e+00,1.215458e-01 -5.581414e-01 2.732981e+00,1.219213e-01 -5.579894e-01 2.733678e+00,1.215782e-01 -5.582559e-01 2.733649e+00,1.198077e-01 -5.588776e-01 2.733523e+00,1.174649e-01 -5.593005e-01 2.733443e+00,1.159103e-01 -5.592497e-01 2.732896e+00,1.152272e-01 -5.592452e-01 2.732589e+00,1.136406e-01 -5.577744e-01 2.731242e+00,1.125305e-01 -5.586945e-01 2.731107e+00,1.120167e-01 -5.589863e-01 2.731174e+00,1.117519e-01 -5.582836e-01 2.730494e+00,1.113817e-01 -5.586758e-01 2.727458e+00,1.106734e-01 -5.597562e-01 2.726244e+00,1.099259e-01 -5.594347e-01 2.723419e+00,1.097707e-01 -5.592312e-01 2.722369e+00,1.095268e-01 -5.592875e-01 2.721730e+00,1.087306e-01 -5.602565e-01 2.720343e+00,1.082727e-01 -5.600823e-01 2.720073e+00,1.068672e-01 -5.623730e-01 2.719369e+00,1.068980e-01 -5.623406e-01 2.719210e+00,1.060291e-01 -5.621915e-01 2.719143e+00,1.057300e-01 -5.622650e-01 2.719004e+00,1.056855e-01 -5.623376e-01 2.718990e+00,1.053131e-01 -5.648950e-01 2.718394e+00,1.051593e-01 -5.666093e-01 2.717633e+00,1.051186e-01 -5.595745e-01 2.720060e+00,1.048293e-01 -5.570320e-01 2.720353e+00,1.045873e-01 -5.567968e-01 2.721097e+00,1.038232e-01 -5.558689e-01 2.721871e+00,1.027177e-01 -5.554685e-01 2.722286e+00,1.018358e-01 -5.560549e-01 2.722989e+00,1.017503e-01 -5.565116e-01 2.724007e+00,1.025070e-01 -5.572986e-01 2.725481e+00,1.046827e-01 -5.577098e-01 2.727972e+00,1.080754e-01 -5.590245e-01 2.733191e+00,1.092941e-01 -5.593273e-01 2.734634e+00,1.102644e-01 -5.595583e-01 2.736241e+00,1.110746e-01 -5.598474e-01 2.737783e+00,1.114816e-01 -5.599340e-01 2.738418e+00,1.129841e-01 -5.602291e-01 2.740433e+00,1.143443e-01 -5.586079e-01 2.741466e+00
8.039967e-02 -9.329773e-01 2.777821e+00,8.043484e-02 -9.330271e-01 2.777805e+00,7.649461e-02 -9.334143e-01 2.778903e+00,7.713485e-02 -9.331160e-01 2.778724e+00,7.869145e-02 -9.330949e-01 2.779174e+00,7.918432e-02 -9.333948e-01 2.779199e+00,7.922759e-02 -9.334501e-01 2.779204e+00,7.863422e-02 -9.328739e-01 2.779226e+00,6.629092e-02 -9.613146e-01 2.783795e+00,6.437876e-02 -9.653648e-01 2.785012e+00,6.435014e-02 -9.652241e-01 2.785136e+00,7.334477e-02 -9.402138e-01 2.780927e+00,6.953203e-02 -9.327096e-01 2.780020e+00,7.278194e-02 -9.298685e-01 2.780410e+00,7.626444e-02 -9.253331e-01 2.782533e+00,7.786115e-02 -9.281452e-01 2.783216e+00,7.774376e-02 -9.286967e-01 2.783221e+00,7.922234e-02 -9.296564e-01 2.783232e+00,7.995117e-02 -9.304216e-01 2.782948e+00,7.140379e-02 -9.348766e-01 2.781630e+00,6.674249e-02 -9.367640e-01 2.782766e+00,6.786628e-02 -9.347411e-01 2.781815e+00,6.819350e-02 -9.330103e-01 2.781728e+00,6.866563e-02 -9.322653e-01 2.781937e+00,6.627708e-02 -9.344550e-01 2.781724e+00,7.000609e-02 -9.355288e-01 2.782144e+00,7.177086e-02 -9.353186e-01 2.782924e+00,7.013392e-02 -9.358010e-01 2.782241e+00,6.625382e-02 -9.377197e-01 2.781379e+00,6.616722e-02 -9.361902e-01 2.780431e+00,6.537084e-02 -9.368567e-01 2.780272e+00,6.331383e-02 -9.381511e-01 2.780009e+00,6.760141e-02 -9.370335e-01 2.780391e+00,7.169316e-02 -9.346631e-01 2.779232e+00,7.267705e-02 -9.334991e-01 2.779257e+00,7.462520e-02 -9.329270e-01 2.779807e+00,7.567840e-02 -9.322084e-01 2.780050e+00,7.663640e-02 -9.331085e-01 2.781437e+00,7.661209e-02 -9.318039e-01 2.781723e+00,7.669346e-02 -9.315460e-01 2.781842e+00,7.722306e-02 -9.333333e-01 2.783048e+00,9.371058e-02 -9.007860e-01 2.776712e+00
7.228220e-02 -1.216272e+00 2.762668e+00,7.401194e-02 -1.213298e+00 2.763442e+00,7.349668e-02 -1.213350e+00 2.765085e+00,7.243400e-02 -1.215927e+00 2.763741e+00,7.036796e-02 -1.220118e+00 2.762925e+00,7.161950e-02 -1.215132e+00 2.764784e+00,7.241269e-02 -1.213751e+00 2.766702e+00,7.196631e-02 -1.215084e+00 2.764733e+00,6.444465e-02 -1.235652e+00 2.746365e+00,7.046463e-02 -1.241706e+00 2.740159e+00,6.917050e-02 -1.222734e+00 2.762508e+00,7.190260e-02 -1.211520e+00 2.766950e+00,7.169570e-02 -1.214262e+00 2.764665e+00,7.089609e-02 -1.220443e+00 2.759521e+00,6.757220e-02 -1.228175e+00 2.756559e+00,6.766976e-02 -1.228154e+00 2.756613e+00,6.835641e-02 -1.227567e+00 2.756495e+00,6.823761e-02 -1.227600e+00 2.756677e+00,7.262296e-02 -1.219537e+00 2.766253e+00,7.384557e-02 -1.222211e+00 2.759805e+00,7.365057e-02 -1.222182e+00 2.759659e+00,7.285646e-02 -1.222625e+00 2.760166e+00,7.049414e-02 -1.226660e+00 2.758776e+00,7.046517e-02 -1.226354e+00 2.758846e+00,7.237803e-02 -1.214595e+00 2.765165e+00,7.168649e-02 -1.215865e+00 2.764539e+00,7.082345e-02 -1.217139e+00 2.764574e+00,7.111719e-02 -1.217890e+00 2.764180e+00,7.073524e-02 -1.219490e+00 2.764422e+00,7.225149e-02 -1.219167e+00 2.763152e+00,7.150998e-02 -1.220288e+00 2.762554e+00,7.364068e-02 -1.215159e+00 2.767394e+00,7.333730e-02 -1.218218e+00 2.761883e+00,7.107650e-02 -1.218525e+00 2.760944e+00,6.947127e-02 -1.221986e+00 2.759454e+00,7.106195e-02 -1.217778e+00 2.762935e+00,7.094990e-02 -1.217026e+00 2.763274e+00,7.334041e-02 -1.217934e+00 2.764771e+00,6.890937e-02 -1.218268e+00 2.764195e+00,7.270781e-02 -1.213068e+00 2.766136e+00,7.169481e-02 -1.216834e+00 2.765194e+00,7.319287e-02 -1.214126e+00 2.766206e+00
6.237269e-02 -1.270239e+00 2.634070e+00,6.185485e-02 -1.270710e+00 2.626940e+00,6.498134e-02 -1.268945e+00 2.626659e+00,6.365273e-02 -1.268054e+00 2.629881e+00,6.208003e-02 -1.270436e+00 2.645148e+00,7.021739e-02 -1.268529e+00 2.638107e+00,6.489441e-02 -1.267881e+00 2.636327e+00,6.351691e-02 -1.270126e+00 2.617105e+00,6.434608e-02 -1.269645e+00 2.620192e+00,6.062102e-02 -1.275897e+00 2.619851e+00,6.184024e-02 -1.268864e+00 2.634401e+00,6.040529e-02 -1.269919e+00 2.634099e+00,6.066145e-02 -1.269925e+00 2.634192e+00,5.963518e-02 -1.270236e+00 2.635863e+00,5.716762e-02 -1.269293e+00 2.610028e+00,5.742092e-02 -1.268175e+00 2.631249e+00,4.854715e-02 -1.267835e+00 2.617679e+00,5.603087e-02 -1.269174e+00 2.624243e+00,6.506400e-02 -1.274471e+00 2.649250e+00,5.399272e-02 -1.271184e+00 2.609804e+00,5.486017e-02 -1.270661e+00 2.639672e+00,5.954137e-02 -1.268777e+00 2.636030e+00,6.468421e-02 -1.269697e+00 2.622896e+00,6.126196e-02 -1.269095e+00 2.636370e+00,6.191482e-02 -1.269709e+00 2.628845e+00,6.159192e-02 -1.269348e+00 2.623977e+00,6.170950e-02 -1.269052e+00 2.632324e+00,6.216872e-02 -1.269198e+00 2.632177e+00,5.522177e-02 -1.270634e+00 2.625579e+00,6.144504e-02 -1.271305e+00 2.634803e+00,6.062496e-02 -1.269895e+00 2.621770e+00,8.319561e-02 -1.269965e+00 2.661637e+00,6.689581e-02 -1.265611e+00 2.607450e+00,9.319793e-02 -1.275183e+00 2.649386e+00,7.325415e-02 -1.270918e+00 2.629508e+00,6.620761e-02 -1.270065e+00 2.634911e+00,6.332739e-02 -1.269639e+00 2.637625e+00,4.914372e-02 -1.269569e+00 2.621737e+00,5.949371e-02 -1.266018e+00 2.642407e+00,6.300399e-02 -1.268239e+00 2.630897e+00,6.426118e-02 -1.266613e+00 2.617741e+00,6.045835e-02 -1.268753e+00 2.644387e+00
5.401742e-02 -5.815459e-02 2.795895e+00,5.396613e-02 -5.821580e-02 2.795624e+00,5.381862e-02 -5.805698e-02 2.795203e+00,5.390688e-02 -5.786861e-02 2.794700e+00,5.389855e-02 -5.744932e-02 2.793590e+00,5.389594e-02 -5.711298e-02 2.792890e+00,5.395715e-02 -5.693453e-02 2.792686e+00,5.398958e-02 -5.679284e-02 2.792516e+00,5.380044e-02 -5.635638e-02 2.792240e+00,5.362096e-02 -5.642709e-02 2.792523e+00,5.347158e-02 -5.683312e-02 2.793927e+00,5.339279e-02 -5.696963e-02 2.794848e+00,5.235988e-02 -5.810807e-02 2.795655e+00,4.678803e-02 -6.135786e-02 2.793911e+00,4.331722e-02 -6.477915e-02 2.792129e+00,4.244610e-02 -6.472283e-02 2.791474e+00,4.059650e-02 -6.652705e-02 2.791569e+00,3.974415e-02 -6.637822e-02 2.790844e+00,3.693305e-02 -6.948713e-02 2.790894e+00,3.425510e-02 -7.247767e-02 2.789688e+00,3.392445e-02 -7.464751e-02 2.789065e+00,3.305466e-02 -7.722489e-02 2.788088e+00,3.316405e-02 -7.911507e-02 2.787273e+00,3.444237e-02 -7.258700e-02 2.784510e+00,3.507590e-02 -6.615502e-02 2.785066e+00,3.533476e-02 -6.581909e-02 2.787090e+00,4.229335e-02 -6.024454e-02 2.803334e+00,4.289600e-02 -5.935558e-02 2.804833e+00,4.308443e-02 -5.875567e-02 2.805815e+00,4.342302e-02 -5.814290e-02 2.806202e+00,4.353651e-02 -5.778064e-02 2.806024e+00,4.415888e-02 -5.727367e-02 2.805114e+00,4.443971e-02 -5.713381e-02 2.804939e+00,4.513816e-02 -5.677115e-02 2.803333e+00,4.564671e-02 -5.674699e-02 2.802305e+00,4.625710e-02 -5.692198e-02 2.801600e+00,4.642516e-02 -5.684270e-02 2.801630e+00,4.672698e-02 -5.677127e-02 2.801677e+00,4.698105e-02 -5.673502e-02 2.801837e+00,4.710467e-02 -5.658436e-02 2.801862e+00,4.772881e-02 -5.672861e-02 2.802871e+00,4.832208e-02 -5.666036e-02 2.803567e+00
-1.299873e-01 -5.994998e-01 2.684789e+00,-1.223045e-01 -6.050528e-01 2.677117e+00,-1.130800e-01 -6.010974e-01 2.689125e+00,-1.239619e-01 -5.999548e-01 2.686790e+00,-1.224361e-01 -6.057381e-01 2.680117e+00,-1.204468e-01 -5.919343e-01 2.689752e+00,-1.313801e-01 -6.015356e-01 2.688454e+00,-1.227903e-01 -6.074657e-01 2.687784e+00,-1.316007e-01 -6.025418e-01 2.692954e+00,-1.266917e-01 -6.022507e-01 2.694908e+00,-1.207475e-01 -6.088738e-01 2.696701e+00,-1.228677e-01 -6.078408e-01 2.689450e+00,-1.257296e-01 -5.983987e-01 2.677656e+00,-1.224492e-01 -5.984690e-01 2.680124e+00,-1.236587e-01 -5.996400e-01 2.679956e+00,-1.065136e-01 -6.019057e-01 2.683029e+00,-1.047997e-01 -6.006032e-01 2.684159e+00,-9.848434e-02 -6.039280e-01 2.690834e+00,-9.864500e-02 -6.048834e-01 2.695084e+00,-9.807367e-02 -6.362171e-01 2.680923e+00,-1.016055e-01 -6.031701e-01 2.686569e+00,-1.032966e-01 -6.035920e-01 2.688458e+00,-1.384466e-01 -5.930129e-01 2.682960e+00,-1.065325e-01 -6.027175e-01 2.690358e+00,-1.311944e-01 -5.933515e-01 2.684461e+00,-1.309989e-01 -5.924674e-01 2.680461e+00,-1.225610e-01 -6.063365e-01 2.682784e+00,-1.276086e-01 -6.022263e-01 2.686121e+00,-1.273330e-01 -5.997464e-01 2.680455e+00,-1.390023e-01 -6.027496e-01 2.693953e+00,-1.305688e-01 -6.077822e-01 2.697646e+00,-1.390933e-01 -6.073075e-01 2.719788e+00,-1.396851e-01 -6.074355e-01 2.714419e+00,-1.400885e-01 -6.074455e-01 2.714952e+00,-1.474093e-01 -5.997550e-01 2.713458e+00,-1.437553e-01 -5.906590e-01 2.713968e+00,-1.435441e-01 -5.897890e-01 2.709968e+00,-1.431920e-01 -5.883212e-01 2.703218e+00,-1.471501e-01 -5.986376e-01 2.708458e+00,-1.379346e-01 -6.022487e-01 2.697121e+00,-1.304556e-01 -6.016605e-01 2.694456e+00,-1.129895e-01 -6.195408e-01 2.687440e+00
-9.475567e-02 -5.629328e-01 2.667800e+00,-9.747435e-02 -5.454409e-01 2.670550e+00,-8.710284e-02 -5.313151e-01 2.665389e+00,-1.001429e-01 -5.194339e-01 2.671875e+00,-1.014219e-01 -5.402089e-01 2.674667e+00,-9.814863e-02 -5.344204e-01 2.672671e+00,-1.012414e-01 -5.442783e-01 2.674228e+00,-9.853005e-02 -5.373418e-01 2.671502e+00,-9.956844e-02 -5.391170e-01 2.672441e+00,-9.813382e-02 -5.386168e-01 2.671609e+00,-1.000682e-01 -5.334736e-01 2.675645e+00,-9.807932e-02 -5.363742e-01 2.672385e+00,-1.013273e-01 -5.289129e-01 2.670145e+00,-9.740870e-02 -5.403759e-01 2.672288e+00,-9.700353e-02 -5.353118e-01 2.670743e+00,-9.435350e-02 -5.338771e-01 2.666811e+00,-9.699932e-02 -5.352958e-01 2.670982e+00,-8.985706e-02 -5.430369e-01 2.673200e+00,-9.179077e-02 -5.405706e-01 2.672500e+00,-9.008229e-02 -5.713215e-01 2.673201e+00,-9.294184e-02 -5.360122e-01 2.670778e+00,-9.497079e-02 -5.458976e-01 2.676071e+00,-1.047420e-01 -5.359645e-01 2.683529e+00,-9.298253e-02 -5.362231e-01 2.671889e+00,-1.066831e-01 -5.246966e-01 2.677091e+00,-1.063798e-01 -5.368990e-01 2.676410e+00,-1.014587e-01 -5.345285e-01 2.675542e+00,-1.013129e-01 -5.374529e-01 2.674366e+00,-1.018330e-01 -5.341917e-01 2.676476e+00,-1.024097e-01 -5.481705e-01 2.677100e+00,-1.014735e-01 -5.501516e-01 2.677412e+00,-1.090019e-01 -5.452603e-01 2.684870e+00,-1.160080e-01 -5.430269e-01 2.695235e+00,-1.170064e-01 -5.468835e-01 2.697429e+00,-1.171429e-01 -5.475357e-01 2.700572e+00,-1.154374e-01 -5.461943e-01 2.695929e+00,-1.147655e-01 -5.519203e-01 2.693817e+00,-1.147359e-01 -5.494936e-01 2.693944e+00,-1.119818e-01 -5.374554e-01 2.690278e+00,-1.151804e-01 -5.368852e-01 2.687381e+00,-1.083902e-01 -5.359186e-01 2.685842e+00,-1.008774e-01 -5.369230e-01 2.684000e+00
