3.092057e-02 -5.583221e-01 2.790560e+00,3.089684e-02 -5.588248e-01 2.787259e+00,3.076413e-02 -5.588158e-01 2.785171e+00,3.000779e-02 -5.585114e-01 2.782056e+00,2.671177e-02 -5.587676e-01 2.774804e+00,2.140539e-02 -5.586301e-01 2.768032e+00,1.923695e-02 -5.588485e-01 2.765747e+00,1.828195e-02 -5.584835e-01 2.763262e+00,1.651857e-02 -5.580343e-01 2.756851e+00,1.540133e-02 -5.570921e-01 2.753549e+00,1.463397e-02 -5.547709e-01 2.744529e+00,1.247845e-02 -5.514418e-01 2.740886e+00,9.456588e-03 -5.329535e-01 2.733947e+00,9.977746e-03 -5.267494e-01 2.732607e+00,9.875818e-03 -5.200586e-01 2.730222e+00,1.077393e-02 -5.191823e-01 2.729711e+00,1.235705e-02 -5.196730e-01 2.728545e+00,1.205041e-02 -5.203595e-01 2.728503e+00,1.239541e-02 -5.227242e-01 2.728104e+00,1.195700e-02 -5.296306e-01 2.727391e+00,1.192322e-02 -5.341730e-01 2.727443e+00,1.581456e-02 -5.459241e-01 2.725432e+00,1.529276e-02 -5.471327e-01 2.725562e+00,1.529425e-02 -5.490313e-01 2.726176e+00,1.573251e-02 -5.509875e-01 2.727217e+00,1.589838e-02 -5.521886e-01 2.729047e+00,1.668153e-02 -5.545622e-01 2.731641e+00,1.849934e-02 -5.555290e-01 2.733123e+00,2.193205e-02 -5.567482e-01 2.734394e+00,2.748433e-02 -5.575317e-01 2.736269e+00,2.868048e-02 -5.576545e-01 2.736746e+00,3.168398e-02 -5.583968e-01 2.738621e+00,3.454183e-02 -5.588503e-01 2.739978e+00,3.516621e-02 -5.588985e-01 2.740298e+00,3.703083e-02 -5.590948e-01 2.741773e+00,3.904438e-02 -5.592330e-01 2.743679e+00,3.982462e-02 -5.592831e-01 2.744141e+00,4.094844e-02 -5.593780e-01 2.745110e+00,4.180603e-02 -5.595271e-01 2.746245e+00,4.210274e-02 -5.594668e-01 2.746753e+00,4.219351e-02 -5.594069e-01 2.746923e+00,4.232205e-02 -5.593356e-01 2.747371e+00,4.234819e-02 -5.592347e-01 2.747569e+00,4.255315e-02 -5.591011e-01 2.748370e+00,4.251228e-02 -5.590719e-01 2.748387e+00
2.046168e-01 -5.630065e-01 2.749008e+00,2.059536e-01 -5.594445e-01 2.737742e+00,2.034522e-01 -5.558827e-01 2.721173e+00,2.070547e-01 -5.319623e-01 2.699168e+00,2.257315e-01 -4.446749e-01 2.636369e+00,2.265239e-01 -3.078423e-01 2.529931e+00,2.212696e-01 -2.262743e-01 2.506825e+00,2.081489e-01 -1.448277e-01 2.517442e+00,1.779584e-01 -5.937402e-03 2.507179e+00,1.553437e-01 5.362456e-02 2.496941e+00,9.105491e-02 2.032635e-01 2.478013e+00,4.538395e-02 2.626111e-01 2.462828e+00,-5.149034e-02 3.760767e-01 2.416463e+00,-9.278393e-02 4.098100e-01 2.388761e+00,-1.359469e-01 4.153612e-01 2.365260e+00,-1.581190e-01 4.078521e-01 2.375111e+00,-1.758729e-01 3.613258e-01 2.390803e+00,-1.825789e-01 3.423537e-01 2.401949e+00,-1.639004e-01 3.018885e-01 2.407740e+00,-1.368641e-01 2.527452e-01 2.420704e+00,-9.670815e-02 2.083880e-01 2.425159e+00,-2.121048e-02 1.079092e-01 2.433592e+00,-1.371737e-02 1.001933e-01 2.411585e+00,6.855939e-02 -4.491503e-02 2.401583e+00,1.696490e-01 -2.483873e-01 2.394478e+00,2.113089e-01 -3.275664e-01 2.427425e+00,2.860191e-01 -4.487906e-01 2.511226e+00,3.073704e-01 -4.912607e-01 2.563729e+00,3.172017e-01 -5.184629e-01 2.618808e+00,3.059390e-01 -5.510266e-01 2.698803e+00,2.861527e-01 -5.625536e-01 2.726166e+00,2.411291e-01 -5.745178e-01 2.740023e+00,2.178679e-01 -5.720829e-01 2.740117e+00,2.076585e-01 -5.609868e-01 2.727956e+00,2.106762e-01 -5.664674e-01 2.739582e+00,2.118497e-01 -5.656369e-01 2.737860e+00,2.118394e-01 -5.637231e-01 2.731924e+00,2.113916e-01 -5.651745e-01 2.733669e+00,2.059240e-01 -5.646843e-01 2.725789e+00,2.061874e-01 -5.647561e-01 2.726327e+00,2.057079e-01 -5.666918e-01 2.727692e+00,2.033969e-01 -5.651872e-01 2.726278e+00,2.034371e-01 -5.680241e-01 2.726350e+00,2.026945e-01 -5.699891e-01 2.725216e+00,2.030738e-01 -5.688511e-01 2.724512e+00
-3.730783e-02 -5.510588e-01 2.755258e+00,-3.739223e-02 -5.517932e-01 2.752440e+00,-3.755631e-02 -5.516924e-01 2.750826e+00,-3.847664e-02 -5.511957e-01 2.747569e+00,-4.133189e-02 -5.513110e-01 2.741962e+00,-4.652430e-02 -5.510150e-01 2.736520e+00,-4.837881e-02 -5.512533e-01 2.735006e+00,-4.916893e-02 -5.509841e-01 2.733688e+00,-5.053829e-02 -5.509993e-01 2.731300e+00,-5.083104e-02 -5.508668e-01 2.730975e+00,-5.150459e-02 -5.503951e-01 2.729515e+00,-5.229726e-02 -5.492806e-01 2.729453e+00,-5.329536e-02 -5.338545e-01 2.720184e+00,-5.214561e-02 -5.296476e-01 2.719168e+00,-4.994522e-02 -5.237904e-01 2.715919e+00,-4.919717e-02 -5.233226e-01 2.715349e+00,-4.626180e-02 -5.243517e-01 2.715533e+00,-4.618550e-02 -5.242252e-01 2.716837e+00,-4.548595e-02 -5.254018e-01 2.717512e+00,-4.432984e-02 -5.300667e-01 2.722783e+00,-4.450494e-02 -5.340782e-01 2.724329e+00,-4.180484e-02 -5.449798e-01 2.722669e+00,-4.215417e-02 -5.458193e-01 2.722850e+00,-4.249805e-02 -5.469869e-01 2.722621e+00,-4.354664e-02 -5.484033e-01 2.721373e+00,-4.394308e-02 -5.485711e-01 2.721328e+00,-4.527203e-02 -5.493518e-01 2.719698e+00,-4.485368e-02 -5.495943e-01 2.719018e+00,-4.280414e-02 -5.501378e-01 2.716752e+00,-3.894638e-02 -5.508665e-01 2.713247e+00,-3.787661e-02 -5.509608e-01 2.711655e+00,-3.558880e-02 -5.515850e-01 2.709534e+00,-3.344657e-02 -5.519658e-01 2.708788e+00,-3.282236e-02 -5.518035e-01 2.708049e+00,-3.140228e-02 -5.518471e-01 2.707810e+00,-2.980241e-02 -5.519249e-01 2.708348e+00,-2.876453e-02 -5.517320e-01 2.707795e+00,-2.778625e-02 -5.519114e-01 2.708213e+00,-2.700914e-02 -5.522773e-01 2.709115e+00,-2.665192e-02 -5.522910e-01 2.709638e+00,-2.656444e-02 -5.521359e-01 2.709795e+00,-2.643253e-02 -5.520598e-01 2.710227e+00,-2.641398e-02 -5.518242e-01 2.710701e+00,-2.615318e-02 -5.517031e-01 2.711908e+00,-2.618856e-02 -5.516803e-01 2.711900e+00
-2.031214e-02 -8.927196e-01 2.758592e+00,-1.944998e-02 -8.924354e-01 2.757120e+00,-1.905078e-02 -8.922508e-01 2.756512e+00,-1.716495e-02 -8.922873e-01 2.755156e+00,-1.559050e-02 -8.903685e-01 2.752857e+00,-1.360257e-02 -8.938994e-01 2.750290e+00,-1.381156e-02 -8.914810e-01 2.746873e+00,-1.400055e-02 -8.920125e-01 2.744656e+00,-1.258970e-02 -8.945528e-01 2.739747e+00,-1.085212e-02 -8.935814e-01 2.734900e+00,-9.753129e-03 -8.866574e-01 2.725250e+00,-9.498426e-03 -8.844822e-01 2.723243e+00,-1.318592e-02 -8.789957e-01 2.718751e+00,-1.400964e-02 -8.784649e-01 2.717825e+00,-1.655985e-02 -8.877169e-01 2.718049e+00,-1.491561e-02 -8.866197e-01 2.718224e+00,-5.580576e-03 -9.172254e-01 2.723056e+00,-5.051866e-03 -9.168924e-01 2.722787e+00,-5.848594e-03 -9.118095e-01 2.720839e+00,-3.464978e-03 -9.177945e-01 2.721316e+00,-2.994995e-03 -9.181166e-01 2.721462e+00,-1.127257e-03 -9.222074e-01 2.723233e+00,-8.493839e-04 -9.214936e-01 2.723677e+00,-5.066963e-04 -9.208992e-01 2.724768e+00,1.738062e-03 -9.209496e-01 2.730329e+00,1.580348e-04 -9.184595e-01 2.733960e+00,-5.108057e-03 -9.131867e-01 2.740451e+00,-9.442902e-03 -9.105465e-01 2.743037e+00,-8.675840e-03 -9.145709e-01 2.747518e+00,-8.311924e-03 -9.001980e-01 2.746078e+00,-9.121797e-03 -9.000295e-01 2.746099e+00,-9.014579e-03 -9.006030e-01 2.746629e+00,-9.293413e-03 -9.013899e-01 2.747112e+00,-8.768492e-03 -8.998888e-01 2.746962e+00,-9.481397e-03 -9.029058e-01 2.747398e+00,-9.967322e-03 -9.033062e-01 2.747720e+00,-4.546180e-03 -9.237254e-01 2.753045e+00,-7.459356e-03 -9.024985e-01 2.748594e+00,-7.684997e-03 -9.012572e-01 2.748274e+00,-6.874948e-03 -8.998324e-01 2.748620e+00,-6.887828e-03 -8.993518e-01 2.748580e+00,-7.380607e-03 -8.980609e-01 2.748888e+00,-7.498484e-03 -8.972948e-01 2.749050e+00,-8.241962e-03 -9.019123e-01 2.750734e+00,-9.091649e-03 -9.030024e-01 2.751300e+00
-3.090519e-02 -1.200862e+00 2.768117e+00,-2.913327e-02 -1.203333e+00 2.767148e+00,-2.854325e-02 -1.203791e+00 2.767445e+00,-2.912141e-02 -1.205161e+00 2.766334e+00,-2.508409e-02 -1.207892e+00 2.766041e+00,-2.481245e-02 -1.208199e+00 2.765692e+00,-2.462871e-02 -1.208269e+00 2.765325e+00,-2.447189e-02 -1.208417e+00 2.765003e+00,-2.269777e-02 -1.210175e+00 2.762339e+00,-2.471379e-02 -1.214054e+00 2.758837e+00,-2.507427e-02 -1.216291e+00 2.747928e+00,-2.790205e-02 -1.214267e+00 2.743105e+00,-3.073959e-02 -1.209103e+00 2.736023e+00,-3.107812e-02 -1.208969e+00 2.730854e+00,-3.048467e-02 -1.214257e+00 2.729497e+00,-3.013158e-02 -1.213640e+00 2.729365e+00,-2.823718e-02 -1.215734e+00 2.727708e+00,-2.786500e-02 -1.216650e+00 2.727223e+00,-2.769809e-02 -1.216912e+00 2.727157e+00,-2.809849e-02 -1.215270e+00 2.727975e+00,-2.768285e-02 -1.215232e+00 2.728842e+00,-2.229086e-02 -1.216589e+00 2.733317e+00,-2.197294e-02 -1.218053e+00 2.733819e+00,-1.769742e-02 -1.213218e+00 2.746572e+00,-1.567614e-02 -1.217535e+00 2.748015e+00,-1.650918e-02 -1.217906e+00 2.748944e+00,-2.144141e-02 -1.214685e+00 2.755408e+00,-2.473741e-02 -1.209532e+00 2.759264e+00,-2.585628e-02 -1.210804e+00 2.758173e+00,-2.422663e-02 -1.209356e+00 2.759934e+00,-2.340562e-02 -1.207894e+00 2.761068e+00,-2.232336e-02 -1.206908e+00 2.762977e+00,-2.146539e-02 -1.208011e+00 2.762015e+00,-2.163787e-02 -1.207772e+00 2.762144e+00,-2.305713e-02 -1.210593e+00 2.760376e+00,-2.239897e-02 -1.210319e+00 2.761563e+00,-2.204730e-02 -1.210688e+00 2.761741e+00,-2.008917e-02 -1.215200e+00 2.758323e+00,-2.165133e-02 -1.210219e+00 2.762608e+00,-2.013117e-02 -1.207091e+00 2.764549e+00,-2.000043e-02 -1.206963e+00 2.764493e+00,-2.069858e-02 -1.208938e+00 2.763833e+00,-2.060903e-02 -1.208333e+00 2.764290e+00,-2.190592e-02 -1.206779e+00 2.762010e+00,-2.261843e-02 -1.205864e+00 2.762585e+00
-1.248269e-02 -1.260807e+00 2.632130e+00,-1.610372e-02 -1.260066e+00 2.633138e+00,-1.530431e-02 -1.259870e+00 2.633990e+00,-1.044050e-02 -1.260418e+00 2.614820e+00,-1.751783e-02 -1.260372e+00 2.615525e+00,-9.967755e-03 -1.260684e+00 2.616276e+00,-1.206357e-02 -1.261124e+00 2.617328e+00,-1.331073e-02 -1.261028e+00 2.620245e+00,-1.296613e-02 -1.263642e+00 2.623956e+00,-1.254494e-02 -1.263892e+00 2.624579e+00,-3.213146e-03 -1.272029e+00 2.605196e+00,-6.873745e-03 -1.270434e+00 2.603555e+00,-7.949845e-03 -1.270196e+00 2.607474e+00,-1.014887e-02 -1.265477e+00 2.616288e+00,-8.071505e-03 -1.267033e+00 2.613667e+00,-8.227660e-03 -1.265861e+00 2.610464e+00,-7.469772e-03 -1.266211e+00 2.608512e+00,-5.108349e-03 -1.272921e+00 2.614405e+00,-3.528573e-02 -1.265478e+00 2.595191e+00,-6.801901e-03 -1.263872e+00 2.604294e+00,-1.220293e-04 -1.264886e+00 2.612141e+00,-9.366777e-04 -1.268385e+00 2.616489e+00,-2.067000e-03 -1.269170e+00 2.616149e+00,9.108328e-04 -1.266651e+00 2.627946e+00,6.147639e-04 -1.267472e+00 2.626810e+00,1.727384e-03 -1.269991e+00 2.631577e+00,-9.920449e-03 -1.267099e+00 2.619328e+00,-4.401954e-02 -1.260274e+00 2.595366e+00,-4.226685e-03 -1.262695e+00 2.623047e+00,-2.795649e-03 -1.263357e+00 2.630010e+00,-6.015208e-03 -1.263443e+00 2.628106e+00,-2.055026e-04 -1.264186e+00 2.622676e+00,-2.234887e-02 -1.265882e+00 2.611964e+00,-1.834725e-02 -1.264426e+00 2.621487e+00,-1.278452e-02 -1.261357e+00 2.635198e+00,-1.200927e-02 -1.262323e+00 2.634039e+00,-7.651769e-03 -1.264716e+00 2.613336e+00,-3.023937e-03 -1.265382e+00 2.617453e+00,-5.103725e-03 -1.264787e+00 2.630382e+00,-5.161436e-03 -1.264976e+00 2.627847e+00,-7.252920e-03 -1.264905e+00 2.628924e+00,-7.850122e-03 -1.264741e+00 2.633723e+00,-6.293926e-03 -1.265260e+00 2.630204e+00,-3.246271e-03 -1.265580e+00 2.617040e+00,-7.745795e-03 -1.265600e+00 2.625756e+00
9.833054e-02 -5.518340e-01 2.757211e+00,9.839334e-02 -5.520624e-01 2.753477e+00,9.831580e-02 -5.521731e-01 2.750903e+00,9.773888e-02 -5.520499e-01 2.747983e+00,9.406202e-02 -5.523666e-01 2.738852e+00,8.882563e-02 -5.524268e-01 2.730838e+00,8.638889e-02 -5.525935e-01 2.727713e+00,8.534320e-02 -5.521309e-01 2.723816e+00,8.336196e-02 -5.510817e-01 2.712300e+00,8.113245e-02 -5.487862e-01 2.704098e+00,8.058499e-02 -5.440353e-01 2.686915e+00,7.674496e-02 -5.384467e-01 2.678699e+00,7.203291e-02 -5.164094e-01 2.676983e+00,7.167622e-02 -5.097132e-01 2.676220e+00,6.932803e-02 -5.026740e-01 2.675316e+00,7.038464e-02 -5.014426e-01 2.675000e+00,7.128181e-02 -5.018118e-01 2.672127e+00,6.941505e-02 -5.055483e-01 2.669709e+00,6.934017e-02 -5.090016e-01 2.668167e+00,6.692970e-02 -5.194589e-01 2.660753e+00,6.729932e-02 -5.228038e-01 2.660184e+00,7.306854e-02 -5.341849e-01 2.658092e+00,7.240546e-02 -5.355107e-01 2.658427e+00,7.303319e-02 -5.385525e-01 2.661014e+00,7.636479e-02 -5.419408e-01 2.666758e+00,7.786319e-02 -5.445862e-01 2.672452e+00,8.146854e-02 -5.490547e-01 2.681566e+00,8.451360e-02 -5.501766e-01 2.685423e+00,8.938150e-02 -5.516360e-01 2.689718e+00,9.595721e-02 -5.514874e-01 2.695431e+00,9.752709e-02 -5.514485e-01 2.697675e+00,1.008854e-01 -5.520946e-01 2.703744e+00,1.036181e-01 -5.523700e-01 2.706512e+00,1.042968e-01 -5.526005e-01 2.707668e+00,1.057643e-01 -5.528067e-01 2.710166e+00,1.075223e-01 -5.528980e-01 2.712808e+00,1.081560e-01 -5.529903e-01 2.713948e+00,1.090983e-01 -5.529543e-01 2.715070e+00,1.097951e-01 -5.528569e-01 2.715944e+00,1.099706e-01 -5.527503e-01 2.716269e+00,1.100446e-01 -5.527695e-01 2.716388e+00,1.101322e-01 -5.527147e-01 2.716688e+00,1.101429e-01 -5.526987e-01 2.716703e+00,1.102585e-01 -5.526049e-01 2.717037e+00,1.102085e-01 -5.525666e-01 2.717064e+00
7.574470e-02 -8.987633e-01 2.772089e+00,7.650057e-02 -8.967198e-01 2.771057e+00,7.946916e-02 -9.097379e-01 2.772316e+00,7.941493e-02 -9.049233e-01 2.770215e+00,7.760340e-02 -9.031087e-01 2.766057e+00,7.446597e-02 -8.951212e-01 2.757794e+00,6.925835e-02 -9.113184e-01 2.757830e+00,7.023191e-02 -8.963764e-01 2.750017e+00,6.881945e-02 -8.965583e-01 2.746317e+00,7.013517e-02 -8.860785e-01 2.738285e+00,6.925913e-02 -8.530529e-01 2.716734e+00,7.491296e-02 -9.118544e-01 2.724649e+00,7.990380e-02 -8.750315e-01 2.713509e+00,8.128913e-02 -8.729433e-01 2.712002e+00,8.279500e-02 -8.705469e-01 2.708971e+00,8.316102e-02 -8.697277e-01 2.708077e+00,8.243062e-02 -8.641756e-01 2.704176e+00,8.219606e-02 -8.634287e-01 2.703816e+00,8.219934e-02 -8.634353e-01 2.703810e+00,8.227669e-02 -8.634815e-01 2.703671e+00,7.305608e-02 -9.138831e-01 2.714858e+00,7.523522e-02 -9.115852e-01 2.713872e+00,7.656821e-02 -9.117173e-01 2.714033e+00,7.963405e-02 -9.138402e-01 2.715349e+00,7.885046e-02 -9.013412e-01 2.723201e+00,7.938887e-02 -9.002656e-01 2.725966e+00,8.204398e-02 -9.191722e-01 2.751631e+00,8.330131e-02 -9.206701e-01 2.754999e+00,8.259974e-02 -9.212368e-01 2.756712e+00,8.194791e-02 -9.219163e-01 2.758809e+00,8.189537e-02 -9.221160e-01 2.760377e+00,7.564996e-02 -9.281839e-01 2.764898e+00,7.654165e-02 -9.280793e-01 2.765599e+00,7.732578e-02 -9.277112e-01 2.766168e+00,7.418386e-02 -9.312563e-01 2.768418e+00,7.596574e-02 -9.300430e-01 2.769073e+00,7.715962e-02 -9.293449e-01 2.769239e+00,7.829634e-02 -9.284447e-01 2.769297e+00,7.893029e-02 -9.283143e-01 2.769524e+00,7.951328e-02 -9.280550e-01 2.769529e+00,8.002913e-02 -9.281002e-01 2.769328e+00,8.040069e-02 -9.280022e-01 2.769466e+00,8.060714e-02 -9.281527e-01 2.769623e+00,8.120063e-02 -9.283197e-01 2.769782e+00,8.144855e-02 -9.280338e-01 2.769765e+00
7.777466e-02 -1.205723e+00 2.774591e+00,7.852098e-02 -1.203673e+00 2.775191e+00,7.838934e-02 -1.203830e+00 2.775068e+00,7.804316e-02 -1.204512e+00 2.774581e+00,7.799847e-02 -1.204703e+00 2.774512e+00,7.568789e-02 -1.207611e+00 2.770834e+00,7.583550e-02 -1.207491e+00 2.771021e+00,7.584602e-02 -1.207609e+00 2.771041e+00,7.306869e-02 -1.211251e+00 2.767908e+00,7.292838e-02 -1.211365e+00 2.767744e+00,7.059889e-02 -1.182159e+00 2.747836e+00,7.116391e-02 -1.221478e+00 2.751157e+00,7.489242e-02 -1.204594e+00 2.740022e+00,7.575215e-02 -1.202596e+00 2.737784e+00,7.960898e-02 -1.200456e+00 2.732888e+00,7.994632e-02 -1.199577e+00 2.732539e+00,8.062235e-02 -1.193778e+00 2.730994e+00,8.006445e-02 -1.193182e+00 2.729407e+00,8.011824e-02 -1.193196e+00 2.729339e+00,7.977396e-02 -1.193326e+00 2.728461e+00,7.994070e-02 -1.217678e+00 2.731394e+00,7.925208e-02 -1.220156e+00 2.732867e+00,7.664019e-02 -1.220085e+00 2.735311e+00,7.345264e-02 -1.220317e+00 2.738495e+00,7.384966e-02 -1.219815e+00 2.741453e+00,7.327736e-02 -1.219092e+00 2.748123e+00,7.444011e-02 -1.213193e+00 2.757457e+00,7.326820e-02 -1.217806e+00 2.755658e+00,7.430512e-02 -1.219965e+00 2.755667e+00,7.446048e-02 -1.214586e+00 2.762107e+00,7.527013e-02 -1.215815e+00 2.762020e+00,7.409140e-02 -1.222177e+00 2.758162e+00,7.688919e-02 -1.220191e+00 2.759634e+00,7.415739e-02 -1.224089e+00 2.756305e+00,7.391374e-02 -1.225013e+00 2.754954e+00,7.440723e-02 -1.223852e+00 2.756201e+00,7.526559e-02 -1.223580e+00 2.756636e+00,7.305186e-02 -1.224718e+00 2.756863e+00,7.369394e-02 -1.225341e+00 2.756512e+00,7.487195e-02 -1.213890e+00 2.763173e+00,7.387816e-02 -1.222091e+00 2.758191e+00,7.397103e-02 -1.221896e+00 2.757749e+00,7.484494e-02 -1.226254e+00 2.757710e+00,7.681776e-02 -1.217557e+00 2.763155e+00,7.803371e-02 -1.215321e+00 2.764172e+00
7.122049e-02 -1.262365e+00 2.629158e+00,6.639600e-02 -1.261491e+00 2.628755e+00,6.600878e-02 -1.262006e+00 2.619630e+00,7.061042e-02 -1.261621e+00 2.620076e+00,6.772510e-02 -1.261894e+00 2.616410e+00,6.996422e-02 -1.261297e+00 2.619900e+00,6.803700e-02 -1.261461e+00 2.627192e+00,6.889315e-02 -1.261282e+00 2.624211e+00,6.588612e-02 -1.263643e+00 2.619802e+00,6.450917e-02 -1.264657e+00 2.622653e+00,6.183349e-02 -1.267067e+00 2.621905e+00,6.218422e-02 -1.268409e+00 2.617506e+00,6.522953e-02 -1.267762e+00 2.616475e+00,6.566408e-02 -1.267338e+00 2.615774e+00,6.572783e-02 -1.266528e+00 2.609388e+00,6.602575e-02 -1.266663e+00 2.608636e+00,6.836403e-02 -1.266654e+00 2.607819e+00,6.813598e-02 -1.267594e+00 2.608703e+00,6.802093e-02 -1.267592e+00 2.607045e+00,6.552523e-02 -1.267679e+00 2.606975e+00,6.465805e-02 -1.268927e+00 2.608765e+00,6.314421e-02 -1.268744e+00 2.604143e+00,5.490433e-02 -1.268908e+00 2.616264e+00,5.967724e-02 -1.273418e+00 2.621080e+00,6.015365e-02 -1.269080e+00 2.620020e+00,6.033387e-02 -1.269752e+00 2.620402e+00,6.339157e-02 -1.268965e+00 2.620550e+00,6.563487e-02 -1.268545e+00 2.616575e+00,6.744435e-02 -1.267712e+00 2.615453e+00,7.268012e-02 -1.268185e+00 2.615795e+00,7.621300e-02 -1.268339e+00 2.623683e+00,7.225464e-02 -1.266659e+00 2.621268e+00,7.201376e-02 -1.266655e+00 2.621256e+00,7.145848e-02 -1.266646e+00 2.619884e+00,6.917724e-02 -1.266408e+00 2.626677e+00,7.035957e-02 -1.267801e+00 2.629968e+00,6.820482e-02 -1.267791e+00 2.615916e+00,7.902242e-02 -1.266769e+00 2.618359e+00,7.378207e-02 -1.267516e+00 2.618673e+00,7.005981e-02 -1.267533e+00 2.619897e+00,6.956719e-02 -1.267541e+00 2.618355e+00,6.828153e-02 -1.266870e+00 2.617961e+00,7.935430e-02 -1.271565e+00 2.627220e+00,7.708395e-02 -1.269801e+00 2.618581e+00,6.096683e-02 -1.267569e+00 2.636688e+00
2.788576e-02 -5.109720e-02 2.829971e+00,2.863836e-02 -5.125517e-02 2.825164e+00,2.881551e-02 -5.107984e-02 2.822522e+00,2.901486e-02 -5.051038e-02 2.819211e+00,2.865065e-02 -4.996612e-02 2.811241e+00,2.785835e-02 -4.862121e-02 2.803723e+00,2.797811e-02 -4.772940e-02 2.800334e+00,2.810980e-02 -4.769149e-02 2.796784e+00,2.826029e-02 -4.699960e-02 2.790018e+00,2.842516e-02 -4.512840e-02 2.786328e+00,2.888455e-02 -3.965445e-02 2.777733e+00,2.825464e-02 -2.853177e-02 2.769579e+00,2.983168e-02 -1.285873e-02 2.753012e+00,2.847155e-02 -1.002077e-02 2.746613e+00,2.671346e-02 -7.125606e-03 2.736188e+00,1.992157e-02 -8.806341e-03 2.729134e+00,2.061052e-02 -9.452333e-03 2.730286e+00,1.983313e-02 -1.097650e-02 2.732072e+00,1.717299e-02 -1.795101e-02 2.728697e+00,1.919593e-02 -4.345198e-02 2.719887e+00,3.111789e-02 -1.983362e-02 2.720992e+00,3.934301e-02 -3.424347e-03 2.726640e+00,2.329440e-02 -1.391898e-02 2.733355e+00,2.200655e-02 -2.457224e-02 2.745409e+00,2.425762e-02 -3.060216e-02 2.749940e+00,2.605597e-02 -3.407323e-02 2.751567e+00,2.887809e-02 -3.910682e-02 2.754498e+00,3.005566e-02 -4.059291e-02 2.755901e+00,3.070029e-02 -4.181306e-02 2.757210e+00,3.365364e-02 -4.327479e-02 2.760121e+00,3.439500e-02 -4.405197e-02 2.761180e+00,3.647424e-02 -4.567949e-02 2.765342e+00,3.764621e-02 -4.650441e-02 2.766639e+00,3.806036e-02 -4.702089e-02 2.768232e+00,3.971053e-02 -4.835033e-02 2.771935e+00,4.056280e-02 -4.900667e-02 2.774557e+00,4.094169e-02 -4.960547e-02 2.776039e+00,4.072380e-02 -4.995002e-02 2.777575e+00,4.076751e-02 -5.015111e-02 2.779006e+00,4.080785e-02 -5.033087e-02 2.779700e+00,4.068164e-02 -5.044663e-02 2.779947e+00,4.026410e-02 -5.057412e-02 2.780645e+00,4.001655e-02 -5.079090e-02 2.781377e+00,3.950845e-02 -5.108306e-02 2.782259e+00,3.929280e-02 -5.107237e-02 2.782428e+00
-1.519114e-01 -5.867447e-01 2.690027e+00,-1.517599e-01 -5.861813e-01 2.687456e+00,-1.512698e-01 -5.842477e-01 2.678598e+00,-1.552669e-01 -5.849671e-01 2.682855e+00,-1.529233e-01 -5.851367e-01 2.680288e+00,-1.521100e-01 -5.927756e-01 2.687449e+00,-1.508805e-01 -5.927354e-01 2.687283e+00,-1.546422e-01 -5.925811e-01 2.693880e+00,-1.555500e-01 -5.933400e-01 2.687848e+00,-1.527452e-01 -5.937839e-01 2.689849e+00,-1.522568e-01 -5.845691e-01 2.681055e+00,-1.534154e-01 -5.775838e-01 2.675661e+00,-1.653708e-01 -5.682237e-01 2.703722e+00,-1.660110e-01 -5.704311e-01 2.714222e+00,-1.617734e-01 -5.744269e-01 2.728171e+00,-1.628114e-01 -5.753498e-01 2.743475e+00,-1.522335e-01 -5.792565e-01 2.759677e+00,-1.493197e-01 -5.811015e-01 2.770812e+00,-1.512530e-01 -5.819964e-01 2.774060e+00,-1.391299e-01 -5.553800e-01 2.767503e+00,-1.440250e-01 -5.597898e-01 2.789502e+00,-1.390910e-01 -5.652314e-01 2.781329e+00,-1.465223e-01 -5.774868e-01 2.765481e+00,-1.460809e-01 -5.606451e-01 2.756495e+00,-1.600676e-01 -5.868992e-01 2.739464e+00,-1.519203e-01 -5.954931e-01 2.727705e+00,-1.662871e-01 -5.948974e-01 2.719451e+00,-1.757367e-01 -5.953923e-01 2.693942e+00,-1.752271e-01 -5.936119e-01 2.685942e+00,-1.711408e-01 -5.903689e-01 2.679445e+00,-1.699694e-01 -5.862931e-01 2.660945e+00,-1.502433e-01 -5.999610e-01 2.654768e+00,-1.386765e-01 -5.794423e-01 2.655640e+00,-1.431468e-01 -5.860946e-01 2.657117e+00,-1.293147e-01 -5.777073e-01 2.646127e+00,-1.389774e-01 -5.852829e-01 2.651251e+00,-1.351774e-01 -5.851319e-01 2.649595e+00,-1.400582e-01 -5.880833e-01 2.644447e+00,-1.332817e-01 -5.855409e-01 2.653203e+00,-1.344964e-01 -5.862083e-01 2.659034e+00,-1.190542e-01 -5.912574e-01 2.658594e+00,-1.393991e-01 -5.871000e-01 2.659451e+00,-1.386440e-01 -5.881670e-01 2.664154e+00,-1.395339e-01 -5.876262e-01 2.661851e+00,-1.356742e-01 -5.873063e-01 2.659452e+00
