6.700385e-03 -4.816984e-01 2.811541e+00,6.520242e-03 -4.815162e-01 2.810994e+00,6.474179e-03 -4.814546e-01 2.810823e+00,5.860057e-03 -4.813777e-01 2.810792e+00,5.622827e-03 -4.812829e-01 2.810727e+00,4.676050e-03 -4.809332e-01 2.810519e+00,3.800284e-03 -4.803577e-01 2.809679e+00,3.604224e-03 -4.800464e-01 2.809373e+00,3.061746e-03 -4.796153e-01 2.809420e+00,1.786397e-03 -4.780169e-01 2.809212e+00,7.369468e-04 -4.769874e-01 2.809004e+00,-4.325894e-04 -4.747687e-01 2.809368e+00,-9.403164e-05 -4.735825e-01 2.809303e+00,2.304714e-04 -4.726903e-01 2.809286e+00,1.370827e-03 -4.688326e-01 2.810034e+00,3.018211e-03 -4.633533e-01 2.811951e+00,3.803816e-03 -4.613532e-01 2.812047e+00,4.209647e-03 -4.589280e-01 2.812589e+00,4.179707e-03 -4.586136e-01 2.812652e+00,3.966036e-03 -4.588670e-01 2.812400e+00,3.596518e-03 -4.594591e-01 2.812127e+00,3.521193e-03 -4.606526e-01 2.811700e+00,3.550457e-03 -4.610698e-01 2.811570e+00,3.586450e-03 -4.618648e-01 2.811279e+00,3.582162e-03 -4.626175e-01 2.811136e+00,3.570528e-03 -4.652178e-01 2.810434e+00,2.958420e-03 -4.675586e-01 2.809617e+00,2.840871e-03 -4.682504e-01 2.809387e+00,2.814499e-03 -4.690242e-01 2.809302e+00,2.621707e-03 -4.702025e-01 2.809088e+00,2.764006e-03 -4.712029e-01 2.809064e+00,3.033853e-03 -4.717426e-01 2.809319e+00,3.986532e-03 -4.726670e-01 2.809655e+00,4.091675e-03 -4.729322e-01 2.809824e+00,5.490739e-03 -4.740670e-01 2.810252e+00,6.086858e-03 -4.746016e-01 2.810410e+00,6.194066e-03 -4.747788e-01 2.810388e+00,6.563575e-03 -4.750362e-01 2.810448e+00,6.823845e-03 -4.751168e-01 2.810395e+00,7.348442e-03 -4.754042e-01 2.810452e+00,7.982839e-03 -4.755928e-01 2.810511e+00,8.095862e-03 -4.757146e-01 2.810659e+00
2.098930e-01 -4.922438e-01 2.726746e+00,2.110361e-01 -4.952220e-01 2.723578e+00,2.126884e-01 -4.830361e-01 2.707130e+00,2.236041e-01 -4.597582e-01 2.671787e+00,2.209307e-01 -4.224345e-01 2.649701e+00,2.243530e-01 -2.930583e-01 2.555763e+00,2.287198e-01 -1.080543e-01 2.508328e+00,2.354735e-01 -1.634789e-02 2.538362e+00,2.357246e-01 6.530183e-02 2.549638e+00,2.273194e-01 2.253640e-01 2.517354e+00,2.262684e-01 2.809045e-01 2.506349e+00,2.131933e-01 3.647660e-01 2.474467e+00,2.047286e-01 3.873525e-01 2.451597e+00,1.949453e-01 4.204767e-01 2.423627e+00,1.810231e-01 4.420559e-01 2.369200e+00,1.789941e-01 4.310151e-01 2.327254e+00,1.786226e-01 4.211535e-01 2.315711e+00,1.777411e-01 4.160256e-01 2.312548e+00,1.769374e-01 4.079166e-01 2.314873e+00,1.749992e-01 3.757725e-01 2.332621e+00,1.734718e-01 3.548411e-01 2.347268e+00,1.760144e-01 2.946542e-01 2.392205e+00,1.763771e-01 2.583181e-01 2.413020e+00,1.762308e-01 2.219817e-01 2.427374e+00,1.818835e-01 1.342760e-01 2.467158e+00,1.877247e-01 8.691847e-02 2.480306e+00,2.023911e-01 -2.402795e-02 2.517698e+00,2.015599e-01 -8.073477e-02 2.514816e+00,2.085568e-01 -1.385489e-01 2.527515e+00,2.145593e-01 -2.558686e-01 2.559862e+00,2.255659e-01 -3.643980e-01 2.595861e+00,2.267688e-01 -4.029124e-01 2.631998e+00,2.341325e-01 -4.588148e-01 2.674884e+00,2.341014e-01 -4.711455e-01 2.699192e+00,2.253975e-01 -4.990540e-01 2.735343e+00,2.147637e-01 -5.102094e-01 2.745020e+00,2.096739e-01 -5.112054e-01 2.746749e+00,2.096573e-01 -5.102539e-01 2.745699e+00,2.093097e-01 -5.121374e-01 2.744403e+00,2.095084e-01 -5.113187e-01 2.742729e+00,2.100876e-01 -5.062904e-01 2.744814e+00,2.097531e-01 -5.046893e-01 2.744723e+00
-6.625935e-02 -4.771397e-01 2.772330e+00,-6.653665e-02 -4.769876e-01 2.771647e+00,-6.656359e-02 -4.769215e-01 2.771390e+00,-6.716711e-02 -4.767146e-01 2.771304e+00,-6.735028e-02 -4.765550e-01 2.771126e+00,-6.841679e-02 -4.762098e-01 2.770554e+00,-6.963832e-02 -4.753990e-01 2.768479e+00,-6.994646e-02 -4.749323e-01 2.767715e+00,-7.038078e-02 -4.746133e-01 2.767669e+00,-7.153617e-02 -4.731359e-01 2.767866e+00,-7.235563e-02 -4.724002e-01 2.768103e+00,-7.348788e-02 -4.703112e-01 2.770424e+00,-7.340599e-02 -4.692824e-01 2.771657e+00,-7.299408e-02 -4.681079e-01 2.773479e+00,-7.237407e-02 -4.653156e-01 2.777468e+00,-7.124365e-02 -4.604920e-01 2.782760e+00,-7.070665e-02 -4.588082e-01 2.783330e+00,-7.024556e-02 -4.567902e-01 2.784945e+00,-7.020966e-02 -4.564006e-01 2.785496e+00,-7.051756e-02 -4.567732e-01 2.785508e+00,-7.072711e-02 -4.574091e-01 2.784796e+00,-7.051992e-02 -4.592164e-01 2.782796e+00,-7.041612e-02 -4.598804e-01 2.781655e+00,-7.031900e-02 -4.605071e-01 2.780242e+00,-7.042903e-02 -4.609133e-01 2.777962e+00,-7.054615e-02 -4.631039e-01 2.775064e+00,-7.105322e-02 -4.651677e-01 2.772830e+00,-7.113598e-02 -4.658328e-01 2.771983e+00,-7.109273e-02 -4.663697e-01 2.771348e+00,-7.097999e-02 -4.671286e-01 2.769697e+00,-7.092005e-02 -4.677266e-01 2.769012e+00,-7.073074e-02 -4.679778e-01 2.769054e+00,-6.941681e-02 -4.686119e-01 2.768592e+00,-6.928542e-02 -4.687303e-01 2.768614e+00,-6.725410e-02 -4.698254e-01 2.768753e+00,-6.659881e-02 -4.702536e-01 2.768919e+00,-6.641813e-02 -4.703850e-01 2.768866e+00,-6.596974e-02 -4.706167e-01 2.769112e+00,-6.568579e-02 -4.706210e-01 2.769012e+00,-6.506126e-02 -4.709946e-01 2.769134e+00,-6.440663e-02 -4.711010e-01 2.769106e+00,-6.433805e-02 -4.712044e-01 2.769151e+00
-1.012798e-01 -7.978693e-01 2.785175e+00,-9.904465e-02 -7.943754e-01 2.783388e+00,-1.023130e-01 -7.989564e-01 2.784354e+00,-1.025805e-01 -7.995175e-01 2.784423e+00,-1.009671e-01 -7.967331e-01 2.783582e+00,-1.026485e-01 -7.998589e-01 2.784056e+00,-1.033117e-01 -7.998552e-01 2.784072e+00,-1.036074e-01 -8.002793e-01 2.783965e+00,-1.034769e-01 -8.002398e-01 2.784021e+00,-1.041981e-01 -8.010394e-01 2.784212e+00,-1.055645e-01 -8.030939e-01 2.785285e+00,-1.054290e-01 -8.031009e-01 2.785262e+00,-1.047881e-01 -8.027974e-01 2.785229e+00,-1.024756e-01 -8.009309e-01 2.785177e+00,-1.028124e-01 -8.005988e-01 2.785270e+00,-1.029554e-01 -7.995971e-01 2.785597e+00,-9.098900e-02 -7.745050e-01 2.777878e+00,-9.026992e-02 -7.751802e-01 2.778024e+00,-9.006700e-02 -7.752880e-01 2.777974e+00,-9.038355e-02 -7.758797e-01 2.778375e+00,-9.416758e-02 -7.839088e-01 2.781227e+00,-1.003634e-01 -7.952376e-01 2.785122e+00,-1.011990e-01 -7.950175e-01 2.785368e+00,-1.016739e-01 -7.952288e-01 2.785533e+00,-1.015790e-01 -7.954873e-01 2.785685e+00,-1.028129e-01 -7.978073e-01 2.786427e+00,-1.026652e-01 -7.979490e-01 2.786387e+00,-1.055318e-01 -8.081596e-01 2.789343e+00,-1.057078e-01 -8.069686e-01 2.788615e+00,-1.044632e-01 -8.029915e-01 2.787269e+00,-1.042897e-01 -8.013403e-01 2.786353e+00,-1.045658e-01 -8.015634e-01 2.786401e+00,-1.051003e-01 -8.034993e-01 2.786329e+00,-1.048329e-01 -8.033841e-01 2.786224e+00,-1.049841e-01 -8.045365e-01 2.786654e+00,-1.039527e-01 -8.015170e-01 2.785199e+00,-1.036653e-01 -8.011320e-01 2.785180e+00,-1.027640e-01 -8.028224e-01 2.785862e+00,-1.024658e-01 -8.024152e-01 2.785557e+00,-1.027029e-01 -8.023799e-01 2.785844e+00,-1.009396e-01 -7.993363e-01 2.785188e+00,-1.017057e-01 -8.009058e-01 2.785899e+00
-9.984810e-02 -1.184715e+00 2.809543e+00,-9.984638e-02 -1.184749e+00 2.809146e+00,-9.992354e-02 -1.183717e+00 2.809492e+00,-9.959184e-02 -1.179297e+00 2.811159e+00,-9.943928e-02 -1.180215e+00 2.811132e+00,-9.976590e-02 -1.181333e+00 2.810395e+00,-9.986796e-02 -1.180936e+00 2.810374e+00,-9.990789e-02 -1.180764e+00 2.810290e+00,-9.976808e-02 -1.181010e+00 2.810777e+00,-1.001378e-01 -1.183494e+00 2.808064e+00,-1.001471e-01 -1.183554e+00 2.808026e+00,-1.004378e-01 -1.183558e+00 2.807772e+00,-1.000931e-01 -1.183075e+00 2.807909e+00,-1.000650e-01 -1.183107e+00 2.807880e+00,-9.991048e-02 -1.182696e+00 2.808877e+00,-9.985624e-02 -1.183528e+00 2.807979e+00,-9.979649e-02 -1.183285e+00 2.808053e+00,-9.970465e-02 -1.182870e+00 2.808363e+00,-9.968781e-02 -1.183162e+00 2.808064e+00,-9.947994e-02 -1.183089e+00 2.808182e+00,-9.940641e-02 -1.184754e+00 2.807598e+00,-9.961002e-02 -1.185063e+00 2.807357e+00,-9.962645e-02 -1.184646e+00 2.807739e+00,-9.975211e-02 -1.186030e+00 2.807618e+00,-9.978614e-02 -1.186525e+00 2.807593e+00,-9.983987e-02 -1.186270e+00 2.807698e+00,-9.974359e-02 -1.184944e+00 2.807898e+00,-9.954230e-02 -1.183327e+00 2.808470e+00,-9.966862e-02 -1.183185e+00 2.808379e+00,-9.970176e-02 -1.183091e+00 2.808372e+00,-1.000270e-01 -1.183180e+00 2.807997e+00,-1.001366e-01 -1.183126e+00 2.807949e+00,-9.996426e-02 -1.182725e+00 2.808088e+00,-9.996154e-02 -1.182667e+00 2.808122e+00,-9.963391e-02 -1.183472e+00 2.809324e+00,-9.956329e-02 -1.183170e+00 2.809665e+00,-9.942803e-02 -1.183660e+00 2.809597e+00,-9.919653e-02 -1.183025e+00 2.809524e+00,-9.922027e-02 -1.183506e+00 2.808994e+00,-9.863133e-02 -1.180445e+00 2.809499e+00,-9.844477e-02 -1.179874e+00 2.809710e+00,-9.873939e-02 -1.181942e+00 2.809960e+00
-1.215224e-01 -1.242483e+00 2.677627e+00,-1.239618e-01 -1.242382e+00 2.672325e+00,-1.228245e-01 -1.242456e+00 2.669416e+00,-1.198414e-01 -1.241966e+00 2.676524e+00,-1.196916e-01 -1.242024e+00 2.679871e+00,-1.199953e-01 -1.241903e+00 2.679555e+00,-1.319503e-01 -1.243387e+00 2.667429e+00,-1.261526e-01 -1.242902e+00 2.673177e+00,-1.273881e-01 -1.242966e+00 2.670481e+00,-1.314013e-01 -1.244019e+00 2.662651e+00,-1.296524e-01 -1.244242e+00 2.663733e+00,-1.268786e-01 -1.244282e+00 2.664897e+00,-1.218247e-01 -1.241269e+00 2.672126e+00,-1.210207e-01 -1.241498e+00 2.669150e+00,-1.218950e-01 -1.241239e+00 2.664410e+00,-1.209797e-01 -1.242975e+00 2.668023e+00,-1.151158e-01 -1.241545e+00 2.680223e+00,-1.182251e-01 -1.242188e+00 2.691406e+00,-1.182033e-01 -1.242071e+00 2.690710e+00,-1.170201e-01 -1.241585e+00 2.687953e+00,-1.265528e-01 -1.245164e+00 2.658134e+00,-1.358688e-01 -1.242258e+00 2.653450e+00,-1.219820e-01 -1.242598e+00 2.681894e+00,-1.183987e-01 -1.241866e+00 2.678791e+00,-1.293671e-01 -1.245307e+00 2.656811e+00,-1.387767e-01 -1.245752e+00 2.669756e+00,-1.295778e-01 -1.242607e+00 2.672292e+00,-1.322572e-01 -1.245152e+00 2.656464e+00,-1.259923e-01 -1.245132e+00 2.672295e+00,-1.348470e-01 -1.244078e+00 2.660793e+00,-1.293917e-01 -1.239444e+00 2.651598e+00,-1.233424e-01 -1.243587e+00 2.652656e+00,-1.274128e-01 -1.241855e+00 2.652905e+00,-1.285225e-01 -1.241733e+00 2.653167e+00,-1.233047e-01 -1.244365e+00 2.673256e+00,-1.300229e-01 -1.244277e+00 2.663910e+00,-1.224821e-01 -1.240771e+00 2.678845e+00,-1.364310e-01 -1.233012e+00 2.651853e+00,-1.327428e-01 -1.239650e+00 2.653594e+00,-1.313740e-01 -1.240800e+00 2.656368e+00,-1.176051e-01 -1.244068e+00 2.685355e+00,-1.177476e-01 -1.244082e+00 2.683516e+00
7.944038e-02 -4.735766e-01 2.776741e+00,7.935146e-02 -4.733844e-01 2.776341e+00,7.928147e-02 -4.733293e-01 2.776258e+00,7.865340e-02 -4.733814e-01 2.776301e+00,7.831613e-02 -4.733370e-01 2.776355e+00,7.746783e-02 -4.729789e-01 2.776475e+00,7.687707e-02 -4.725748e-01 2.776389e+00,7.678391e-02 -4.723983e-01 2.776384e+00,7.616748e-02 -4.718672e-01 2.776651e+00,7.486687e-02 -4.701665e-01 2.776155e+00,7.357389e-02 -4.688008e-01 2.775460e+00,7.198647e-02 -4.658750e-01 2.774069e+00,7.307603e-02 -4.638186e-01 2.772299e+00,7.368425e-02 -4.626133e-01 2.770609e+00,7.569160e-02 -4.575178e-01 2.768162e+00,7.758193e-02 -4.523417e-01 2.767365e+00,7.846424e-02 -4.505786e-01 2.766927e+00,7.879736e-02 -4.479829e-01 2.766388e+00,7.867230e-02 -4.476413e-01 2.766073e+00,7.847861e-02 -4.479885e-01 2.765499e+00,7.777925e-02 -4.488926e-01 2.765575e+00,7.740812e-02 -4.502085e-01 2.766166e+00,7.741546e-02 -4.508229e-01 2.766794e+00,7.741799e-02 -4.522666e-01 2.767568e+00,7.752123e-02 -4.544114e-01 2.769906e+00,7.760103e-02 -4.575638e-01 2.771258e+00,7.691787e-02 -4.594419e-01 2.771818e+00,7.675242e-02 -4.600422e-01 2.772133e+00,7.662944e-02 -4.610861e-01 2.772824e+00,7.589231e-02 -4.629741e-01 2.774255e+00,7.617494e-02 -4.640701e-01 2.775120e+00,7.650291e-02 -4.646576e-01 2.775666e+00,7.727987e-02 -4.657004e-01 2.777021e+00,7.731308e-02 -4.660001e-01 2.777377e+00,7.811320e-02 -4.667798e-01 2.777944e+00,7.857976e-02 -4.672040e-01 2.778081e+00,7.861774e-02 -4.673660e-01 2.778086e+00,7.892473e-02 -4.675670e-01 2.778008e+00,7.916164e-02 -4.676760e-01 2.777994e+00,7.956517e-02 -4.678246e-01 2.777995e+00,8.016346e-02 -4.680108e-01 2.778128e+00,8.033397e-02 -4.681117e-01 2.778430e+00
1.019056e-01 -8.026276e-01 2.772918e+00,1.019631e-01 -8.024063e-01 2.772604e+00,1.015444e-01 -8.010844e-01 2.771844e+00,1.015253e-01 -8.010587e-01 2.771830e+00,1.015002e-01 -8.013213e-01 2.771936e+00,1.013305e-01 -7.997835e-01 2.771324e+00,1.018386e-01 -7.944305e-01 2.770048e+00,1.018463e-01 -7.944230e-01 2.770083e+00,1.019579e-01 -7.906811e-01 2.769371e+00,1.019442e-01 -7.902508e-01 2.769563e+00,1.017687e-01 -7.882397e-01 2.769144e+00,1.017408e-01 -7.882499e-01 2.769082e+00,1.017041e-01 -7.884122e-01 2.769233e+00,1.016449e-01 -7.887738e-01 2.769243e+00,1.019702e-01 -7.892856e-01 2.769855e+00,1.024128e-01 -7.799605e-01 2.768149e+00,1.024185e-01 -7.799689e-01 2.768183e+00,1.025444e-01 -7.788104e-01 2.768131e+00,1.055106e-01 -7.693968e-01 2.767886e+00,1.048312e-01 -7.776678e-01 2.768634e+00,1.051941e-01 -7.805452e-01 2.768816e+00,1.051139e-01 -7.823122e-01 2.769295e+00,1.051795e-01 -7.827393e-01 2.769495e+00,1.050898e-01 -7.827139e-01 2.769387e+00,1.046776e-01 -7.822145e-01 2.769095e+00,1.041101e-01 -7.853599e-01 2.769660e+00,1.037455e-01 -7.863901e-01 2.769514e+00,1.037253e-01 -7.860000e-01 2.769083e+00,1.038175e-01 -7.864882e-01 2.769319e+00,1.037088e-01 -7.872959e-01 2.769571e+00,1.029639e-01 -7.890865e-01 2.769797e+00,1.023142e-01 -7.921077e-01 2.770666e+00,1.022087e-01 -7.923949e-01 2.770644e+00,1.018771e-01 -7.947318e-01 2.771213e+00,1.018180e-01 -7.956161e-01 2.771480e+00,1.016772e-01 -7.960367e-01 2.771460e+00,1.016582e-01 -7.963627e-01 2.771448e+00,1.019968e-01 -7.975681e-01 2.771991e+00,1.019593e-01 -7.971199e-01 2.771725e+00,1.019871e-01 -7.972650e-01 2.771816e+00,1.020061e-01 -7.979677e-01 2.771966e+00,1.020901e-01 -7.980905e-01 2.772212e+00
1.217856e-01 -1.194984e+00 2.814698e+00,1.216930e-01 -1.194751e+00 2.814859e+00,1.224600e-01 -1.193232e+00 2.815963e+00,1.223673e-01 -1.193276e+00 2.816141e+00,1.225365e-01 -1.194834e+00 2.815539e+00,1.215280e-01 -1.195641e+00 2.815992e+00,1.209065e-01 -1.188698e+00 2.817064e+00,1.202835e-01 -1.188877e+00 2.817868e+00,1.202604e-01 -1.188197e+00 2.817746e+00,1.199976e-01 -1.189425e+00 2.817417e+00,1.200001e-01 -1.189434e+00 2.817407e+00,1.197136e-01 -1.190089e+00 2.816775e+00,1.196686e-01 -1.190587e+00 2.816977e+00,1.197509e-01 -1.190745e+00 2.816830e+00,1.198360e-01 -1.190802e+00 2.817320e+00,1.199470e-01 -1.191140e+00 2.817260e+00,1.199883e-01 -1.191039e+00 2.817239e+00,1.202740e-01 -1.191109e+00 2.817035e+00,1.203677e-01 -1.190994e+00 2.817023e+00,1.206933e-01 -1.190485e+00 2.816440e+00,1.207208e-01 -1.190534e+00 2.816452e+00,1.206209e-01 -1.190807e+00 2.816490e+00,1.204147e-01 -1.190246e+00 2.817399e+00,1.204022e-01 -1.190262e+00 2.817386e+00,1.201713e-01 -1.188436e+00 2.817892e+00,1.201698e-01 -1.188470e+00 2.817703e+00,1.205690e-01 -1.189162e+00 2.817097e+00,1.205426e-01 -1.188798e+00 2.817245e+00,1.205366e-01 -1.188800e+00 2.817239e+00,1.205674e-01 -1.188924e+00 2.817206e+00,1.207961e-01 -1.189942e+00 2.817119e+00,1.208779e-01 -1.189993e+00 2.817200e+00,1.208212e-01 -1.189944e+00 2.817588e+00,1.211199e-01 -1.190130e+00 2.817332e+00,1.207555e-01 -1.190897e+00 2.817327e+00,1.210603e-01 -1.190706e+00 2.817982e+00,1.211572e-01 -1.190933e+00 2.818035e+00,1.208476e-01 -1.191833e+00 2.817381e+00,1.208340e-01 -1.191970e+00 2.817213e+00,1.210377e-01 -1.191900e+00 2.817319e+00,1.210529e-01 -1.193169e+00 2.816848e+00,1.210549e-01 -1.193809e+00 2.816838e+00
1.281384e-01 -1.247009e+00 2.682353e+00,1.299011e-01 -1.247033e+00 2.689640e+00,1.363824e-01 -1.246016e+00 2.675086e+00,1.342334e-01 -1.247091e+00 2.688900e+00,1.322610e-01 -1.246767e+00 2.683994e+00,1.321162e-01 -1.246594e+00 2.684083e+00,1.339480e-01 -1.247022e+00 2.693497e+00,1.332260e-01 -1.246882e+00 2.694358e+00,1.333509e-01 -1.246827e+00 2.694562e+00,1.314697e-01 -1.245162e+00 2.692935e+00,1.312369e-01 -1.245087e+00 2.692823e+00,1.283692e-01 -1.246272e+00 2.685099e+00,1.293041e-01 -1.246504e+00 2.689195e+00,1.289608e-01 -1.247195e+00 2.685518e+00,1.299827e-01 -1.247930e+00 2.684119e+00,1.279977e-01 -1.247976e+00 2.688786e+00,1.290384e-01 -1.247482e+00 2.692041e+00,1.316133e-01 -1.246475e+00 2.687631e+00,1.328967e-01 -1.246665e+00 2.692594e+00,1.325322e-01 -1.246261e+00 2.693160e+00,1.327301e-01 -1.246337e+00 2.693545e+00,1.321077e-01 -1.246570e+00 2.692482e+00,1.302702e-01 -1.247081e+00 2.691444e+00,1.314840e-01 -1.247077e+00 2.697711e+00,1.301358e-01 -1.245412e+00 2.694449e+00,1.305113e-01 -1.245336e+00 2.691146e+00,1.319732e-01 -1.246269e+00 2.689094e+00,1.316937e-01 -1.246038e+00 2.689556e+00,1.315782e-01 -1.246045e+00 2.688836e+00,1.316939e-01 -1.247082e+00 2.692722e+00,1.320276e-01 -1.247000e+00 2.691825e+00,1.332652e-01 -1.245837e+00 2.687552e+00,1.326301e-01 -1.245865e+00 2.692531e+00,1.331250e-01 -1.246212e+00 2.691421e+00,1.300541e-01 -1.245573e+00 2.685242e+00,1.295875e-01 -1.245316e+00 2.686372e+00,1.296271e-01 -1.245297e+00 2.685922e+00,1.283055e-01 -1.245554e+00 2.684152e+00,1.282435e-01 -1.245584e+00 2.684012e+00,1.289165e-01 -1.245458e+00 2.687589e+00,1.293695e-01 -1.246207e+00 2.691395e+00,1.302284e-01 -1.246740e+00 2.689920e+00
-1.662306e-03 6.272572e-02 2.804604e+00,-1.649323e-03 6.310081e-02 2.804186e+00,-1.950976e-03 6.388181e-02 2.803568e+00,-2.091803e-03 6.420700e-02 2.803132e+00,-2.168485e-03 6.431194e-02 2.803113e+00,-2.115121e-03 6.458595e-02 2.802860e+00,-2.207657e-03 6.490120e-02 2.802683e+00,-2.191805e-03 6.499612e-02 2.802668e+00,-2.050254e-03 6.561286e-02 2.803097e+00,-2.036922e-03 6.772649e-02 2.805068e+00,-2.450730e-03 6.912971e-02 2.806214e+00,-3.998104e-03 7.208523e-02 2.808346e+00,-4.705613e-03 7.337181e-02 2.809167e+00,-5.242162e-03 7.435495e-02 2.809753e+00,-4.940658e-03 7.655851e-02 2.810956e+00,-3.882498e-03 7.929613e-02 2.811487e+00,-3.451476e-03 8.016771e-02 2.811262e+00,-3.312810e-03 8.113327e-02 2.810860e+00,-3.315497e-03 8.126004e-02 2.810903e+00,-3.231156e-03 8.128071e-02 2.810879e+00,-3.448477e-03 8.135375e-02 2.811229e+00,-3.623393e-03 8.099137e-02 2.811460e+00,-3.624237e-03 8.071805e-02 2.811580e+00,-3.462202e-03 8.006208e-02 2.811334e+00,-3.792159e-03 7.890949e-02 2.810779e+00,-3.790452e-03 7.816935e-02 2.810376e+00,-3.052859e-03 7.645214e-02 2.809151e+00,-2.719668e-03 7.612237e-02 2.808535e+00,-2.666967e-03 7.589211e-02 2.808125e+00,-2.325187e-03 7.548042e-02 2.807141e+00,-2.071074e-03 7.528991e-02 2.806539e+00,-1.940944e-03 7.515451e-02 2.806233e+00,-1.763290e-03 7.479562e-02 2.805591e+00,-1.763286e-03 7.466397e-02 2.805633e+00,-1.767891e-03 7.460038e-02 2.805679e+00,-1.738823e-03 7.446466e-02 2.805650e+00,-1.697666e-03 7.443352e-02 2.805668e+00,-1.461340e-03 7.420576e-02 2.805543e+00,-1.423004e-03 7.408675e-02 2.805486e+00,-1.240710e-03 7.395616e-02 2.805425e+00,-1.087687e-03 7.381144e-02 2.805434e+00,-1.093903e-03 7.376279e-02 2.805414e+00
-2.062935e-01 -5.658218e-01 2.696984e+00,-2.080258e-01 -5.662614e-01 2.697215e+00,-2.079791e-01 -5.661088e-01 2.696501e+00,-2.083941e-01 -5.672503e-01 2.701929e+00,-2.081168e-01 -5.664993e-01 2.698358e+00,-2.108942e-01 -5.672729e-01 2.705374e+00,-2.099775e-01 -5.693129e-01 2.710502e+00,-2.086932e-01 -5.680901e-01 2.705930e+00,-2.097262e-01 -5.685410e-01 2.705607e+00,-2.093019e-01 -5.674168e-01 2.700232e+00,-2.161665e-01 -5.633574e-01 2.693982e+00,-2.143307e-01 -5.594602e-01 2.691361e+00,-2.143766e-01 -5.566824e-01 2.688635e+00,-2.133430e-01 -5.557508e-01 2.686362e+00,-2.093097e-01 -5.555039e-01 2.684030e+00,-2.175221e-01 -5.489354e-01 2.684224e+00,-2.128372e-01 -5.458210e-01 2.669968e+00,-2.205437e-01 -5.449054e-01 2.679743e+00,-2.172229e-01 -5.506200e-01 2.689843e+00,-2.149422e-01 -5.551931e-01 2.698033e+00,-2.196395e-01 -5.542922e-01 2.693957e+00,-2.213893e-01 -5.562289e-01 2.701967e+00,-2.225438e-01 -5.573573e-01 2.694788e+00,-2.222721e-01 -5.566159e-01 2.691216e+00,-2.222208e-01 -5.564958e-01 2.690644e+00,-2.258928e-01 -5.529377e-01 2.683470e+00,-2.249361e-01 -5.505534e-01 2.671915e+00,-2.233935e-01 -5.541303e-01 2.677525e+00,-2.250910e-01 -5.509707e-01 2.673915e+00,-2.168719e-01 -5.546216e-01 2.676502e+00,-2.137893e-01 -5.547529e-01 2.677074e+00,-2.135635e-01 -5.541598e-01 2.674217e+00,-2.099121e-01 -5.531247e-01 2.670161e+00,-2.083632e-01 -5.530260e-01 2.672029e+00,-2.082621e-01 -5.515454e-01 2.670697e+00,-2.024424e-01 -5.529665e-01 2.678367e+00,-2.070690e-01 -5.467193e-01 2.670744e+00,-2.004641e-01 -5.510327e-01 2.679870e+00,-2.014267e-01 -5.523487e-01 2.673366e+00,-1.958441e-01 -5.530600e-01 2.676768e+00,-1.984767e-01 -5.535954e-01 2.677617e+00,-2.040143e-01 -5.520356e-01 2.678867e+00
-2.382902e-01 -5.119841e-01 2.680818e+00,-2.393068e-01 -5.015047e-01 2.678273e+00,-2.391197e-01 -4.993590e-01 2.676316e+00,-2.390899e-01 -5.087204e-01 2.680406e+00,-2.358248e-01 -5.233208e-01 2.678385e+00,-2.409214e-01 -5.015222e-01 2.681587e+00,-2.407186e-01 -4.976818e-01 2.685346e+00,-2.385857e-01 -5.161218e-01 2.681682e+00,-2.448360e-01 -5.055815e-01 2.683406e+00,-2.434381e-01 -5.040165e-01 2.669111e+00,-2.441787e-01 -5.049137e-01 2.674393e+00,-2.468225e-01 -4.917731e-01 2.670938e+00,-2.340089e-01 -5.358443e-01 2.659167e+00,-2.411332e-01 -5.140682e-01 2.668462e+00,-2.396605e-01 -5.038822e-01 2.664461e+00,-2.395874e-01 -4.939922e-01 2.666501e+00,-2.409884e-01 -5.018902e-01 2.670685e+00,-2.408610e-01 -4.733947e-01 2.682800e+00,-2.408624e-01 -4.872262e-01 2.677855e+00,-2.408203e-01 -5.021660e-01 2.677600e+00,-2.438317e-01 -5.093514e-01 2.679143e+00,-2.465934e-01 -5.034537e-01 2.685227e+00,-2.486079e-01 -5.095136e-01 2.688692e+00,-2.480641e-01 -5.053040e-01 2.674143e+00,-2.504550e-01 -4.971123e-01 2.674752e+00,-2.492130e-01 -5.054891e-01 2.664143e+00,-2.540486e-01 -4.842952e-01 2.672117e+00,-2.512906e-01 -4.921476e-01 2.661294e+00,-2.502485e-01 -4.884664e-01 2.660048e+00,-2.444057e-01 -4.979449e-01 2.661088e+00,-2.486245e-01 -4.929660e-01 2.664713e+00,-2.461855e-01 -4.931649e-01 2.664829e+00,-2.439781e-01 -4.935348e-01 2.665707e+00,-2.391104e-01 -4.946202e-01 2.667937e+00,-2.389451e-01 -4.944611e-01 2.666234e+00,-2.357720e-01 -4.946612e-01 2.656400e+00,-2.391404e-01 -4.889513e-01 2.671872e+00,-2.363385e-01 -4.902815e-01 2.663814e+00,-2.304707e-01 -4.988482e-01 2.650111e+00,-2.307346e-01 -5.154678e-01 2.667909e+00,-2.309429e-01 -5.056692e-01 2.661336e+00,-2.365240e-01 -4.930962e-01 2.667467e+00
