4.530609e-02 -5.655602e-01 2.774567e+00,4.548581e-02 -5.656216e-01 2.774663e+00,4.535862e-02 -5.657187e-01 2.774354e+00,4.519941e-02 -5.657708e-01 2.774253e+00,4.474292e-02 -5.657896e-01 2.773883e+00,4.427505e-02 -5.657046e-01 2.773339e+00,4.364141e-02 -5.657108e-01 2.773045e+00,4.181017e-02 -5.654315e-01 2.772261e+00,4.113121e-02 -5.653757e-01 2.771897e+00,3.805552e-02 -5.655019e-01 2.771349e+00,3.714147e-02 -5.655096e-01 2.770937e+00,3.553523e-02 -5.662869e-01 2.771250e+00,3.544412e-02 -5.703592e-01 2.772018e+00,3.531263e-02 -5.715995e-01 2.772245e+00,3.523108e-02 -5.716928e-01 2.772351e+00,3.548442e-02 -5.719058e-01 2.772625e+00,3.583017e-02 -5.721192e-01 2.772849e+00,3.573534e-02 -5.721738e-01 2.773063e+00,3.562409e-02 -5.722606e-01 2.773025e+00,3.458491e-02 -5.723292e-01 2.772620e+00,3.443162e-02 -5.725332e-01 2.772665e+00,3.450821e-02 -5.731931e-01 2.772721e+00,3.455902e-02 -5.734333e-01 2.772768e+00,3.472859e-02 -5.734810e-01 2.772884e+00,3.483394e-02 -5.736086e-01 2.773024e+00,3.509903e-02 -5.746226e-01 2.773613e+00,3.600374e-02 -5.747332e-01 2.773693e+00,3.633835e-02 -5.748417e-01 2.773813e+00,3.690633e-02 -5.748990e-01 2.773832e+00,3.739540e-02 -5.723717e-01 2.774338e+00,3.711649e-02 -5.687970e-01 2.774409e+00,3.695221e-02 -5.674279e-01 2.774453e+00,3.699178e-02 -5.673224e-01 2.774465e+00,3.723122e-02 -5.663468e-01 2.774618e+00,3.736205e-02 -5.663360e-01 2.774727e+00,3.820246e-02 -5.664223e-01 2.774784e+00,3.852899e-02 -5.664977e-01 2.774896e+00,3.938460e-02 -5.661380e-01 2.775021e+00,4.655141e-02 -5.647708e-01 2.777238e+00,4.871729e-02 -5.647587e-01 2.777706e+00,5.154815e-02 -5.645366e-01 2.778489e+00,5.233290e-02 -5.651275e-01 2.778876e+00,5.286064e-02 -5.648763e-01 2.778990e+00,5.393565e-02 -5.648789e-01 2.779301e+00,5.407580e-02 -5.648884e-01 2.779372e+00,5.488051e-02 -5.642937e-01 2.779279e+00,5.497260e-02 -5.642689e-01 2.779292e+00
2.119931e-01 -5.456412e-01 2.718783e+00,2.121440e-01 -5.449973e-01 2.719695e+00,2.141932e-01 -5.438572e-01 2.710266e+00,2.203469e-01 -5.386578e-01 2.698418e+00,2.344549e-01 -4.744145e-01 2.653326e+00,2.460995e-01 -3.919833e-01 2.628927e+00,2.489865e-01 -3.225605e-01 2.609301e+00,2.050246e-01 -6.722726e-02 2.530982e+00,2.243342e-01 -1.135407e-01 2.603993e+00,1.875548e-01 -3.393493e-02 2.604045e+00,1.611593e-01 1.547273e-02 2.576563e+00,1.164103e-01 8.146146e-02 2.566063e+00,4.159578e-02 1.377612e-01 2.399385e+00,2.561970e-02 1.231568e-01 2.337331e+00,2.902399e-02 1.056484e-01 2.261725e+00,1.411109e-02 1.162718e-01 2.266189e+00,-3.190203e-03 1.161996e-01 2.270051e+00,-6.679959e-03 1.103472e-01 2.262167e+00,-7.610405e-04 9.014431e-02 2.292991e+00,2.560853e-03 8.671958e-02 2.274826e+00,1.428290e-02 7.325421e-02 2.273768e+00,1.879670e-02 6.705385e-02 2.274368e+00,2.371627e-02 6.342306e-02 2.268641e+00,3.617272e-02 5.966655e-02 2.261691e+00,4.219391e-02 5.640239e-02 2.255952e+00,6.641701e-02 3.919928e-02 2.270456e+00,8.338851e-02 2.357774e-02 2.283901e+00,1.087270e-01 -1.618483e-03 2.304614e+00,1.681211e-01 -8.452225e-02 2.339646e+00,1.965692e-01 -1.397712e-01 2.351292e+00,2.486905e-01 -2.697839e-01 2.385519e+00,2.721930e-01 -3.432904e-01 2.425462e+00,2.870795e-01 -4.107593e-01 2.467418e+00,2.999292e-01 -5.084579e-01 2.575476e+00,2.994783e-01 -5.339232e-01 2.626027e+00,2.791143e-01 -5.690728e-01 2.699794e+00,2.631398e-01 -5.790520e-01 2.723330e+00,2.508711e-01 -5.488325e-01 2.738190e+00,2.232383e-01 -5.495824e-01 2.740283e+00,2.229205e-01 -5.504949e-01 2.739305e+00,2.258080e-01 -5.523782e-01 2.740567e+00,2.271570e-01 -5.501173e-01 2.738621e+00,2.260885e-01 -5.490332e-01 2.738439e+00,2.247595e-01 -5.499047e-01 2.736958e+00,2.257640e-01 -5.492653e-01 2.739045e+00,2.243073e-01 -5.507824e-01 2.737598e+00,2.244453e-01 -5.492933e-01 2.735127e+00
-2.370817e-02 -5.573550e-01 2.740667e+00,-2.352845e-02 -5.574560e-01 2.740728e+00,-2.368177e-02 -5.575475e-01 2.740330e+00,-2.386964e-02 -5.575430e-01 2.740252e+00,-2.433329e-02 -5.575638e-01 2.739777e+00,-2.479385e-02 -5.575971e-01 2.739240e+00,-2.529867e-02 -5.576683e-01 2.739084e+00,-2.707708e-02 -5.569819e-01 2.738539e+00,-2.768038e-02 -5.569993e-01 2.738590e+00,-3.103129e-02 -5.565202e-01 2.738761e+00,-3.205302e-02 -5.566124e-01 2.739214e+00,-3.472711e-02 -5.584163e-01 2.743363e+00,-3.423352e-02 -5.686647e-01 2.752040e+00,-3.428326e-02 -5.705146e-01 2.753798e+00,-3.398337e-02 -5.711398e-01 2.756314e+00,-3.316322e-02 -5.716045e-01 2.758187e+00,-3.191181e-02 -5.721517e-01 2.759598e+00,-3.177126e-02 -5.723395e-01 2.760238e+00,-3.170808e-02 -5.724777e-01 2.760364e+00,-3.238081e-02 -5.725262e-01 2.760273e+00,-3.250138e-02 -5.728353e-01 2.760600e+00,-3.245999e-02 -5.729687e-01 2.760532e+00,-3.243254e-02 -5.729797e-01 2.760506e+00,-3.226410e-02 -5.730554e-01 2.760722e+00,-3.221867e-02 -5.731748e-01 2.760756e+00,-3.208972e-02 -5.732846e-01 2.760945e+00,-3.150390e-02 -5.734968e-01 2.761116e+00,-3.114334e-02 -5.737439e-01 2.761331e+00,-3.000794e-02 -5.731525e-01 2.760023e+00,-2.941563e-02 -5.710590e-01 2.759635e+00,-2.997362e-02 -5.640356e-01 2.757500e+00,-3.022324e-02 -5.632302e-01 2.756841e+00,-3.016043e-02 -5.627413e-01 2.756090e+00,-3.033495e-02 -5.616217e-01 2.754742e+00,-3.013941e-02 -5.612789e-01 2.754195e+00,-2.908568e-02 -5.608510e-01 2.752549e+00,-2.880505e-02 -5.606440e-01 2.752007e+00,-2.772846e-02 -5.584794e-01 2.750294e+00,-2.248173e-02 -5.584691e-01 2.749940e+00,-2.068688e-02 -5.586491e-01 2.749480e+00,-1.819281e-02 -5.588788e-01 2.749172e+00,-1.736408e-02 -5.591065e-01 2.748998e+00,-1.697084e-02 -5.589529e-01 2.748905e+00,-1.586563e-02 -5.593578e-01 2.748803e+00,-1.567805e-02 -5.595748e-01 2.748819e+00,-1.481929e-02 -5.586997e-01 2.748136e+00,-1.470090e-02 -5.588095e-01 2.748123e+00
-2.310204e-04 -9.156367e-01 2.772209e+00,-2.168155e-04 -9.156607e-01 2.772194e+00,2.870341e-04 -9.186770e-01 2.772289e+00,5.752246e-04 -9.182352e-01 2.772003e+00,1.471582e-03 -9.145777e-01 2.771338e+00,5.989314e-03 -9.227365e-01 2.773120e+00,5.000928e-03 -9.219080e-01 2.772877e+00,3.846638e-03 -9.234719e-01 2.772623e+00,3.767601e-03 -9.228122e-01 2.772259e+00,3.730909e-03 -9.245575e-01 2.772030e+00,4.251260e-03 -9.260287e-01 2.771944e+00,5.894102e-03 -9.160352e-01 2.770948e+00,8.174075e-03 -9.116806e-01 2.770151e+00,8.528411e-03 -9.116347e-01 2.770280e+00,1.022985e-02 -9.123679e-01 2.771506e+00,1.331992e-02 -9.107985e-01 2.773164e+00,2.185720e-02 -9.331696e-01 2.777649e+00,2.231051e-02 -9.357759e-01 2.778498e+00,2.154050e-02 -9.357103e-01 2.778312e+00,2.145024e-02 -9.357176e-01 2.778359e+00,2.046689e-02 -9.356443e-01 2.778532e+00,2.030258e-02 -9.357183e-01 2.778582e+00,1.733220e-02 -9.260523e-01 2.775396e+00,1.667602e-02 -9.241271e-01 2.775647e+00,1.665246e-02 -9.222939e-01 2.775250e+00,1.216021e-02 -9.145117e-01 2.772909e+00,1.223791e-02 -9.142194e-01 2.773138e+00,1.228183e-02 -9.142005e-01 2.773152e+00,1.160555e-02 -9.160028e-01 2.773588e+00,1.250362e-02 -9.335474e-01 2.778190e+00,1.119820e-02 -9.201785e-01 2.776817e+00,1.085273e-02 -9.247589e-01 2.776992e+00,1.016059e-02 -9.190051e-01 2.775141e+00,8.140199e-03 -9.154413e-01 2.774597e+00,9.680855e-03 -9.212109e-01 2.776269e+00,8.162138e-03 -9.203910e-01 2.776105e+00,7.671210e-03 -9.199311e-01 2.775799e+00,7.224730e-03 -9.201376e-01 2.775770e+00,6.222805e-03 -9.166561e-01 2.775054e+00,5.213134e-03 -9.136611e-01 2.774697e+00,3.250839e-03 -9.097235e-01 2.773486e+00,3.045273e-03 -9.114566e-01 2.773501e+00,3.081237e-03 -9.118823e-01 2.773508e+00,5.046114e-03 -9.210541e-01 2.776065e+00,5.081913e-03 -9.209254e-01 2.775903e+00,5.255537e-03 -9.194500e-01 2.775716e+00,5.750679e-03 -9.228344e-01 2.776159e+00
-1.422585e-02 -1.212386e+00 2.762902e+00,-7.920465e-03 -1.236720e+00 2.746815e+00,-1.106266e-02 -1.213656e+00 2.764144e+00,-1.199516e-02 -1.213271e+00 2.764071e+00,-1.235229e-02 -1.212058e+00 2.764404e+00,-1.106074e-02 -1.212613e+00 2.763106e+00,-1.136796e-02 -1.212229e+00 2.763366e+00,-1.293726e-02 -1.209984e+00 2.766235e+00,-1.324542e-02 -1.209980e+00 2.766340e+00,-1.447119e-02 -1.208878e+00 2.760994e+00,-1.461372e-02 -1.209101e+00 2.761044e+00,-1.491297e-02 -1.209086e+00 2.761528e+00,-1.462559e-02 -1.213495e+00 2.761068e+00,-1.454254e-02 -1.213736e+00 2.761109e+00,-1.438929e-02 -1.215937e+00 2.760876e+00,-1.369761e-02 -1.216927e+00 2.761666e+00,-2.170512e-02 -1.248812e+00 2.726130e+00,-1.578758e-02 -1.215844e+00 2.769477e+00,-1.338851e-02 -1.221709e+00 2.761519e+00,-1.353375e-02 -1.221414e+00 2.761932e+00,-1.566027e-02 -1.217636e+00 2.764049e+00,-1.502253e-02 -1.215671e+00 2.764364e+00,-1.406801e-02 -1.217059e+00 2.762420e+00,-2.785182e-02 -1.250107e+00 2.724745e+00,-3.035501e-02 -1.239462e+00 2.726425e+00,-1.757277e-02 -1.234645e+00 2.743214e+00,-1.708535e-02 -1.231199e+00 2.748268e+00,-1.509750e-02 -1.228958e+00 2.750266e+00,-1.481684e-02 -1.220712e+00 2.756201e+00,-1.434212e-02 -1.221179e+00 2.756148e+00,-1.310836e-02 -1.219678e+00 2.757456e+00,-1.291857e-02 -1.222217e+00 2.756604e+00,-1.272986e-02 -1.221627e+00 2.757284e+00,-1.361191e-02 -1.212911e+00 2.763619e+00,-3.268601e-02 -1.239087e+00 2.725511e+00,-2.634223e-02 -1.248561e+00 2.726288e+00,-1.999542e-02 -1.245976e+00 2.730611e+00,-1.120974e-02 -1.248819e+00 2.737415e+00,-2.843492e-02 -1.245486e+00 2.723381e+00,-1.061783e-02 -1.208951e+00 2.767550e+00,-9.717736e-03 -1.211113e+00 2.765299e+00,-9.176073e-03 -1.213266e+00 2.762110e+00,-9.564848e-03 -1.214206e+00 2.762322e+00,-5.118506e-03 -1.221507e+00 2.759639e+00,-5.218131e-03 -1.221468e+00 2.759749e+00,-6.024646e-03 -1.220994e+00 2.759877e+00,-6.417522e-03 -1.219934e+00 2.759851e+00
1.138174e-03 -1.266318e+00 2.633564e+00,3.717013e-03 -1.270666e+00 2.626823e+00,3.023414e-03 -1.265814e+00 2.635795e+00,3.274573e-03 -1.265985e+00 2.633445e+00,-1.256849e-03 -1.265947e+00 2.627801e+00,-7.513587e-04 -1.265804e+00 2.627492e+00,-1.580800e-03 -1.265064e+00 2.633400e+00,-9.214435e-04 -1.265501e+00 2.639300e+00,-7.073486e-04 -1.265653e+00 2.639255e+00,-9.444896e-04 -1.266059e+00 2.637230e+00,-7.606371e-04 -1.266120e+00 2.637831e+00,-3.722101e-05 -1.266310e+00 2.637432e+00,3.953276e-03 -1.266285e+00 2.641441e+00,3.959115e-03 -1.266325e+00 2.641416e+00,4.893752e-03 -1.267048e+00 2.639949e+00,5.048302e-03 -1.267657e+00 2.640025e+00,6.642569e-03 -1.274386e+00 2.605564e+00,2.064952e-03 -1.266780e+00 2.623334e+00,4.761723e-03 -1.267544e+00 2.628177e+00,4.595235e-03 -1.267226e+00 2.622488e+00,1.225153e-03 -1.266667e+00 2.622584e+00,1.363522e-03 -1.266655e+00 2.620848e+00,1.846006e-03 -1.266849e+00 2.620873e+00,1.129429e-02 -1.279709e+00 2.610285e+00,9.258840e-03 -1.278831e+00 2.617968e+00,3.054464e-03 -1.269681e+00 2.625093e+00,-4.475315e-03 -1.268599e+00 2.623888e+00,-4.905884e-03 -1.268024e+00 2.625614e+00,-1.987328e-04 -1.267467e+00 2.629958e+00,1.891722e-03 -1.267190e+00 2.634620e+00,-5.082547e-03 -1.267124e+00 2.626173e+00,-3.176047e-03 -1.267412e+00 2.625543e+00,1.617906e-03 -1.265535e+00 2.637031e+00,8.907904e-04 -1.266229e+00 2.637544e+00,9.314228e-03 -1.276103e+00 2.616816e+00,1.918926e-02 -1.277442e+00 2.614818e+00,1.721069e-02 -1.277732e+00 2.616514e+00,9.439888e-03 -1.269227e+00 2.612812e+00,1.340121e-02 -1.271898e+00 2.608691e+00,7.258074e-03 -1.265908e+00 2.622795e+00,-5.095118e-03 -1.266914e+00 2.623572e+00,-1.267804e-03 -1.266238e+00 2.625747e+00,1.655664e-03 -1.266031e+00 2.620890e+00,3.068397e-03 -1.266740e+00 2.633157e+00,6.561182e-03 -1.266399e+00 2.630065e+00,4.819280e-03 -1.265984e+00 2.633745e+00,7.460398e-03 -1.266385e+00 2.632035e+00
1.134396e-01 -5.599983e-01 2.740138e+00,1.135952e-01 -5.600072e-01 2.740255e+00,1.134803e-01 -5.600774e-01 2.739997e+00,1.133189e-01 -5.601870e-01 2.739849e+00,1.128146e-01 -5.601424e-01 2.739516e+00,1.123193e-01 -5.599164e-01 2.738942e+00,1.115253e-01 -5.598249e-01 2.738469e+00,1.095769e-01 -5.599257e-01 2.737379e+00,1.087043e-01 -5.597469e-01 2.736345e+00,1.058775e-01 -5.604658e-01 2.735198e+00,1.046881e-01 -5.603654e-01 2.733389e+00,1.027895e-01 -5.610134e-01 2.731322e+00,1.033373e-01 -5.620638e-01 2.727158e+00,1.032470e-01 -5.626729e-01 2.725621e+00,1.029112e-01 -5.611274e-01 2.722570e+00,1.031769e-01 -5.610439e-01 2.721847e+00,1.031333e-01 -5.604664e-01 2.720540e+00,1.026713e-01 -5.601956e-01 2.720308e+00,1.021821e-01 -5.598486e-01 2.719324e+00,1.004447e-01 -5.595434e-01 2.717884e+00,1.003678e-01 -5.595377e-01 2.717570e+00,1.004825e-01 -5.606928e-01 2.717716e+00,1.005457e-01 -5.611985e-01 2.717822e+00,1.007968e-01 -5.610638e-01 2.717747e+00,1.009602e-01 -5.610781e-01 2.717917e+00,1.014863e-01 -5.629982e-01 2.718679e+00,1.028363e-01 -5.627595e-01 2.718492e+00,1.031459e-01 -5.626841e-01 2.718489e+00,1.038887e-01 -5.629951e-01 2.719652e+00,1.040249e-01 -5.595329e-01 2.721255e+00,1.036007e-01 -5.577894e-01 2.722597e+00,1.034815e-01 -5.558292e-01 2.723706e+00,1.035989e-01 -5.559489e-01 2.724441e+00,1.039982e-01 -5.552878e-01 2.726768e+00,1.044959e-01 -5.561042e-01 2.728201e+00,1.059566e-01 -5.572420e-01 2.729842e+00,1.066253e-01 -5.579923e-01 2.730896e+00,1.079747e-01 -5.588369e-01 2.732436e+00,1.157804e-01 -5.563557e-01 2.737133e+00,1.180356e-01 -5.562968e-01 2.738461e+00,1.208075e-01 -5.558025e-01 2.740139e+00,1.215269e-01 -5.571460e-01 2.741296e+00,1.220637e-01 -5.568147e-01 2.741538e+00,1.230399e-01 -5.564417e-01 2.742117e+00,1.231679e-01 -5.562704e-01 2.742221e+00,1.238475e-01 -5.558004e-01 2.742470e+00,1.239442e-01 -5.556132e-01 2.742487e+00
7.961965e-02 -9.339505e-01 2.782957e+00,7.970960e-02 -9.341043e-01 2.782850e+00,7.822442e-02 -9.325702e-01 2.782129e+00,7.478159e-02 -9.311430e-01 2.780815e+00,7.414094e-02 -9.316908e-01 2.780299e+00,7.533692e-02 -9.318054e-01 2.779836e+00,7.796988e-02 -9.337112e-01 2.779705e+00,7.387912e-02 -9.343805e-01 2.778838e+00,6.158541e-02 -9.368653e-01 2.777131e+00,6.079827e-02 -9.390671e-01 2.778148e+00,6.077145e-02 -9.388018e-01 2.777921e+00,5.986137e-02 -9.378421e-01 2.778155e+00,6.689475e-02 -9.379263e-01 2.779132e+00,6.820241e-02 -9.378313e-01 2.779485e+00,7.431448e-02 -9.352579e-01 2.779427e+00,6.740013e-02 -9.462076e-01 2.782340e+00,7.110753e-02 -9.417131e-01 2.781389e+00,7.438602e-02 -9.396914e-01 2.781365e+00,7.658692e-02 -9.378927e-01 2.780741e+00,7.831328e-02 -9.366636e-01 2.780456e+00,8.375969e-02 -9.350943e-01 2.781547e+00,7.390395e-02 -9.626254e-01 2.787232e+00,7.347329e-02 -9.632291e-01 2.787447e+00,6.984948e-02 -9.468772e-01 2.782813e+00,6.909724e-02 -9.447678e-01 2.782905e+00,7.501044e-02 -9.403205e-01 2.782562e+00,7.360673e-02 -9.411303e-01 2.783038e+00,7.167174e-02 -9.413574e-01 2.783075e+00,7.432632e-02 -9.592583e-01 2.787944e+00,8.123560e-02 -9.423007e-01 2.783907e+00,7.477439e-02 -9.605752e-01 2.786910e+00,8.261386e-02 -9.375156e-01 2.780198e+00,8.245508e-02 -9.372768e-01 2.780133e+00,8.991670e-02 -9.089365e-01 2.776710e+00,8.165471e-02 -9.325330e-01 2.784201e+00,8.145694e-02 -9.329116e-01 2.784086e+00,8.146022e-02 -9.330358e-01 2.784044e+00,8.136538e-02 -9.332222e-01 2.784121e+00,8.239087e-02 -9.345501e-01 2.785059e+00,7.970604e-02 -9.358208e-01 2.785091e+00,7.518507e-02 -9.376850e-01 2.785126e+00,6.604428e-02 -9.756023e-01 2.793707e+00,8.239029e-02 -9.351332e-01 2.785762e+00,8.875739e-02 -9.321784e-01 2.784826e+00,8.756598e-02 -9.326001e-01 2.784887e+00,8.708239e-02 -9.334862e-01 2.784938e+00,8.708730e-02 -9.334995e-01 2.784880e+00
7.530341e-02 -1.207632e+00 2.768553e+00,7.489648e-02 -1.206238e+00 2.769452e+00,7.447986e-02 -1.206939e+00 2.770274e+00,7.459731e-02 -1.207275e+00 2.770207e+00,7.187016e-02 -1.217508e+00 2.766280e+00,7.313949e-02 -1.213695e+00 2.766641e+00,7.322867e-02 -1.214656e+00 2.765853e+00,6.957380e-02 -1.220834e+00 2.763803e+00,6.986355e-02 -1.220831e+00 2.763786e+00,7.134458e-02 -1.220331e+00 2.763405e+00,7.108582e-02 -1.219589e+00 2.762897e+00,7.089812e-02 -1.220158e+00 2.762755e+00,7.217550e-02 -1.214292e+00 2.767516e+00,7.154548e-02 -1.215949e+00 2.766745e+00,7.357483e-02 -1.215495e+00 2.767262e+00,7.221481e-02 -1.216668e+00 2.765586e+00,7.381113e-02 -1.213271e+00 2.768544e+00,7.611651e-02 -1.209684e+00 2.769407e+00,7.621123e-02 -1.209661e+00 2.769591e+00,7.643713e-02 -1.210829e+00 2.770210e+00,7.973544e-02 -1.213200e+00 2.771518e+00,7.956874e-02 -1.210120e+00 2.772500e+00,7.538229e-02 -1.220733e+00 2.760698e+00,7.414328e-02 -1.218554e+00 2.761559e+00,7.351393e-02 -1.215181e+00 2.765326e+00,7.190409e-02 -1.218524e+00 2.763284e+00,7.125901e-02 -1.223326e+00 2.760046e+00,7.310748e-02 -1.220156e+00 2.762909e+00,7.218076e-02 -1.219692e+00 2.762224e+00,7.191011e-02 -1.220514e+00 2.761873e+00,7.346339e-02 -1.216097e+00 2.765264e+00,7.243516e-02 -1.213378e+00 2.767454e+00,7.138201e-02 -1.214293e+00 2.767133e+00,7.168407e-02 -1.211311e+00 2.768532e+00,7.019058e-02 -1.214152e+00 2.766657e+00,7.138564e-02 -1.212950e+00 2.766827e+00,7.192996e-02 -1.213280e+00 2.766682e+00,7.208878e-02 -1.213460e+00 2.766740e+00,7.225932e-02 -1.214344e+00 2.765560e+00,7.246313e-02 -1.214161e+00 2.766294e+00,7.261561e-02 -1.216479e+00 2.764708e+00,7.248052e-02 -1.219833e+00 2.764369e+00,7.756571e-02 -1.242625e+00 2.738636e+00,7.342246e-02 -1.241576e+00 2.741865e+00,7.446541e-02 -1.212604e+00 2.765679e+00,7.540282e-02 -1.212007e+00 2.767175e+00,7.390146e-02 -1.220954e+00 2.761958e+00
6.985290e-02 -1.268928e+00 2.633451e+00,6.816814e-02 -1.268821e+00 2.637180e+00,8.472948e-02 -1.265873e+00 2.622660e+00,7.835674e-02 -1.268971e+00 2.626989e+00,7.165044e-02 -1.269228e+00 2.636300e+00,5.595168e-02 -1.269428e+00 2.621077e+00,5.816491e-02 -1.269022e+00 2.620223e+00,5.971721e-02 -1.270992e+00 2.621666e+00,5.817977e-02 -1.269269e+00 2.634192e+00,5.826403e-02 -1.267370e+00 2.609462e+00,5.908673e-02 -1.267156e+00 2.613245e+00,5.947096e-02 -1.267861e+00 2.615307e+00,5.780675e-02 -1.268423e+00 2.618838e+00,5.627083e-02 -1.269901e+00 2.630303e+00,5.814844e-02 -1.269337e+00 2.626573e+00,6.322919e-02 -1.272295e+00 2.623106e+00,6.099989e-02 -1.271083e+00 2.623543e+00,6.383393e-02 -1.264065e+00 2.618715e+00,6.375280e-02 -1.266602e+00 2.620409e+00,8.143316e-02 -1.268674e+00 2.649618e+00,6.556572e-02 -1.270480e+00 2.630904e+00,6.004818e-02 -1.264269e+00 2.622570e+00,6.137506e-02 -1.268335e+00 2.616654e+00,6.191056e-02 -1.268505e+00 2.615911e+00,6.134024e-02 -1.268515e+00 2.617650e+00,6.571061e-02 -1.267669e+00 2.632932e+00,6.651638e-02 -1.269770e+00 2.628638e+00,6.557263e-02 -1.269948e+00 2.625863e+00,7.059538e-02 -1.268675e+00 2.632669e+00,7.060865e-02 -1.268656e+00 2.633935e+00,5.163452e-02 -1.268582e+00 2.630684e+00,5.720165e-02 -1.269938e+00 2.632793e+00,5.759606e-02 -1.269449e+00 2.626595e+00,6.248140e-02 -1.268147e+00 2.627218e+00,6.487143e-02 -1.268775e+00 2.629744e+00,6.420600e-02 -1.267997e+00 2.627141e+00,6.272416e-02 -1.268266e+00 2.627451e+00,5.350845e-02 -1.265948e+00 2.615962e+00,6.342435e-02 -1.267057e+00 2.622912e+00,6.534763e-02 -1.266873e+00 2.630872e+00,6.339808e-02 -1.268667e+00 2.635454e+00,6.344046e-02 -1.268331e+00 2.634947e+00,6.083852e-02 -1.268785e+00 2.615351e+00,6.440433e-02 -1.275799e+00 2.621471e+00,6.764604e-02 -1.269779e+00 2.626901e+00,5.853561e-02 -1.271146e+00 2.636378e+00,6.091512e-02 -1.270346e+00 2.636454e+00
4.492913e-02 -6.028798e-02 2.810401e+00,4.488569e-02 -6.026189e-02 2.810613e+00,4.503763e-02 -6.024416e-02 2.810406e+00,4.510766e-02 -6.007224e-02 2.810367e+00,4.513437e-02 -5.957748e-02 2.809631e+00,4.543200e-02 -5.917472e-02 2.808919e+00,4.565367e-02 -5.905876e-02 2.808689e+00,4.653347e-02 -5.833571e-02 2.807691e+00,4.665912e-02 -5.802225e-02 2.807353e+00,4.666810e-02 -5.788724e-02 2.807308e+00,4.703096e-02 -5.777464e-02 2.807326e+00,4.575472e-02 -5.868095e-02 2.804188e+00,4.537329e-02 -6.050872e-02 2.805106e+00,4.354243e-02 -6.099793e-02 2.805038e+00,4.216773e-02 -6.321973e-02 2.800013e+00,4.104399e-02 -6.297585e-02 2.798977e+00,3.891337e-02 -6.295611e-02 2.796988e+00,3.860767e-02 -6.259958e-02 2.796108e+00,3.777298e-02 -6.091953e-02 2.794106e+00,3.730148e-02 -6.075244e-02 2.793858e+00,3.735130e-02 -6.057078e-02 2.793161e+00,3.729351e-02 -6.064118e-02 2.792887e+00,3.552086e-02 -6.451523e-02 2.792916e+00,3.460699e-02 -6.717404e-02 2.793134e+00,3.447680e-02 -6.728898e-02 2.793247e+00,3.600452e-02 -6.941283e-02 2.792129e+00,3.623571e-02 -6.835644e-02 2.792020e+00,3.730242e-02 -6.041902e-02 2.798650e+00,4.343357e-02 -5.838899e-02 2.808653e+00,4.511143e-02 -5.770798e-02 2.811145e+00,4.606823e-02 -5.706121e-02 2.812053e+00,4.676567e-02 -5.669898e-02 2.812459e+00,4.727763e-02 -5.645917e-02 2.812563e+00,4.866258e-02 -5.610660e-02 2.812396e+00,4.952842e-02 -5.605495e-02 2.812338e+00,5.130241e-02 -5.597319e-02 2.811714e+00,5.282082e-02 -5.621718e-02 2.811135e+00,5.372117e-02 -5.614932e-02 2.810484e+00,5.567644e-02 -5.569449e-02 2.809602e+00,5.656612e-02 -5.594700e-02 2.809267e+00,5.715983e-02 -5.609816e-02 2.809228e+00,5.735421e-02 -5.608226e-02 2.809221e+00,5.760653e-02 -5.614853e-02 2.809202e+00,5.798468e-02 -5.614680e-02 2.809052e+00,5.796848e-02 -5.615179e-02 2.809051e+00,5.801064e-02 -5.612316e-02 2.809115e+00,5.803006e-02 -5.612012e-02 2.809164e+00
