4.628347e-02 -5.676346e-01 2.783444e+00,4.570989e-02 -5.675566e-01 2.783249e+00,4.549230e-02 -5.675508e-01 2.783072e+00,4.378804e-02 -5.672485e-01 2.781611e+00,4.183887e-02 -5.665162e-01 2.780286e+00,3.847896e-02 -5.657621e-01 2.778138e+00,3.771951e-02 -5.655063e-01 2.777426e+00,3.644926e-02 -5.649557e-01 2.776497e+00,3.401883e-02 -5.630783e-01 2.772918e+00,3.298192e-02 -5.628493e-01 2.771990e+00,3.249542e-02 -5.630739e-01 2.770908e+00,3.170796e-02 -5.636424e-01 2.769760e+00,3.020336e-02 -5.648253e-01 2.768884e+00,2.890608e-02 -5.664312e-01 2.767599e+00,2.879986e-02 -5.678971e-01 2.766670e+00,2.845534e-02 -5.724584e-01 2.766894e+00,2.848640e-02 -5.729041e-01 2.767247e+00,2.848944e-02 -5.728499e-01 2.767243e+00,2.872631e-02 -5.734516e-01 2.767830e+00,2.903811e-02 -5.738951e-01 2.768352e+00,2.905443e-02 -5.741752e-01 2.768810e+00,2.910807e-02 -5.743309e-01 2.768819e+00,2.900399e-02 -5.747922e-01 2.768926e+00,2.902958e-02 -5.750077e-01 2.768965e+00,2.904779e-02 -5.750561e-01 2.769045e+00,2.853793e-02 -5.751082e-01 2.768966e+00,2.854287e-02 -5.752661e-01 2.768886e+00,2.784812e-02 -5.777094e-01 2.768299e+00,2.705026e-02 -5.777109e-01 2.768322e+00,2.717920e-02 -5.768124e-01 2.768181e+00,2.518416e-02 -5.692072e-01 2.766942e+00,2.369288e-02 -5.674008e-01 2.766101e+00,2.329172e-02 -5.660888e-01 2.765242e+00,2.369353e-02 -5.658813e-01 2.765084e+00,2.390361e-02 -5.658539e-01 2.765162e+00,2.479113e-02 -5.652195e-01 2.764870e+00,2.562138e-02 -5.654287e-01 2.764857e+00,2.655347e-02 -5.653444e-01 2.764997e+00,2.770717e-02 -5.655129e-01 2.765148e+00,3.064327e-02 -5.650101e-01 2.766297e+00,3.556999e-02 -5.647540e-01 2.768164e+00,3.760040e-02 -5.652030e-01 2.769252e+00,3.970918e-02 -5.652793e-01 2.770389e+00,4.157773e-02 -5.654077e-01 2.771809e+00,4.223036e-02 -5.651816e-01 2.771896e+00,4.303728e-02 -5.653321e-01 2.772652e+00
2.093105e-01 -5.814755e-01 2.730593e+00,2.140070e-01 -5.578719e-01 2.730922e+00,2.151641e-01 -5.528159e-01 2.730213e+00,2.145735e-01 -5.316642e-01 2.712869e+00,2.214744e-01 -4.974535e-01 2.705371e+00,2.422579e-01 -4.058160e-01 2.660961e+00,2.398550e-01 -3.468943e-01 2.646170e+00,2.342558e-01 -2.796421e-01 2.652606e+00,2.447747e-01 -1.607484e-01 2.573234e+00,1.939934e-01 -1.557034e-01 2.676542e+00,1.682014e-01 -1.218316e-01 2.664953e+00,1.694704e-01 -1.031530e-01 2.653142e+00,1.699101e-01 -7.834566e-02 2.623952e+00,1.008668e-01 5.307675e-02 2.536344e+00,5.723142e-02 9.830322e-02 2.503318e+00,2.254605e-02 1.175379e-01 2.345728e+00,2.621629e-02 1.031026e-01 2.304315e+00,3.370908e-02 9.272820e-02 2.272970e+00,4.574992e-03 1.150159e-01 2.253897e+00,-6.287842e-03 1.143581e-01 2.262034e+00,-1.698733e-02 9.956477e-02 2.253392e+00,-1.976117e-02 9.323415e-02 2.250793e+00,-1.589038e-02 8.414562e-02 2.255465e+00,-1.493025e-02 8.127502e-02 2.252879e+00,-7.782829e-03 7.688337e-02 2.260987e+00,1.898730e-03 6.775373e-02 2.262183e+00,7.880405e-03 5.866696e-02 2.265319e+00,2.344507e-02 2.202752e-02 2.281560e+00,4.853598e-02 -8.805160e-03 2.303303e+00,6.356155e-02 -5.037353e-02 2.308108e+00,1.156194e-01 -1.662794e-01 2.336488e+00,1.627685e-01 -2.325040e-01 2.377864e+00,2.141410e-01 -3.742605e-01 2.431058e+00,2.303947e-01 -4.468413e-01 2.460903e+00,2.524805e-01 -4.771201e-01 2.520960e+00,2.650987e-01 -5.375329e-01 2.607150e+00,2.600573e-01 -5.491185e-01 2.643259e+00,2.442966e-01 -5.703933e-01 2.687642e+00,2.415439e-01 -5.437043e-01 2.704339e+00,2.279998e-01 -5.374252e-01 2.717127e+00,2.124159e-01 -5.401090e-01 2.724175e+00,2.160547e-01 -5.400349e-01 2.720104e+00,2.040194e-01 -5.762587e-01 2.715371e+00,2.030554e-01 -5.759287e-01 2.715148e+00,2.117986e-01 -5.458093e-01 2.720445e+00,2.120427e-01 -5.433953e-01 2.722347e+00
-2.305512e-02 -5.595654e-01 2.747002e+00,-2.366919e-02 -5.593368e-01 2.746657e+00,-2.382451e-02 -5.593523e-01 2.746581e+00,-2.566584e-02 -5.588359e-01 2.744794e+00,-2.779019e-02 -5.574024e-01 2.743329e+00,-3.105198e-02 -5.565228e-01 2.740776e+00,-3.164811e-02 -5.563782e-01 2.740155e+00,-3.279680e-02 -5.556877e-01 2.739220e+00,-3.505404e-02 -5.547006e-01 2.736439e+00,-3.610113e-02 -5.542837e-01 2.735543e+00,-3.650579e-02 -5.544918e-01 2.734966e+00,-3.723222e-02 -5.551673e-01 2.734337e+00,-3.873743e-02 -5.563198e-01 2.734219e+00,-4.024028e-02 -5.599228e-01 2.737147e+00,-4.031828e-02 -5.626947e-01 2.739512e+00,-4.030472e-02 -5.696268e-01 2.745815e+00,-4.001763e-02 -5.715553e-01 2.748969e+00,-3.992577e-02 -5.716873e-01 2.750348e+00,-3.877331e-02 -5.724572e-01 2.753685e+00,-3.804463e-02 -5.728101e-01 2.754973e+00,-3.779355e-02 -5.732540e-01 2.756209e+00,-3.767014e-02 -5.733100e-01 2.756205e+00,-3.772802e-02 -5.734842e-01 2.756323e+00,-3.772509e-02 -5.735081e-01 2.756310e+00,-3.769579e-02 -5.734829e-01 2.756448e+00,-3.848041e-02 -5.727620e-01 2.756274e+00,-3.847516e-02 -5.728096e-01 2.756222e+00,-3.916040e-02 -5.748072e-01 2.755882e+00,-4.018351e-02 -5.753222e-01 2.756756e+00,-3.987793e-02 -5.743037e-01 2.756414e+00,-4.164387e-02 -5.640864e-01 2.753384e+00,-4.318366e-02 -5.616196e-01 2.751489e+00,-4.382245e-02 -5.597870e-01 2.748616e+00,-4.320266e-02 -5.592939e-01 2.747478e+00,-4.305494e-02 -5.593073e-01 2.747278e+00,-4.197656e-02 -5.581626e-01 2.744514e+00,-4.121787e-02 -5.583797e-01 2.743694e+00,-4.035498e-02 -5.577763e-01 2.741933e+00,-3.947653e-02 -5.579052e-01 2.740890e+00,-3.733331e-02 -5.567189e-01 2.740224e+00,-3.330132e-02 -5.558638e-01 2.739325e+00,-3.147255e-02 -5.563632e-01 2.739395e+00,-2.950927e-02 -5.566813e-01 2.739505e+00,-2.769753e-02 -5.566816e-01 2.739853e+00,-2.683038e-02 -5.560381e-01 2.739353e+00,-2.609799e-02 -5.564536e-01 2.739812e+00
9.638670e-04 -9.148125e-01 2.777379e+00,1.170343e-03 -9.150761e-01 2.777387e+00,1.104327e-03 -9.150537e-01 2.777300e+00,-2.153833e-03 -9.111410e-01 2.773885e+00,-1.498866e-03 -9.107100e-01 2.773852e+00,3.325813e-03 -9.188637e-01 2.775824e+00,4.495522e-03 -9.213330e-01 2.776198e+00,3.984467e-03 -9.197462e-01 2.775315e+00,2.379412e-03 -9.166616e-01 2.772858e+00,1.241805e-03 -9.165754e-01 2.772357e+00,1.149205e-03 -9.166037e-01 2.771894e+00,3.112778e-03 -9.201104e-01 2.771246e+00,4.942834e-03 -9.256292e-01 2.771341e+00,1.035462e-03 -9.129624e-01 2.765099e+00,1.019618e-03 -9.129441e-01 2.764887e+00,2.720916e-03 -9.120207e-01 2.764921e+00,3.166911e-03 -9.119768e-01 2.765494e+00,2.969370e-03 -9.117416e-01 2.765683e+00,3.151758e-03 -9.120957e-01 2.766224e+00,3.245966e-03 -9.121366e-01 2.766481e+00,4.043836e-03 -9.125202e-01 2.768024e+00,4.100970e-03 -9.124208e-01 2.768113e+00,1.427607e-02 -9.288710e-01 2.774039e+00,1.460744e-02 -9.294634e-01 2.774205e+00,1.482204e-02 -9.290140e-01 2.774334e+00,1.525220e-02 -9.294017e-01 2.774652e+00,1.359484e-02 -9.258761e-01 2.773221e+00,1.179630e-02 -9.203121e-01 2.771200e+00,1.276763e-02 -9.253740e-01 2.772578e+00,1.317097e-02 -9.276081e-01 2.772355e+00,1.043738e-02 -9.189273e-01 2.768472e+00,9.745395e-03 -9.185629e-01 2.768117e+00,7.143477e-03 -9.167645e-01 2.766899e+00,7.032751e-03 -9.168063e-01 2.766939e+00,6.261796e-03 -9.225309e-01 2.768523e+00,3.919724e-03 -9.199402e-01 2.767577e+00,3.127773e-03 -9.231644e-01 2.768096e+00,-6.158525e-04 -9.081507e-01 2.764754e+00,2.971997e-03 -9.181327e-01 2.767939e+00,3.723688e-03 -9.227622e-01 2.770374e+00,2.810444e-03 -9.211091e-01 2.770246e+00,4.584782e-03 -9.249244e-01 2.771797e+00,3.059382e-03 -9.215561e-01 2.772025e+00,2.896945e-03 -9.192019e-01 2.772222e+00,2.918458e-03 -9.191923e-01 2.772441e+00,2.410277e-03 -9.188864e-01 2.772803e+00
-1.511230e-02 -1.206924e+00 2.769222e+00,-1.436826e-02 -1.210307e+00 2.767069e+00,-1.428191e-02 -1.208553e+00 2.767537e+00,-1.258133e-02 -1.210939e+00 2.766512e+00,-1.274513e-02 -1.210144e+00 2.766915e+00,-1.352281e-02 -1.208814e+00 2.767234e+00,-1.358371e-02 -1.208738e+00 2.767603e+00,-1.435843e-02 -1.207793e+00 2.768245e+00,-1.639332e-02 -1.209272e+00 2.766575e+00,-1.760198e-02 -1.209381e+00 2.766102e+00,-2.982510e-02 -1.247515e+00 2.728463e+00,-3.067018e-02 -1.248086e+00 2.727470e+00,-3.136203e-02 -1.247196e+00 2.727590e+00,-2.126564e-02 -1.245228e+00 2.730011e+00,-2.732395e-02 -1.244578e+00 2.727242e+00,-1.979863e-02 -1.244393e+00 2.731683e+00,-2.718803e-02 -1.243583e+00 2.729884e+00,-3.321851e-02 -1.242638e+00 2.728177e+00,-2.297951e-02 -1.206036e+00 2.767162e+00,-2.304012e-02 -1.207378e+00 2.766557e+00,-1.749008e-02 -1.218506e+00 2.764246e+00,-1.677796e-02 -1.218028e+00 2.764420e+00,-1.327948e-02 -1.215804e+00 2.762569e+00,-1.497659e-02 -1.213744e+00 2.763278e+00,-1.442337e-02 -1.217769e+00 2.762231e+00,-1.445257e-02 -1.216885e+00 2.762216e+00,-1.438235e-02 -1.215929e+00 2.762141e+00,-1.234203e-02 -1.221893e+00 2.757984e+00,-1.227656e-02 -1.222363e+00 2.757955e+00,-1.219956e-02 -1.221500e+00 2.758187e+00,-1.536861e-02 -1.218170e+00 2.758499e+00,-1.655526e-02 -1.218485e+00 2.757263e+00,-2.235738e-02 -1.246937e+00 2.733136e+00,-1.208755e-02 -1.210124e+00 2.765432e+00,-1.229510e-02 -1.209741e+00 2.765448e+00,-1.273068e-02 -1.209171e+00 2.765617e+00,-1.293324e-02 -1.209379e+00 2.765614e+00,-1.290069e-02 -1.208858e+00 2.765887e+00,-1.264213e-02 -1.208245e+00 2.766348e+00,-1.229788e-02 -1.210486e+00 2.764794e+00,-1.296540e-02 -1.210469e+00 2.764786e+00,-1.339423e-02 -1.210099e+00 2.764872e+00,-1.905963e-02 -1.204013e+00 2.769526e+00,-3.247254e-02 -1.244575e+00 2.736089e+00,-1.239266e-02 -1.202041e+00 2.769535e+00,-1.267156e-02 -1.201038e+00 2.770531e+00
3.118218e-03 -1.265313e+00 2.644041e+00,2.478600e-03 -1.265365e+00 2.642828e+00,3.054990e-03 -1.265286e+00 2.643017e+00,-2.386651e-04 -1.264323e+00 2.638298e+00,-1.048626e-03 -1.264490e+00 2.638346e+00,4.365790e-04 -1.264686e+00 2.638857e+00,-5.320641e-04 -1.264886e+00 2.640897e+00,-3.656023e-04 -1.264972e+00 2.641547e+00,-7.011464e-04 -1.265928e+00 2.643090e+00,4.984835e-03 -1.266244e+00 2.633695e+00,1.410260e-02 -1.278650e+00 2.618258e+00,1.464999e-02 -1.278475e+00 2.617625e+00,3.033837e-03 -1.274343e+00 2.610800e+00,-1.492335e-03 -1.278551e+00 2.611868e+00,-1.877105e-03 -1.276123e+00 2.609593e+00,6.753102e-03 -1.275669e+00 2.614226e+00,1.407636e-02 -1.277713e+00 2.619997e+00,1.471587e-02 -1.276850e+00 2.622136e+00,-1.824935e-03 -1.266517e+00 2.636119e+00,-1.482201e-03 -1.267912e+00 2.632449e+00,-1.649738e-03 -1.267865e+00 2.631953e+00,-7.101629e-04 -1.267506e+00 2.631151e+00,-3.612510e-03 -1.267264e+00 2.635489e+00,-4.760672e-04 -1.267344e+00 2.634811e+00,-5.944199e-04 -1.267535e+00 2.636038e+00,2.547442e-03 -1.266934e+00 2.635184e+00,6.036310e-03 -1.267143e+00 2.631245e+00,7.787356e-03 -1.267022e+00 2.634745e+00,7.141342e-03 -1.267471e+00 2.633351e+00,5.366449e-03 -1.267755e+00 2.636283e+00,4.945878e-03 -1.266494e+00 2.636057e+00,1.686839e-03 -1.266227e+00 2.632662e+00,9.923784e-03 -1.275272e+00 2.616147e+00,2.949051e-03 -1.265216e+00 2.637681e+00,1.652175e-03 -1.266032e+00 2.636761e+00,2.034036e-03 -1.265193e+00 2.628046e+00,-5.695446e-04 -1.265877e+00 2.624930e+00,5.167644e-04 -1.265899e+00 2.625948e+00,9.174738e-04 -1.266285e+00 2.625848e+00,-3.457681e-04 -1.266500e+00 2.626356e+00,1.195771e-03 -1.266265e+00 2.634559e+00,2.573323e-03 -1.266564e+00 2.632382e+00,3.919323e-03 -1.265706e+00 2.636821e+00,9.393036e-03 -1.273102e+00 2.623031e+00,1.455574e-03 -1.265093e+00 2.639873e+00,2.124954e-03 -1.265167e+00 2.639156e+00
1.143510e-01 -5.609768e-01 2.751365e+00,1.138037e-01 -5.611057e-01 2.751294e+00,1.135360e-01 -5.611300e-01 2.750987e+00,1.120546e-01 -5.611640e-01 2.749849e+00,1.102820e-01 -5.611350e-01 2.748635e+00,1.069992e-01 -5.607013e-01 2.746935e+00,1.061030e-01 -5.603807e-01 2.746152e+00,1.047549e-01 -5.600377e-01 2.745242e+00,1.022483e-01 -5.569823e-01 2.740640e+00,1.012514e-01 -5.570295e-01 2.739730e+00,1.007044e-01 -5.573604e-01 2.738042e+00,9.984128e-02 -5.578510e-01 2.736251e+00,9.823741e-02 -5.592265e-01 2.734481e+00,9.642510e-02 -5.604573e-01 2.727437e+00,9.645307e-02 -5.618114e-01 2.721688e+00,9.609593e-02 -5.645308e-01 2.719243e+00,9.609321e-02 -5.643113e-01 2.718773e+00,9.605774e-02 -5.621330e-01 2.716115e+00,9.598306e-02 -5.622917e-01 2.715344e+00,9.601026e-02 -5.624911e-01 2.715304e+00,9.575250e-02 -5.621507e-01 2.714978e+00,9.567710e-02 -5.623731e-01 2.714867e+00,9.543375e-02 -5.629692e-01 2.714646e+00,9.545660e-02 -5.633523e-01 2.714666e+00,9.545407e-02 -5.634046e-01 2.714654e+00,9.480429e-02 -5.639421e-01 2.714339e+00,9.481270e-02 -5.642149e-01 2.714139e+00,9.416707e-02 -5.668072e-01 2.712989e+00,9.295460e-02 -5.661653e-01 2.711982e+00,9.302606e-02 -5.652617e-01 2.711935e+00,9.117043e-02 -5.595401e-01 2.711792e+00,8.982269e-02 -5.584047e-01 2.711756e+00,8.954909e-02 -5.574808e-01 2.712090e+00,9.019932e-02 -5.574255e-01 2.712746e+00,9.082039e-02 -5.574295e-01 2.713782e+00,9.207907e-02 -5.570069e-01 2.715438e+00,9.336070e-02 -5.575980e-01 2.716717e+00,9.505886e-02 -5.584013e-01 2.720003e+00,9.672819e-02 -5.588305e-01 2.721752e+00,1.002981e-01 -5.593506e-01 2.725385e+00,1.050112e-01 -5.597284e-01 2.729796e+00,1.068220e-01 -5.600820e-01 2.731780e+00,1.086766e-01 -5.598767e-01 2.733712e+00,1.105014e-01 -5.601755e-01 2.736327e+00,1.110754e-01 -5.602164e-01 2.736774e+00,1.117742e-01 -5.600880e-01 2.737693e+00
7.261984e-02 -9.319920e-01 2.788152e+00,7.383213e-02 -9.336724e-01 2.787948e+00,7.443783e-02 -9.336368e-01 2.787630e+00,7.371015e-02 -9.333856e-01 2.786935e+00,7.554597e-02 -9.334811e-01 2.786209e+00,7.645901e-02 -9.339874e-01 2.785826e+00,7.429215e-02 -9.350395e-01 2.785689e+00,6.726506e-02 -9.376452e-01 2.784741e+00,6.636287e-02 -9.132532e-01 2.773068e+00,6.292191e-02 -9.341718e-01 2.777139e+00,6.253938e-02 -9.340471e-01 2.777137e+00,6.271830e-02 -9.345573e-01 2.776955e+00,6.273044e-02 -9.347511e-01 2.776665e+00,6.821240e-02 -9.317780e-01 2.775377e+00,6.892106e-02 -9.309486e-01 2.774777e+00,7.006023e-02 -9.317695e-01 2.775704e+00,6.790812e-02 -9.342504e-01 2.776644e+00,6.610479e-02 -9.347575e-01 2.776409e+00,6.652077e-02 -9.351804e-01 2.776454e+00,6.567913e-02 -9.354714e-01 2.776578e+00,6.908600e-02 -9.357942e-01 2.777036e+00,7.314184e-02 -9.314951e-01 2.775121e+00,7.657852e-02 -9.293034e-01 2.774824e+00,7.743377e-02 -9.289908e-01 2.774910e+00,7.791608e-02 -9.280583e-01 2.774993e+00,7.819349e-02 -9.270161e-01 2.774837e+00,7.863192e-02 -9.259630e-01 2.774642e+00,7.070453e-02 -9.306625e-01 2.774915e+00,6.502680e-02 -9.341756e-01 2.775096e+00,6.471131e-02 -9.349829e-01 2.775137e+00,7.184496e-02 -9.366209e-01 2.775867e+00,7.239522e-02 -9.354885e-01 2.775132e+00,7.496611e-02 -9.343681e-01 2.773993e+00,7.515249e-02 -9.344842e-01 2.773806e+00,7.532682e-02 -9.348388e-01 2.773953e+00,6.664315e-02 -9.345381e-01 2.773816e+00,6.618818e-02 -9.347803e-01 2.773982e+00,6.276010e-02 -9.360937e-01 2.774887e+00,6.865152e-02 -9.333633e-01 2.775092e+00,7.056998e-02 -9.328758e-01 2.775555e+00,7.436293e-02 -9.312622e-01 2.776127e+00,7.575725e-02 -9.321654e-01 2.777142e+00,7.728570e-02 -9.314054e-01 2.777948e+00,7.782086e-02 -9.305816e-01 2.779213e+00,7.818603e-02 -9.326183e-01 2.780533e+00,7.876877e-02 -9.334365e-01 2.781266e+00
7.088373e-02 -1.212682e+00 2.768178e+00,7.198680e-02 -1.212713e+00 2.768081e+00,7.300065e-02 -1.210253e+00 2.769933e+00,7.349835e-02 -1.209928e+00 2.770152e+00,7.338310e-02 -1.209221e+00 2.770077e+00,6.745449e-02 -1.234937e+00 2.759634e+00,6.195439e-02 -1.242106e+00 2.753711e+00,6.776012e-02 -1.231620e+00 2.759807e+00,6.710078e-02 -1.231518e+00 2.759175e+00,6.225960e-02 -1.240754e+00 2.750811e+00,6.624931e-02 -1.230464e+00 2.757166e+00,6.323433e-02 -1.236359e+00 2.753123e+00,6.210313e-02 -1.238900e+00 2.752321e+00,6.777081e-02 -1.222515e+00 2.758537e+00,6.907534e-02 -1.214562e+00 2.763257e+00,6.867693e-02 -1.213543e+00 2.763149e+00,6.841157e-02 -1.214148e+00 2.763200e+00,6.731614e-02 -1.220595e+00 2.761163e+00,6.794927e-02 -1.220495e+00 2.759850e+00,6.841289e-02 -1.219866e+00 2.760359e+00,6.811130e-02 -1.219810e+00 2.760394e+00,6.927624e-02 -1.221948e+00 2.758803e+00,7.207412e-02 -1.214558e+00 2.764840e+00,7.203212e-02 -1.216140e+00 2.763843e+00,7.038892e-02 -1.219424e+00 2.762095e+00,6.826637e-02 -1.221953e+00 2.760485e+00,7.362641e-02 -1.239616e+00 2.744970e+00,7.401679e-02 -1.222184e+00 2.757472e+00,7.381664e-02 -1.224108e+00 2.756718e+00,7.325102e-02 -1.223641e+00 2.757411e+00,7.352275e-02 -1.222282e+00 2.756917e+00,7.428832e-02 -1.222099e+00 2.757016e+00,7.658567e-02 -1.209301e+00 2.767482e+00,7.388753e-02 -1.214292e+00 2.765455e+00,7.407277e-02 -1.213701e+00 2.765469e+00,7.367182e-02 -1.211799e+00 2.766627e+00,7.169024e-02 -1.216765e+00 2.764953e+00,7.222684e-02 -1.210638e+00 2.769412e+00,7.261147e-02 -1.210576e+00 2.769419e+00,7.280805e-02 -1.210467e+00 2.769424e+00,6.581074e-02 -1.237329e+00 2.755510e+00,6.847051e-02 -1.228569e+00 2.760020e+00,7.175563e-02 -1.219682e+00 2.765164e+00,7.169288e-02 -1.217337e+00 2.767604e+00,7.194039e-02 -1.215419e+00 2.769373e+00,7.204322e-02 -1.214965e+00 2.769581e+00
6.824608e-02 -1.267834e+00 2.621198e+00,6.711912e-02 -1.268248e+00 2.621182e+00,6.159442e-02 -1.268425e+00 2.636928e+00,6.038558e-02 -1.269156e+00 2.633767e+00,5.878751e-02 -1.269046e+00 2.634310e+00,6.106886e-02 -1.269877e+00 2.623358e+00,6.146779e-02 -1.269873e+00 2.630473e+00,6.114651e-02 -1.269869e+00 2.632054e+00,6.042428e-02 -1.268707e+00 2.618983e+00,6.052438e-02 -1.268699e+00 2.619100e+00,5.921311e-02 -1.269884e+00 2.626660e+00,5.910128e-02 -1.269189e+00 2.628791e+00,5.931843e-02 -1.269498e+00 2.626072e+00,5.492422e-02 -1.269144e+00 2.614258e+00,5.683216e-02 -1.268541e+00 2.621408e+00,5.703506e-02 -1.270206e+00 2.626954e+00,5.613347e-02 -1.270847e+00 2.630841e+00,5.705854e-02 -1.269029e+00 2.633320e+00,5.798437e-02 -1.269309e+00 2.625453e+00,6.117922e-02 -1.268340e+00 2.626361e+00,6.126158e-02 -1.268536e+00 2.636451e+00,6.111237e-02 -1.268538e+00 2.636826e+00,6.077984e-02 -1.269107e+00 2.629947e+00,6.112920e-02 -1.269709e+00 2.630617e+00,5.578052e-02 -1.270778e+00 2.625399e+00,5.653358e-02 -1.270865e+00 2.619325e+00,5.739846e-02 -1.270044e+00 2.622205e+00,5.941519e-02 -1.269575e+00 2.618031e+00,6.043803e-02 -1.269306e+00 2.614718e+00,6.295206e-02 -1.270539e+00 2.630485e+00,6.201529e-02 -1.270521e+00 2.632814e+00,6.425649e-02 -1.268765e+00 2.623186e+00,5.907893e-02 -1.268770e+00 2.625688e+00,6.739268e-02 -1.268195e+00 2.633845e+00,6.655703e-02 -1.268499e+00 2.636276e+00,6.549466e-02 -1.268686e+00 2.631809e+00,6.431800e-02 -1.269180e+00 2.635260e+00,5.979653e-02 -1.267511e+00 2.635165e+00,9.852619e-02 -1.271016e+00 2.636536e+00,6.863372e-02 -1.267414e+00 2.622343e+00,6.602046e-02 -1.270072e+00 2.628173e+00,6.326115e-02 -1.269658e+00 2.625708e+00,6.110976e-02 -1.268665e+00 2.632942e+00,6.426114e-02 -1.268150e+00 2.628840e+00,6.383937e-02 -1.267796e+00 2.628029e+00,6.421688e-02 -1.267777e+00 2.627934e+00
4.360802e-02 -5.950535e-02 2.819193e+00,4.315501e-02 -5.955995e-02 2.818597e+00,4.281914e-02 -5.956408e-02 2.817795e+00,4.129091e-02 -5.920231e-02 2.815866e+00,4.068489e-02 -5.932036e-02 2.815047e+00,4.013399e-02 -5.855275e-02 2.811954e+00,3.998448e-02 -5.830014e-02 2.810868e+00,3.969597e-02 -5.808142e-02 2.808955e+00,3.936727e-02 -5.692153e-02 2.805855e+00,3.890965e-02 -5.666519e-02 2.804769e+00,3.830281e-02 -5.637585e-02 2.804433e+00,3.789938e-02 -5.644273e-02 2.804511e+00,3.650562e-02 -5.603855e-02 2.804669e+00,3.593725e-02 -5.583387e-02 2.804511e+00,3.475264e-02 -5.694589e-02 2.804310e+00,3.107542e-02 -5.927468e-02 2.803931e+00,3.132086e-02 -5.982442e-02 2.805354e+00,3.142028e-02 -5.988817e-02 2.805652e+00,3.162827e-02 -6.022502e-02 2.805422e+00,3.187672e-02 -5.989813e-02 2.805265e+00,3.244214e-02 -6.001247e-02 2.804700e+00,3.248026e-02 -5.992849e-02 2.804636e+00,3.313431e-02 -6.001639e-02 2.803349e+00,3.353235e-02 -6.011580e-02 2.802736e+00,3.365000e-02 -6.011389e-02 2.802641e+00,3.158978e-02 -6.431031e-02 2.803241e+00,3.108121e-02 -6.598265e-02 2.803385e+00,3.050012e-02 -6.914137e-02 2.794312e+00,3.049600e-02 -6.327668e-02 2.788305e+00,3.041944e-02 -6.287772e-02 2.788863e+00,3.044751e-02 -5.821907e-02 2.796720e+00,3.066525e-02 -5.739873e-02 2.798321e+00,3.082387e-02 -5.638171e-02 2.799502e+00,3.088915e-02 -5.627062e-02 2.799532e+00,3.126526e-02 -5.601038e-02 2.799798e+00,3.247886e-02 -5.590659e-02 2.799626e+00,3.363423e-02 -5.585170e-02 2.799460e+00,3.562792e-02 -5.591919e-02 2.799241e+00,3.648912e-02 -5.588444e-02 2.799392e+00,3.878056e-02 -5.604875e-02 2.798975e+00,4.036518e-02 -5.602214e-02 2.799044e+00,4.104460e-02 -5.622787e-02 2.799320e+00,4.176534e-02 -5.661048e-02 2.800047e+00,4.280600e-02 -5.739116e-02 2.801049e+00,4.295807e-02 -5.764374e-02 2.801666e+00,4.340549e-02 -5.790184e-02 2.802064e+00
-1.377151e-01 -6.012796e-01 2.692788e+00,-1.305591e-01 -6.094882e-01 2.696782e+00,-1.380107e-01 -6.025416e-01 2.698454e+00,-1.400527e-01 -5.958905e-01 2.690459e+00,-1.304923e-01 -5.815438e-01 2.694392e+00,-1.350569e-01 -5.879011e-01 2.689467e+00,-1.385933e-01 -5.973195e-01 2.685956e+00,-1.208745e-01 -6.168693e-01 2.699694e+00,-1.167719e-01 -6.238133e-01 2.690185e+00,-1.206132e-01 -6.357465e-01 2.694423e+00,-1.228644e-01 -6.149826e-01 2.696636e+00,-1.242286e-01 -6.171673e-01 2.693627e+00,-1.200106e-01 -6.124682e-01 2.680444e+00,-1.238061e-01 -6.064442e-01 2.683283e+00,-1.200406e-01 -6.254144e-01 2.681431e+00,-1.349526e-01 -6.010754e-01 2.686453e+00,-1.422763e-01 -5.937893e-01 2.686459e+00,-1.364028e-01 -6.038063e-01 2.698319e+00,-1.335440e-01 -6.064163e-01 2.709251e+00,-1.438300e-01 -5.965117e-01 2.715462e+00,-1.431687e-01 -6.029444e-01 2.731260e+00,-1.482394e-01 -5.993618e-01 2.728462e+00,-1.560027e-01 -5.968493e-01 2.733963e+00,-1.595886e-01 -5.925959e-01 2.731466e+00,-1.371190e-01 -6.107554e-01 2.729703e+00,-1.402629e-01 -6.082347e-01 2.718452e+00,-1.462348e-01 -5.987444e-01 2.714460e+00,-1.385715e-01 -6.049923e-01 2.709454e+00,-1.130980e-01 -6.348118e-01 2.690425e+00,-1.241458e-01 -6.166908e-01 2.690941e+00,-1.128458e-01 -6.333960e-01 2.684425e+00,-1.127871e-01 -6.294057e-01 2.682928e+00,-1.386152e-01 -6.011503e-01 2.686786e+00,-1.330452e-01 -6.087770e-01 2.694011e+00,-1.430179e-01 -6.041979e-01 2.700452e+00,-1.407670e-01 -6.079396e-01 2.692697e+00,-1.350253e-01 -6.087578e-01 2.688196e+00,-1.410701e-01 -6.014618e-01 2.691453e+00,-1.331172e-01 -6.065418e-01 2.686448e+00,-1.376369e-01 -6.009007e-01 2.691121e+00,-1.282681e-01 -5.870831e-01 2.687777e+00,-1.256611e-01 -5.917690e-01 2.689037e+00,-1.240322e-01 -5.862209e-01 2.687470e+00,-1.276839e-01 -5.995480e-01 2.687707e+00,-1.241022e-01 -5.788776e-01 2.683677e+00,-1.279125e-01 -6.005555e-01 2.692492e+00
