4.844344e-02 -5.661765e-01 2.779202e+00,4.795594e-02 -5.663958e-01 2.778313e+00,4.767619e-02 -5.662805e-01 2.777453e+00,4.558446e-02 -5.655748e-01 2.775285e+00,4.448902e-02 -5.652060e-01 2.774165e+00,4.249724e-02 -5.647107e-01 2.773143e+00,4.002679e-02 -5.637915e-01 2.771226e+00,3.908025e-02 -5.635330e-01 2.770356e+00,3.812410e-02 -5.644030e-01 2.769594e+00,3.768848e-02 -5.645907e-01 2.769525e+00,3.729454e-02 -5.658781e-01 2.769317e+00,3.560804e-02 -5.691827e-01 2.769906e+00,3.553483e-02 -5.694583e-01 2.770027e+00,3.534862e-02 -5.693705e-01 2.769990e+00,3.516825e-02 -5.696075e-01 2.770101e+00,3.455284e-02 -5.701255e-01 2.770112e+00,3.393875e-02 -5.711969e-01 2.770239e+00,3.326621e-02 -5.721238e-01 2.770016e+00,3.221214e-02 -5.727106e-01 2.769884e+00,3.185338e-02 -5.730754e-01 2.769608e+00,3.172499e-02 -5.726171e-01 2.769099e+00,3.107241e-02 -5.736629e-01 2.768604e+00,3.042490e-02 -5.755391e-01 2.768733e+00,2.946047e-02 -5.772905e-01 2.767579e+00,2.678285e-02 -5.709118e-01 2.765940e+00,2.633883e-02 -5.694716e-01 2.765355e+00,2.455798e-02 -5.684087e-01 2.764983e+00,2.320750e-02 -5.665293e-01 2.764455e+00,2.291264e-02 -5.661457e-01 2.764431e+00,2.201653e-02 -5.658467e-01 2.764919e+00,2.213438e-02 -5.656483e-01 2.765221e+00,2.217985e-02 -5.654704e-01 2.765690e+00,2.259081e-02 -5.653948e-01 2.766034e+00,2.301666e-02 -5.653600e-01 2.766827e+00,2.793633e-02 -5.649093e-01 2.769482e+00,3.204346e-02 -5.650559e-01 2.771017e+00,3.423845e-02 -5.652589e-01 2.771626e+00,3.697215e-02 -5.652565e-01 2.772480e+00,3.806317e-02 -5.651689e-01 2.773020e+00,3.996315e-02 -5.650262e-01 2.773871e+00,4.047539e-02 -5.650691e-01 2.774063e+00,4.060870e-02 -5.651723e-01 2.774173e+00,4.112983e-02 -5.651506e-01 2.774414e+00
2.178381e-01 -5.738904e-01 2.741754e+00,2.242512e-01 -5.693994e-01 2.737097e+00,2.333295e-01 -5.521442e-01 2.720120e+00,2.365970e-01 -4.663682e-01 2.674479e+00,2.438824e-01 -3.883339e-01 2.643318e+00,2.352184e-01 -3.146853e-01 2.632752e+00,2.028485e-01 -1.143733e-01 2.485795e+00,1.909090e-01 -8.058636e-02 2.469843e+00,1.552843e-01 -3.617117e-02 2.573366e+00,1.316280e-01 6.687194e-03 2.527301e+00,9.602597e-02 6.127908e-02 2.489548e+00,4.104964e-02 8.473713e-02 2.364008e+00,4.085593e-02 6.789174e-02 2.309804e+00,3.999678e-02 7.112164e-02 2.272411e+00,2.896698e-02 7.997389e-02 2.280901e+00,1.786265e-02 8.039344e-02 2.279307e+00,1.095056e-02 6.753015e-02 2.286916e+00,9.518328e-03 6.374235e-02 2.282889e+00,1.374591e-02 5.659829e-02 2.278622e+00,1.894974e-02 5.230965e-02 2.275623e+00,2.371689e-02 4.610954e-02 2.275086e+00,4.194653e-02 2.123238e-02 2.266598e+00,5.625161e-02 6.999800e-04 2.274203e+00,1.118404e-01 -6.206353e-02 2.300230e+00,1.781580e-01 -1.651506e-01 2.323841e+00,2.108222e-01 -2.269562e-01 2.344246e+00,2.475250e-01 -2.930848e-01 2.371935e+00,2.987696e-01 -4.178846e-01 2.458922e+00,3.089026e-01 -4.673833e-01 2.508161e+00,3.081975e-01 -5.308284e-01 2.616286e+00,2.999847e-01 -5.360519e-01 2.655528e+00,2.875179e-01 -5.402986e-01 2.687962e+00,2.530755e-01 -5.688214e-01 2.716804e+00,2.415711e-01 -5.420538e-01 2.732964e+00,2.152831e-01 -5.384363e-01 2.737210e+00,2.024447e-01 -5.278085e-01 2.730708e+00,2.126107e-01 -5.450435e-01 2.739010e+00,2.152330e-01 -5.405962e-01 2.741211e+00,2.160568e-01 -5.383885e-01 2.738986e+00,2.156984e-01 -5.407744e-01 2.738167e+00,2.166510e-01 -5.437362e-01 2.740827e+00,2.165005e-01 -5.413516e-01 2.739053e+00,2.148516e-01 -5.451322e-01 2.737973e+00
-2.073962e-02 -5.584064e-01 2.747697e+00,-2.132462e-02 -5.587676e-01 2.746463e+00,-2.168293e-02 -5.583310e-01 2.745000e+00,-2.407469e-02 -5.569171e-01 2.742162e+00,-2.513550e-02 -5.564134e-01 2.740939e+00,-2.686018e-02 -5.560129e-01 2.740191e+00,-2.913109e-02 -5.548224e-01 2.738772e+00,-3.026877e-02 -5.541623e-01 2.737735e+00,-3.109349e-02 -5.550658e-01 2.737782e+00,-3.193191e-02 -5.552768e-01 2.738785e+00,-3.288056e-02 -5.610369e-01 2.742413e+00,-3.493302e-02 -5.672597e-01 2.747742e+00,-3.483508e-02 -5.680422e-01 2.748693e+00,-3.484218e-02 -5.680934e-01 2.749908e+00,-3.503486e-02 -5.685063e-01 2.750925e+00,-3.534653e-02 -5.683323e-01 2.751041e+00,-3.563415e-02 -5.689105e-01 2.751528e+00,-3.586623e-02 -5.693796e-01 2.751800e+00,-3.659870e-02 -5.696557e-01 2.752167e+00,-3.686610e-02 -5.698572e-01 2.752048e+00,-3.710268e-02 -5.693966e-01 2.751767e+00,-3.779356e-02 -5.698400e-01 2.751416e+00,-3.843850e-02 -5.718243e-01 2.752143e+00,-3.953092e-02 -5.727445e-01 2.751244e+00,-4.216054e-02 -5.649039e-01 2.746257e+00,-4.246132e-02 -5.631403e-01 2.744390e+00,-4.424037e-02 -5.619512e-01 2.743188e+00,-4.584299e-02 -5.593348e-01 2.740921e+00,-4.615642e-02 -5.588213e-01 2.740516e+00,-4.693095e-02 -5.584593e-01 2.739916e+00,-4.678946e-02 -5.582095e-01 2.739826e+00,-4.678000e-02 -5.579752e-01 2.739854e+00,-4.627114e-02 -5.575074e-01 2.739165e+00,-4.606021e-02 -5.573685e-01 2.739111e+00,-4.156537e-02 -5.562419e-01 2.738909e+00,-3.761287e-02 -5.565430e-01 2.738990e+00,-3.524493e-02 -5.567238e-01 2.738837e+00,-3.238327e-02 -5.568277e-01 2.738859e+00,-3.125053e-02 -5.567002e-01 2.739090e+00,-2.924483e-02 -5.563424e-01 2.739624e+00,-2.875114e-02 -5.565087e-01 2.739795e+00,-2.860887e-02 -5.566552e-01 2.739897e+00,-2.818338e-02 -5.566393e-01 2.739992e+00
3.593141e-03 -9.210151e-01 2.774799e+00,3.095907e-03 -9.207440e-01 2.774615e+00,4.396152e-03 -9.221511e-01 2.774783e+00,5.539740e-03 -9.256796e-01 2.775460e+00,3.817030e-03 -9.139190e-01 2.772644e+00,3.744659e-03 -9.145623e-01 2.772526e+00,3.318959e-03 -9.137819e-01 2.771914e+00,3.425764e-03 -9.139025e-01 2.771766e+00,3.525086e-03 -9.225528e-01 2.771981e+00,5.188489e-03 -9.155657e-01 2.770372e+00,7.073056e-03 -9.113771e-01 2.769584e+00,1.095413e-02 -9.151400e-01 2.771582e+00,1.563028e-02 -9.258635e-01 2.775415e+00,1.722847e-02 -9.298908e-01 2.776152e+00,1.580675e-02 -9.244238e-01 2.775290e+00,1.538879e-02 -9.222567e-01 2.774932e+00,1.550792e-02 -9.291313e-01 2.776281e+00,1.462358e-02 -9.252149e-01 2.774932e+00,1.040130e-02 -9.146759e-01 2.771319e+00,9.903997e-03 -9.132320e-01 2.770672e+00,1.995222e-03 -8.891955e-01 2.762989e+00,4.084663e-03 -8.996511e-01 2.767179e+00,6.764104e-03 -9.027018e-01 2.768476e+00,1.276139e-02 -9.299883e-01 2.775161e+00,8.588778e-03 -9.238245e-01 2.772513e+00,6.562529e-03 -9.191204e-01 2.770272e+00,4.682412e-03 -9.168059e-01 2.769651e+00,2.491911e-03 -9.144929e-01 2.769057e+00,4.439126e-04 -9.139114e-01 2.769186e+00,-6.651138e-04 -9.137541e-01 2.769524e+00,-1.243198e-03 -9.138505e-01 2.769759e+00,-2.576281e-03 -9.130301e-01 2.769748e+00,-4.142079e-03 -9.133310e-01 2.770171e+00,-4.181126e-03 -9.147680e-01 2.771167e+00,-4.132278e-03 -9.145784e-01 2.771357e+00,-3.342109e-03 -9.149140e-01 2.771653e+00,1.601786e-03 -9.241484e-01 2.774310e+00,-7.567843e-04 -9.177995e-01 2.773104e+00,-4.437505e-03 -9.111489e-01 2.771789e+00,-2.420747e-03 -9.125088e-01 2.772109e+00,-2.395149e-03 -9.125245e-01 2.772097e+00,-1.886370e-03 -9.132767e-01 2.772296e+00,-6.555660e-04 -9.141188e-01 2.772547e+00
-1.190029e-02 -1.211144e+00 2.770558e+00,-1.257962e-02 -1.210772e+00 2.769897e+00,-1.303361e-02 -1.210327e+00 2.769622e+00,-1.305719e-02 -1.210242e+00 2.769377e+00,-1.283901e-02 -1.209953e+00 2.768644e+00,-1.330850e-02 -1.210058e+00 2.768315e+00,-1.533686e-02 -1.204002e+00 2.768171e+00,-1.567029e-02 -1.203818e+00 2.767929e+00,-1.606082e-02 -1.210455e+00 2.763080e+00,-1.602826e-02 -1.209292e+00 2.764244e+00,-1.603242e-02 -1.209393e+00 2.764088e+00,-3.064123e-02 -1.243755e+00 2.725250e+00,-1.530190e-02 -1.213905e+00 2.761658e+00,-1.478668e-02 -1.214757e+00 2.761655e+00,-1.306418e-02 -1.217973e+00 2.759355e+00,-1.309027e-02 -1.217892e+00 2.759086e+00,-1.091782e-02 -1.221857e+00 2.757037e+00,-1.296085e-02 -1.218423e+00 2.758376e+00,-2.882446e-02 -1.239481e+00 2.731498e+00,-2.933325e-02 -1.241144e+00 2.729371e+00,-2.671861e-02 -1.220346e+00 2.729148e+00,-2.738786e-02 -1.230155e+00 2.728294e+00,-2.758039e-02 -1.232788e+00 2.728051e+00,-2.108461e-02 -1.212478e+00 2.763370e+00,-1.986855e-02 -1.213926e+00 2.760502e+00,-1.952953e-02 -1.213815e+00 2.759970e+00,-1.990234e-02 -1.214112e+00 2.759943e+00,-2.104791e-02 -1.212109e+00 2.761805e+00,-2.136682e-02 -1.211202e+00 2.762369e+00,-1.632339e-02 -1.213073e+00 2.762894e+00,-1.710082e-02 -1.212005e+00 2.763711e+00,-1.679799e-02 -1.210354e+00 2.764062e+00,-3.234846e-02 -1.244156e+00 2.732437e+00,-1.969236e-02 -1.208951e+00 2.767549e+00,-2.048203e-02 -1.208607e+00 2.766888e+00,-2.033662e-02 -1.208630e+00 2.767066e+00,-1.896927e-02 -1.210121e+00 2.766354e+00,-1.840680e-02 -1.210822e+00 2.765760e+00,-1.830339e-02 -1.210702e+00 2.765623e+00,-1.834631e-02 -1.209062e+00 2.766461e+00,-1.489789e-02 -1.212582e+00 2.764244e+00,-1.492032e-02 -1.212565e+00 2.764228e+00,-1.511380e-02 -1.212203e+00 2.764485e+00
6.951446e-03 -1.266188e+00 2.639760e+00,1.000081e-02 -1.267303e+00 2.633729e+00,7.880423e-03 -1.267384e+00 2.630044e+00,3.833511e-03 -1.267992e+00 2.623015e+00,4.086240e-03 -1.267767e+00 2.624288e+00,4.964790e-03 -1.267157e+00 2.637957e+00,1.401021e-03 -1.266013e+00 2.638991e+00,1.234020e-03 -1.264930e+00 2.639236e+00,6.188605e-04 -1.266054e+00 2.638410e+00,2.803277e-03 -1.265942e+00 2.641030e+00,3.575613e-03 -1.266107e+00 2.637992e+00,1.573415e-02 -1.279613e+00 2.618343e+00,4.375201e-03 -1.267947e+00 2.636676e+00,4.570112e-04 -1.267613e+00 2.636272e+00,2.857314e-03 -1.267163e+00 2.635489e+00,2.711636e-03 -1.267353e+00 2.635274e+00,8.802257e-03 -1.269859e+00 2.623424e+00,7.080694e-03 -1.270069e+00 2.628353e+00,1.240177e-02 -1.275181e+00 2.621606e+00,1.224744e-02 -1.274801e+00 2.618432e+00,3.644295e-03 -1.275753e+00 2.629763e+00,6.193899e-03 -1.279471e+00 2.624748e+00,7.806709e-03 -1.282730e+00 2.625954e+00,-5.590597e-03 -1.266833e+00 2.627114e+00,-7.372231e-03 -1.267177e+00 2.636380e+00,-3.991857e-03 -1.267586e+00 2.633581e+00,-1.314702e-05 -1.267583e+00 2.635695e+00,7.818388e-06 -1.267097e+00 2.636072e+00,1.681172e-04 -1.266663e+00 2.637569e+00,-6.988166e-04 -1.266269e+00 2.635674e+00,-1.048178e-03 -1.265788e+00 2.640045e+00,-4.494644e-03 -1.265241e+00 2.629079e+00,7.604510e-03 -1.272588e+00 2.617704e+00,3.424870e-04 -1.266195e+00 2.626176e+00,-3.640562e-03 -1.266097e+00 2.621457e+00,-2.713820e-03 -1.266502e+00 2.622363e+00,-4.173172e-03 -1.261827e+00 2.614578e+00,-5.235180e-04 -1.264791e+00 2.632487e+00,-2.484991e-04 -1.264876e+00 2.632917e+00,2.160091e-03 -1.263723e+00 2.640709e+00,2.160008e-03 -1.263723e+00 2.640709e+00,3.361910e-03 -1.264023e+00 2.640696e+00,1.255670e-03 -1.264863e+00 2.640053e+00
1.166080e-01 -5.595828e-01 2.741803e+00,1.162022e-01 -5.597458e-01 2.741289e+00,1.159916e-01 -5.598465e-01 2.740902e+00,1.142173e-01 -5.597677e-01 2.739471e+00,1.131302e-01 -5.596217e-01 2.738553e+00,1.109049e-01 -5.591318e-01 2.737317e+00,1.082167e-01 -5.586755e-01 2.734861e+00,1.074400e-01 -5.587578e-01 2.734171e+00,1.062279e-01 -5.597450e-01 2.732294e+00,1.056352e-01 -5.601717e-01 2.731144e+00,1.052864e-01 -5.601374e-01 2.728359e+00,1.039368e-01 -5.610984e-01 2.725846e+00,1.038090e-01 -5.608692e-01 2.725263e+00,1.031108e-01 -5.590752e-01 2.722243e+00,1.029462e-01 -5.591455e-01 2.721786e+00,1.021276e-01 -5.605401e-01 2.721404e+00,1.015907e-01 -5.612002e-01 2.720527e+00,1.005029e-01 -5.623728e-01 2.719463e+00,9.942116e-02 -5.629367e-01 2.718805e+00,9.914716e-02 -5.632526e-01 2.718452e+00,9.925098e-02 -5.625780e-01 2.717597e+00,9.870856e-02 -5.638579e-01 2.717029e+00,9.816412e-02 -5.654964e-01 2.716697e+00,9.713431e-02 -5.677211e-01 2.714782e+00,9.454712e-02 -5.623341e-01 2.716021e+00,9.401474e-02 -5.609855e-01 2.716494e+00,9.223014e-02 -5.601208e-01 2.717123e+00,9.105536e-02 -5.587967e-01 2.718118e+00,9.074150e-02 -5.584953e-01 2.718601e+00,8.924329e-02 -5.584353e-01 2.721782e+00,8.957246e-02 -5.583563e-01 2.723050e+00,8.985420e-02 -5.584692e-01 2.724383e+00,9.089010e-02 -5.589907e-01 2.726257e+00,9.165017e-02 -5.593942e-01 2.728725e+00,9.712739e-02 -5.597252e-01 2.733820e+00,1.011538e-01 -5.596706e-01 2.736253e+00,1.031068e-01 -5.598823e-01 2.737258e+00,1.055873e-01 -5.597619e-01 2.738539e+00,1.065554e-01 -5.597159e-01 2.739240e+00,1.083542e-01 -5.597583e-01 2.740244e+00,1.088454e-01 -5.596807e-01 2.740392e+00,1.089455e-01 -5.597361e-01 2.740469e+00,1.095174e-01 -5.597115e-01 2.740802e+00
8.256739e-02 -9.399801e-01 2.781916e+00,8.136123e-02 -9.369465e-01 2.781731e+00,8.167759e-02 -9.362334e-01 2.781425e+00,7.781026e-02 -9.371656e-01 2.781933e+00,7.840251e-02 -9.362441e-01 2.781842e+00,7.840558e-02 -9.352658e-01 2.781487e+00,7.875065e-02 -9.325698e-01 2.779807e+00,7.963797e-02 -9.307866e-01 2.778906e+00,7.822403e-02 -9.298187e-01 2.778563e+00,7.794252e-02 -9.295125e-01 2.778638e+00,7.538295e-02 -8.998345e-01 2.771738e+00,7.577978e-02 -8.983760e-01 2.771925e+00,7.651117e-02 -8.967717e-01 2.772254e+00,7.687025e-02 -8.947785e-01 2.772120e+00,7.686536e-02 -8.942974e-01 2.772082e+00,7.643290e-02 -9.146522e-01 2.776776e+00,6.368230e-02 -9.332286e-01 2.780978e+00,6.188303e-02 -9.353798e-01 2.781512e+00,6.056146e-02 -9.376096e-01 2.782009e+00,6.031775e-02 -9.377806e-01 2.781953e+00,5.992755e-02 -9.383764e-01 2.781871e+00,6.438094e-02 -9.402929e-01 2.782693e+00,6.338616e-02 -9.397769e-01 2.782484e+00,6.177363e-02 -9.406660e-01 2.782192e+00,6.208702e-02 -9.404172e-01 2.781746e+00,6.227750e-02 -9.399830e-01 2.780844e+00,6.241013e-02 -9.401376e-01 2.780551e+00,7.133821e-02 -9.320235e-01 2.778746e+00,7.275350e-02 -9.318384e-01 2.778519e+00,7.485922e-02 -9.327052e-01 2.778878e+00,7.567643e-02 -9.332254e-01 2.779222e+00,7.750270e-02 -9.333509e-01 2.779621e+00,7.706920e-02 -9.328400e-01 2.779561e+00,7.775158e-02 -9.328449e-01 2.780036e+00,7.829860e-02 -9.327562e-01 2.780364e+00,8.247366e-02 -9.323602e-01 2.781206e+00,8.229147e-02 -9.325099e-01 2.781359e+00,6.945710e-02 -9.404835e-01 2.783687e+00,6.679456e-02 -9.407848e-01 2.783582e+00,7.748930e-02 -9.382958e-01 2.785189e+00,7.799766e-02 -9.367003e-01 2.784453e+00,7.819329e-02 -9.363717e-01 2.784141e+00,8.186929e-02 -9.335367e-01 2.782564e+00
7.176208e-02 -1.213625e+00 2.769438e+00,7.123010e-02 -1.211433e+00 2.769578e+00,6.936827e-02 -1.222617e+00 2.763572e+00,6.990690e-02 -1.220031e+00 2.766875e+00,7.310195e-02 -1.213717e+00 2.770224e+00,6.904301e-02 -1.235952e+00 2.753525e+00,7.098345e-02 -1.216980e+00 2.762112e+00,6.984899e-02 -1.214893e+00 2.764534e+00,7.074896e-02 -1.215714e+00 2.765805e+00,7.102162e-02 -1.212909e+00 2.767797e+00,7.096795e-02 -1.212908e+00 2.767788e+00,7.107490e-02 -1.217501e+00 2.765725e+00,7.086080e-02 -1.221820e+00 2.763862e+00,7.124998e-02 -1.227636e+00 2.754256e+00,7.310939e-02 -1.220920e+00 2.762010e+00,7.299968e-02 -1.216263e+00 2.765163e+00,7.008187e-02 -1.227193e+00 2.757753e+00,6.932176e-02 -1.228576e+00 2.757007e+00,7.385127e-02 -1.250755e+00 2.737430e+00,7.037549e-02 -1.241688e+00 2.745609e+00,7.009494e-02 -1.238488e+00 2.747264e+00,6.611213e-02 -1.235983e+00 2.745752e+00,6.523578e-02 -1.230718e+00 2.753422e+00,6.670307e-02 -1.227646e+00 2.753907e+00,6.979468e-02 -1.223493e+00 2.755084e+00,6.983054e-02 -1.223344e+00 2.755121e+00,7.217471e-02 -1.214972e+00 2.762999e+00,7.315809e-02 -1.212342e+00 2.766903e+00,7.308169e-02 -1.212844e+00 2.766534e+00,7.229024e-02 -1.215961e+00 2.764983e+00,7.329083e-02 -1.215507e+00 2.764778e+00,7.286204e-02 -1.217135e+00 2.763768e+00,7.101795e-02 -1.219625e+00 2.763580e+00,7.260074e-02 -1.216529e+00 2.767332e+00,7.138728e-02 -1.214945e+00 2.766927e+00,7.095093e-02 -1.217980e+00 2.765554e+00,5.815477e-02 -1.239983e+00 2.743989e+00,5.898171e-02 -1.240873e+00 2.742775e+00,6.503548e-02 -1.231474e+00 2.753120e+00,7.210128e-02 -1.217188e+00 2.766906e+00,7.137645e-02 -1.218283e+00 2.765487e+00,8.057760e-02 -1.244266e+00 2.736752e+00,7.572355e-02 -1.218113e+00 2.765154e+00
6.386918e-02 -1.268953e+00 2.623309e+00,6.836619e-02 -1.271017e+00 2.621674e+00,6.854856e-02 -1.272884e+00 2.628261e+00,7.241862e-02 -1.267589e+00 2.641600e+00,6.934869e-02 -1.266734e+00 2.632670e+00,6.856765e-02 -1.266967e+00 2.628923e+00,6.315606e-02 -1.267824e+00 2.628565e+00,6.332657e-02 -1.267908e+00 2.627930e+00,8.281478e-02 -1.270484e+00 2.651886e+00,7.457471e-02 -1.270923e+00 2.646947e+00,6.117666e-02 -1.269500e+00 2.634933e+00,6.086301e-02 -1.270525e+00 2.636370e+00,5.934212e-02 -1.271683e+00 2.636826e+00,4.192641e-02 -1.270629e+00 2.619271e+00,4.610445e-02 -1.271026e+00 2.629176e+00,4.898417e-02 -1.271149e+00 2.627005e+00,6.944220e-02 -1.271068e+00 2.629174e+00,6.408882e-02 -1.271550e+00 2.631782e+00,6.224793e-02 -1.275774e+00 2.613069e+00,6.305598e-02 -1.271542e+00 2.622913e+00,6.298754e-02 -1.270575e+00 2.623434e+00,5.565662e-02 -1.271362e+00 2.622799e+00,5.593916e-02 -1.271003e+00 2.620934e+00,5.633759e-02 -1.271776e+00 2.622000e+00,5.497140e-02 -1.272185e+00 2.608917e+00,5.520615e-02 -1.272067e+00 2.610309e+00,5.980608e-02 -1.271503e+00 2.614913e+00,7.414383e-02 -1.270209e+00 2.629031e+00,7.512008e-02 -1.270337e+00 2.638208e+00,6.714860e-02 -1.268953e+00 2.628577e+00,6.410966e-02 -1.268456e+00 2.634347e+00,8.221561e-02 -1.268523e+00 2.620035e+00,7.732105e-02 -1.266281e+00 2.635579e+00,7.653293e-02 -1.269149e+00 2.625233e+00,5.409312e-02 -1.269922e+00 2.632528e+00,5.478095e-02 -1.269162e+00 2.637689e+00,5.429530e-02 -1.276740e+00 2.624622e+00,5.642267e-02 -1.276269e+00 2.622615e+00,6.342421e-02 -1.270322e+00 2.634810e+00,6.513466e-02 -1.266067e+00 2.629220e+00,6.421478e-02 -1.266451e+00 2.628569e+00,6.179018e-02 -1.273612e+00 2.615268e+00,6.342090e-02 -1.268860e+00 2.631526e+00
4.981327e-02 -5.912746e-02 2.812299e+00,4.925951e-02 -5.929736e-02 2.810647e+00,4.871981e-02 -5.870654e-02 2.809249e+00,4.829575e-02 -5.859390e-02 2.807239e+00,4.813809e-02 -5.838298e-02 2.805262e+00,4.783147e-02 -5.775518e-02 2.803877e+00,4.778738e-02 -5.683855e-02 2.801327e+00,4.733343e-02 -5.653443e-02 2.800455e+00,4.698882e-02 -5.651304e-02 2.800245e+00,4.641608e-02 -5.647330e-02 2.799912e+00,4.534119e-02 -5.674344e-02 2.797873e+00,3.773946e-02 -6.262004e-02 2.792686e+00,3.712091e-02 -6.367284e-02 2.791985e+00,3.558361e-02 -6.462842e-02 2.791242e+00,3.547093e-02 -6.472822e-02 2.790237e+00,3.504071e-02 -6.451770e-02 2.790044e+00,3.293628e-02 -6.620478e-02 2.789091e+00,3.285689e-02 -6.370770e-02 2.786801e+00,3.152437e-02 -6.698947e-02 2.785751e+00,3.033537e-02 -6.971209e-02 2.785035e+00,2.977725e-02 -7.127927e-02 2.784415e+00,2.970303e-02 -7.249204e-02 2.781128e+00,2.977613e-02 -6.563255e-02 2.780594e+00,2.584449e-02 -6.072821e-02 2.787230e+00,2.711578e-02 -5.878902e-02 2.792232e+00,2.754644e-02 -5.818047e-02 2.793157e+00,2.733100e-02 -5.781488e-02 2.793803e+00,2.698523e-02 -5.720634e-02 2.795001e+00,2.693691e-02 -5.715269e-02 2.795082e+00,2.700698e-02 -5.694596e-02 2.795311e+00,2.709861e-02 -5.682491e-02 2.795433e+00,2.712330e-02 -5.682644e-02 2.795440e+00,2.777212e-02 -5.673992e-02 2.795184e+00,2.808545e-02 -5.673302e-02 2.795404e+00,2.937750e-02 -5.643834e-02 2.795767e+00,3.034568e-02 -5.645082e-02 2.796092e+00,3.147236e-02 -5.679275e-02 2.796666e+00,3.336419e-02 -5.752736e-02 2.798348e+00,3.406293e-02 -5.767884e-02 2.799422e+00,3.660180e-02 -5.795308e-02 2.801581e+00,3.757394e-02 -5.813998e-02 2.802401e+00,3.815558e-02 -5.819628e-02 2.803275e+00,3.883389e-02 -5.811651e-02 2.804540e+00
-1.308474e-01 -5.841914e-01 2.687757e+00,-1.276127e-01 -5.925877e-01 2.686463e+00,-1.243915e-01 -6.105241e-01 2.695948e+00,-1.315253e-01 -6.022080e-01 2.691454e+00,-1.254987e-01 -5.930276e-01 2.693965e+00,-1.125095e-01 -6.315083e-01 2.676424e+00,-1.231676e-01 -6.166518e-01 2.696109e+00,-1.140786e-01 -6.040294e-01 2.687883e+00,-1.280751e-01 -6.087543e-01 2.696199e+00,-1.205058e-01 -6.094500e-01 2.691199e+00,-1.309863e-01 -5.997483e-01 2.680454e+00,-1.296641e-01 -5.980108e-01 2.678122e+00,-1.308662e-01 -5.991868e-01 2.677954e+00,-1.385643e-01 -6.008471e-01 2.685452e+00,-1.310767e-01 -6.074646e-01 2.682447e+00,-1.211222e-01 -5.873495e-01 2.692614e+00,-1.102850e-01 -6.036953e-01 2.695291e+00,-1.316504e-01 -6.100572e-01 2.693947e+00,-1.190255e-01 -6.033966e-01 2.695457e+00,-1.177093e-01 -6.045892e-01 2.689829e+00,-1.164696e-01 -6.043024e-01 2.691677e+00,-1.197291e-01 -6.093095e-01 2.690549e+00,-1.124675e-01 -6.312724e-01 2.675425e+00,-1.275265e-01 -6.153114e-01 2.684940e+00,-1.274203e-01 -6.147954e-01 2.682690e+00,-1.229407e-01 -6.221672e-01 2.689406e+00,-1.424502e-01 -6.091411e-01 2.689944e+00,-1.403240e-01 -6.159612e-01 2.695480e+00,-1.487574e-01 -6.102384e-01 2.698044e+00,-1.518324e-01 -6.121929e-01 2.700242e+00,-1.580275e-01 -6.126316e-01 2.705441e+00,-1.528072e-01 -6.102113e-01 2.700110e+00,-1.504651e-01 -6.133038e-01 2.703029e+00,-1.439085e-01 -6.089008e-01 2.694278e+00,-1.535773e-01 -6.022838e-01 2.691949e+00,-1.406423e-01 -6.074338e-01 2.690446e+00,-1.374982e-01 -6.076726e-01 2.688780e+00,-1.214429e-01 -6.098236e-01 2.696049e+00,-1.337865e-01 -6.090825e-01 2.692847e+00,-1.337971e-01 -6.091280e-01 2.693047e+00,-1.354119e-01 -6.100478e-01 2.702569e+00,-1.411751e-01 -6.019548e-01 2.693652e+00,-1.338719e-01 -6.031334e-01 2.697453e+00
