3.950799e-02 -5.585577e-01 2.748135e+00,3.953278e-02 -5.586496e-01 2.747362e+00,3.543201e-02 -5.579613e-01 2.743506e+00,3.376030e-02 -5.585768e-01 2.741402e+00,3.312577e-02 -5.582422e-01 2.738889e+00,2.842586e-02 -5.574930e-01 2.734393e+00,2.441683e-02 -5.576506e-01 2.731985e+00,2.270384e-02 -5.586475e-01 2.728719e+00,1.940990e-02 -5.593935e-01 2.727578e+00,1.931710e-02 -5.598378e-01 2.727088e+00,1.871943e-02 -5.537264e-01 2.722774e+00,1.828580e-02 -5.484251e-01 2.719373e+00,1.743943e-02 -5.357305e-01 2.718995e+00,1.877034e-02 -5.328228e-01 2.717883e+00,1.957534e-02 -5.318297e-01 2.717586e+00,2.030625e-02 -5.316838e-01 2.717471e+00,2.058517e-02 -5.316430e-01 2.717412e+00,2.301035e-02 -5.389153e-01 2.719867e+00,2.434663e-02 -5.456402e-01 2.722657e+00,2.468297e-02 -5.482925e-01 2.725341e+00,2.683106e-02 -5.512582e-01 2.728351e+00,2.741756e-02 -5.551063e-01 2.730925e+00,2.634458e-02 -5.578882e-01 2.736148e+00,2.630326e-02 -5.578144e-01 2.737012e+00,2.730459e-02 -5.579843e-01 2.738552e+00,2.941119e-02 -5.584586e-01 2.740531e+00,3.093820e-02 -5.589557e-01 2.741004e+00,3.488677e-02 -5.597702e-01 2.741763e+00,3.639739e-02 -5.595860e-01 2.742008e+00,4.204813e-02 -5.594063e-01 2.743919e+00,4.373020e-02 -5.590705e-01 2.744204e+00,4.387422e-02 -5.592070e-01 2.744344e+00,4.468563e-02 -5.591632e-01 2.744161e+00,4.480690e-02 -5.592260e-01 2.743933e+00,4.534581e-02 -5.589024e-01 2.743132e+00,4.551610e-02 -5.590025e-01 2.743052e+00,4.587237e-02 -5.588356e-01 2.742790e+00,4.572764e-02 -5.591650e-01 2.742182e+00,4.573064e-02 -5.589721e-01 2.741829e+00,4.579087e-02 -5.591658e-01 2.741431e+00,4.570338e-02 -5.592527e-01 2.741064e+00,4.546163e-02 -5.593808e-01 2.740717e+00
2.009868e-01 -5.697861e-01 2.715687e+00,2.004571e-01 -5.696034e-01 2.710876e+00,2.033370e-01 -5.689215e-01 2.693862e+00,2.085132e-01 -5.288118e-01 2.663605e+00,2.190689e-01 -5.287642e-01 2.599175e+00,2.120501e-01 -3.744619e-01 2.472700e+00,2.009681e-01 -2.828016e-01 2.388475e+00,1.509213e-01 -1.562765e-02 2.312410e+00,1.175073e-01 8.819541e-02 2.327391e+00,8.029491e-02 1.660925e-01 2.349651e+00,1.508026e-02 3.122560e-01 2.363370e+00,-5.762769e-03 3.388095e-01 2.371248e+00,-4.228165e-02 4.101472e-01 2.380046e+00,-4.559825e-02 4.143570e-01 2.384250e+00,-5.140661e-02 4.158145e-01 2.391551e+00,-3.986418e-02 3.861658e-01 2.402868e+00,-2.500202e-02 3.550506e-01 2.409845e+00,3.016944e-02 2.391460e-01 2.431682e+00,5.918213e-02 1.816998e-01 2.445577e+00,1.327556e-01 2.799495e-02 2.422595e+00,1.734034e-01 -7.215595e-02 2.424128e+00,1.432195e-01 -2.158734e-01 2.306328e+00,2.778123e-01 -3.810059e-01 2.495558e+00,2.911273e-01 -4.426317e-01 2.546767e+00,2.990189e-01 -4.821798e-01 2.599775e+00,2.924604e-01 -5.354428e-01 2.681979e+00,2.822005e-01 -5.494178e-01 2.709134e+00,2.515285e-01 -5.596212e-01 2.728449e+00,2.332086e-01 -5.367708e-01 2.730810e+00,2.215426e-01 -5.511267e-01 2.723262e+00,2.250954e-01 -5.383821e-01 2.729830e+00,2.232116e-01 -5.367313e-01 2.727159e+00,2.164972e-01 -5.664339e-01 2.718034e+00,2.167916e-01 -5.681502e-01 2.716504e+00,2.143183e-01 -5.693864e-01 2.713525e+00,2.133154e-01 -5.685450e-01 2.710448e+00,2.142961e-01 -5.676676e-01 2.711366e+00,2.120985e-01 -5.682896e-01 2.710085e+00,2.102738e-01 -5.673482e-01 2.707696e+00,2.107946e-01 -5.677125e-01 2.706592e+00,2.101531e-01 -5.670419e-01 2.706165e+00,2.102913e-01 -5.668231e-01 2.704167e+00
-2.923402e-02 -5.515287e-01 2.712528e+00,-2.920882e-02 -5.517517e-01 2.712037e+00,-3.302888e-02 -5.518695e-01 2.708901e+00,-3.448405e-02 -5.521179e-01 2.707280e+00,-3.511366e-02 -5.513193e-01 2.705221e+00,-3.948147e-02 -5.500022e-01 2.702906e+00,-4.299146e-02 -5.498410e-01 2.702341e+00,-4.412935e-02 -5.507923e-01 2.702716e+00,-4.861539e-02 -5.515038e-01 2.705562e+00,-4.873047e-02 -5.523341e-01 2.706272e+00,-4.942700e-02 -5.506423e-01 2.705050e+00,-4.968989e-02 -5.473201e-01 2.703028e+00,-4.818013e-02 -5.354624e-01 2.705649e+00,-4.627292e-02 -5.324667e-01 2.704404e+00,-4.560882e-02 -5.323361e-01 2.703356e+00,-4.420673e-02 -5.319560e-01 2.704659e+00,-4.393815e-02 -5.320608e-01 2.704112e+00,-4.136075e-02 -5.396165e-01 2.708025e+00,-3.901845e-02 -5.471356e-01 2.713652e+00,-3.884096e-02 -5.477147e-01 2.715146e+00,-3.766399e-02 -5.486704e-01 2.715492e+00,-3.754123e-02 -5.506881e-01 2.716209e+00,-3.852188e-02 -5.513515e-01 2.717011e+00,-3.890939e-02 -5.510165e-01 2.716922e+00,-3.882073e-02 -5.509896e-01 2.716912e+00,-3.796406e-02 -5.508514e-01 2.716076e+00,-3.658513e-02 -5.513163e-01 2.714900e+00,-3.289994e-02 -5.519419e-01 2.712445e+00,-3.159640e-02 -5.522927e-01 2.711666e+00,-2.687000e-02 -5.522208e-01 2.710657e+00,-2.520372e-02 -5.525366e-01 2.710208e+00,-2.504415e-02 -5.525832e-01 2.710151e+00,-2.389641e-02 -5.513407e-01 2.708606e+00,-2.376024e-02 -5.512881e-01 2.708082e+00,-2.336418e-02 -5.513945e-01 2.707169e+00,-2.320285e-02 -5.515830e-01 2.707075e+00,-2.295259e-02 -5.517269e-01 2.706892e+00,-2.310425e-02 -5.518901e-01 2.706320e+00,-2.313380e-02 -5.519041e-01 2.706041e+00,-2.302401e-02 -5.520966e-01 2.705535e+00,-2.309317e-02 -5.521758e-01 2.705123e+00,-2.332407e-02 -5.523358e-01 2.704755e+00
-1.671291e-02 -9.020382e-01 2.749921e+00,-1.578004e-02 -9.069504e-01 2.749967e+00,-1.878530e-02 -9.022641e-01 2.747097e+00,-1.798135e-02 -9.023419e-01 2.746722e+00,-1.917214e-02 -9.012445e-01 2.745439e+00,-2.128815e-02 -8.993158e-01 2.742564e+00,-2.137229e-02 -8.910452e-01 2.736269e+00,-1.951337e-02 -8.901634e-01 2.732601e+00,-1.862741e-02 -8.884072e-01 2.730162e+00,-1.776183e-02 -8.885696e-01 2.729678e+00,-1.666537e-02 -8.882198e-01 2.729005e+00,-1.493391e-02 -8.880996e-01 2.728580e+00,-1.144657e-02 -8.849216e-01 2.727479e+00,-1.132595e-02 -8.849558e-01 2.727441e+00,-9.127492e-03 -8.872597e-01 2.728251e+00,-4.563837e-03 -8.918619e-01 2.729008e+00,-3.423694e-03 -8.903517e-01 2.729331e+00,-1.792407e-03 -8.904116e-01 2.730481e+00,-2.180393e-03 -8.943377e-01 2.732879e+00,-2.037081e-03 -8.928006e-01 2.733607e+00,-3.612636e-03 -9.081088e-01 2.742184e+00,3.836381e-05 -9.163147e-01 2.749767e+00,-1.122980e-02 -9.097430e-01 2.754321e+00,-1.237918e-02 -9.078639e-01 2.753854e+00,-1.217975e-02 -9.074715e-01 2.753683e+00,-1.081541e-02 -9.070306e-01 2.752834e+00,-1.004561e-02 -9.073835e-01 2.752988e+00,-8.268324e-03 -9.053019e-01 2.752506e+00,-7.790353e-03 -9.056229e-01 2.752671e+00,-1.929534e-03 -9.159085e-01 2.756313e+00,-5.133145e-03 -9.000925e-01 2.751666e+00,-3.529907e-03 -8.997808e-01 2.751394e+00,-2.791130e-03 -8.989123e-01 2.750704e+00,-2.724663e-03 -8.981414e-01 2.750385e+00,-2.948927e-03 -9.006248e-01 2.749950e+00,-2.638143e-03 -8.998956e-01 2.749729e+00,-2.618445e-03 -9.006068e-01 2.749542e+00,-3.686368e-03 -9.013243e-01 2.749243e+00,-3.706642e-03 -9.012955e-01 2.749270e+00,-3.848147e-03 -9.006189e-01 2.748862e+00,-3.891145e-03 -8.993849e-01 2.748447e+00,-5.805066e-04 -9.146276e-01 2.751526e+00
-2.074744e-02 -1.208650e+00 2.763061e+00,-2.105143e-02 -1.208515e+00 2.763108e+00,-2.283044e-02 -1.205962e+00 2.764122e+00,-2.280090e-02 -1.205809e+00 2.764392e+00,-2.258154e-02 -1.205904e+00 2.764174e+00,-2.281950e-02 -1.208810e+00 2.761966e+00,-2.279826e-02 -1.209012e+00 2.761568e+00,-2.321385e-02 -1.210533e+00 2.758313e+00,-2.178964e-02 -1.217800e+00 2.749637e+00,-2.233040e-02 -1.217697e+00 2.749206e+00,-2.485567e-02 -1.216766e+00 2.743438e+00,-2.399030e-02 -1.216607e+00 2.741571e+00,-2.331766e-02 -1.216101e+00 2.733730e+00,-2.360503e-02 -1.216262e+00 2.731150e+00,-2.333070e-02 -1.214619e+00 2.732194e+00,-1.949930e-02 -1.218623e+00 2.728614e+00,-2.035240e-02 -1.217077e+00 2.729766e+00,-2.068157e-02 -1.216724e+00 2.730852e+00,-1.999684e-02 -1.210802e+00 2.738306e+00,-2.043808e-02 -1.209052e+00 2.747041e+00,-2.074471e-02 -1.210293e+00 2.748891e+00,-2.109305e-02 -1.210004e+00 2.751264e+00,-2.187542e-02 -1.208564e+00 2.758829e+00,-2.224436e-02 -1.208999e+00 2.759447e+00,-1.632782e-02 -1.210716e+00 2.760216e+00,-1.640747e-02 -1.210042e+00 2.761346e+00,-1.396155e-02 -1.213103e+00 2.758379e+00,-1.643086e-02 -1.211018e+00 2.759890e+00,-1.698158e-02 -1.211733e+00 2.759284e+00,-1.656856e-02 -1.208927e+00 2.762098e+00,-1.699954e-02 -1.208836e+00 2.762244e+00,-1.716626e-02 -1.208980e+00 2.762338e+00,-1.851612e-02 -1.215087e+00 2.757125e+00,-1.731725e-02 -1.219951e+00 2.753138e+00,-1.693428e-02 -1.217107e+00 2.756273e+00,-1.737619e-02 -1.215308e+00 2.757894e+00,-1.572994e-02 -1.215412e+00 2.758219e+00,-1.928167e-02 -1.212816e+00 2.758939e+00,-1.907600e-02 -1.212593e+00 2.758998e+00,-2.021150e-02 -1.213513e+00 2.757708e+00,-2.883052e-02 -1.230193e+00 2.723763e+00,-2.371664e-02 -1.229593e+00 2.744288e+00
-6.415098e-03 -1.265516e+00 2.626427e+00,-9.443965e-03 -1.264779e+00 2.625033e+00,-1.325543e-02 -1.265588e+00 2.626019e+00,-1.223325e-02 -1.266211e+00 2.624163e+00,-7.725281e-03 -1.266367e+00 2.630736e+00,-7.780822e-03 -1.266680e+00 2.631557e+00,-1.076769e-02 -1.266658e+00 2.634097e+00,-9.377091e-03 -1.266324e+00 2.629928e+00,-8.822544e-03 -1.267383e+00 2.629814e+00,-1.064464e-02 -1.266702e+00 2.625337e+00,-1.237980e-02 -1.267591e+00 2.604255e+00,-1.414854e-02 -1.266602e+00 2.604501e+00,-1.200686e-02 -1.266772e+00 2.606015e+00,-1.153173e-02 -1.266109e+00 2.604973e+00,-6.664211e-03 -1.265174e+00 2.610406e+00,-3.920068e-03 -1.267517e+00 2.608829e+00,1.239747e-03 -1.268952e+00 2.613428e+00,1.594130e-03 -1.268682e+00 2.614743e+00,-2.266504e-04 -1.268054e+00 2.625815e+00,-1.043345e-03 -1.264985e+00 2.625453e+00,-2.625598e-03 -1.265687e+00 2.624596e+00,-2.849029e-03 -1.266268e+00 2.619922e+00,-7.307712e-03 -1.267111e+00 2.630563e+00,-1.079993e-02 -1.266003e+00 2.626882e+00,-1.105041e-02 -1.265613e+00 2.628199e+00,-1.036755e-02 -1.264109e+00 2.618899e+00,-2.047291e-02 -1.266501e+00 2.597520e+00,-1.423244e-02 -1.266880e+00 2.613146e+00,-1.012523e-02 -1.265966e+00 2.620400e+00,-5.372861e-03 -1.265547e+00 2.623210e+00,-6.898675e-03 -1.265575e+00 2.629454e+00,-6.560748e-03 -1.264954e+00 2.624176e+00,-8.443287e-03 -1.263836e+00 2.622439e+00,-4.201205e-03 -1.265640e+00 2.630696e+00,-3.893019e-03 -1.263853e+00 2.629705e+00,-4.624480e-03 -1.263827e+00 2.629044e+00,-4.646558e-03 -1.263920e+00 2.629138e+00,-7.539390e-03 -1.264953e+00 2.626572e+00,-6.496813e-03 -1.265555e+00 2.633131e+00,-1.262234e-03 -1.266155e+00 2.615781e+00,-3.168238e-02 -1.272344e+00 2.598508e+00,-3.055266e-02 -1.269606e+00 2.604825e+00
1.070968e-01 -5.513113e-01 2.715363e+00,1.071456e-01 -5.512544e-01 2.714167e+00,1.028189e-01 -5.494985e-01 2.709325e+00,1.010190e-01 -5.506852e-01 2.706774e+00,1.004257e-01 -5.509783e-01 2.703795e+00,9.555005e-02 -5.510553e-01 2.696799e+00,9.086405e-02 -5.516319e-01 2.691990e+00,8.834112e-02 -5.523520e-01 2.681265e+00,8.495722e-02 -5.535148e-01 2.677192e+00,8.518719e-02 -5.538576e-01 2.675378e+00,8.630763e-02 -5.414606e-01 2.668177e+00,8.581167e-02 -5.355189e-01 2.665193e+00,8.247256e-02 -5.218214e-01 2.662853e+00,8.325225e-02 -5.193665e-01 2.662125e+00,8.475063e-02 -5.165312e-01 2.663038e+00,8.571146e-02 -5.165187e-01 2.661754e+00,8.606286e-02 -5.164645e-01 2.662080e+00,8.786453e-02 -5.248358e-01 2.664013e+00,8.806422e-02 -5.309219e-01 2.664394e+00,8.798112e-02 -5.369706e-01 2.668440e+00,9.085333e-02 -5.420133e-01 2.675400e+00,9.191175e-02 -5.466319e-01 2.679183e+00,9.130813e-02 -5.519221e-01 2.690321e+00,9.184741e-02 -5.520960e-01 2.692602e+00,9.393957e-02 -5.523826e-01 2.696167e+00,9.751125e-02 -5.534135e-01 2.701273e+00,9.922132e-02 -5.537835e-01 2.702678e+00,1.032990e-01 -5.544605e-01 2.705364e+00,1.050571e-01 -5.534217e-01 2.706328e+00,1.109618e-01 -5.527709e-01 2.710675e+00,1.126098e-01 -5.516613e-01 2.711408e+00,1.126426e-01 -5.519485e-01 2.711720e+00,1.132214e-01 -5.523632e-01 2.711898e+00,1.132860e-01 -5.525636e-01 2.711767e+00,1.138281e-01 -5.518248e-01 2.710915e+00,1.139417e-01 -5.518842e-01 2.710838e+00,1.143935e-01 -5.512752e-01 2.710380e+00,1.140672e-01 -5.520204e-01 2.709585e+00,1.140452e-01 -5.515639e-01 2.709111e+00,1.139886e-01 -5.518317e-01 2.708791e+00,1.138345e-01 -5.519658e-01 2.708458e+00,1.135245e-01 -5.521042e-01 2.708120e+00
7.899437e-02 -9.302155e-01 2.767459e+00,7.971349e-02 -9.292039e-01 2.766440e+00,7.691240e-02 -9.285910e-01 2.764908e+00,7.821833e-02 -9.257864e-01 2.763022e+00,7.441117e-02 -9.274791e-01 2.761483e+00,6.997051e-02 -9.288712e-01 2.757722e+00,7.516162e-02 -8.776297e-01 2.734593e+00,7.471650e-02 -8.998361e-01 2.735685e+00,6.590019e-02 -9.080904e-01 2.736021e+00,6.279831e-02 -9.146180e-01 2.737637e+00,6.333340e-02 -9.170536e-01 2.737249e+00,6.964988e-02 -9.413353e-01 2.740659e+00,6.367715e-02 -8.833879e-01 2.726524e+00,6.980471e-02 -8.768250e-01 2.723248e+00,7.081129e-02 -8.752601e-01 2.722799e+00,7.624119e-02 -8.712983e-01 2.721489e+00,7.882166e-02 -8.707182e-01 2.721811e+00,9.035733e-02 -8.816803e-01 2.726754e+00,8.695694e-02 -9.090436e-01 2.740370e+00,8.555987e-02 -9.109347e-01 2.742393e+00,8.631456e-02 -9.128886e-01 2.744824e+00,8.481073e-02 -9.211619e-01 2.752998e+00,8.603140e-02 -9.265820e-01 2.760805e+00,8.596674e-02 -9.266242e-01 2.761281e+00,8.584160e-02 -9.263052e-01 2.761500e+00,8.571050e-02 -9.261674e-01 2.762896e+00,8.526970e-02 -9.272541e-01 2.764670e+00,8.447012e-02 -9.273756e-01 2.766129e+00,8.417272e-02 -9.271367e-01 2.766478e+00,8.365498e-02 -9.279989e-01 2.768050e+00,8.364182e-02 -9.282662e-01 2.768364e+00,8.367057e-02 -9.288847e-01 2.768740e+00,8.376747e-02 -9.286761e-01 2.768762e+00,8.391725e-02 -9.286366e-01 2.768695e+00,8.367027e-02 -9.292285e-01 2.768404e+00,8.365751e-02 -9.292464e-01 2.768385e+00,8.371424e-02 -9.294612e-01 2.768331e+00,8.367206e-02 -9.293565e-01 2.768040e+00,8.365326e-02 -9.293703e-01 2.768030e+00,8.346044e-02 -9.291784e-01 2.767277e+00,8.379930e-02 -9.287534e-01 2.766861e+00,8.393937e-02 -9.281150e-01 2.766475e+00
7.252632e-02 -1.225330e+00 2.756885e+00,7.271156e-02 -1.224881e+00 2.756770e+00,7.523426e-02 -1.217868e+00 2.760322e+00,7.470444e-02 -1.217614e+00 2.759734e+00,7.468083e-02 -1.218000e+00 2.759545e+00,7.471241e-02 -1.216736e+00 2.761657e+00,7.350780e-02 -1.207584e+00 2.757987e+00,7.259119e-02 -1.219342e+00 2.757251e+00,7.355721e-02 -1.220207e+00 2.754447e+00,7.347324e-02 -1.220345e+00 2.752260e+00,7.359985e-02 -1.220946e+00 2.745235e+00,7.764203e-02 -1.223349e+00 2.738345e+00,7.798363e-02 -1.214291e+00 2.735524e+00,7.934070e-02 -1.207962e+00 2.731810e+00,7.936601e-02 -1.206422e+00 2.731503e+00,7.939177e-02 -1.202692e+00 2.728440e+00,8.111393e-02 -1.201645e+00 2.735395e+00,8.096435e-02 -1.212753e+00 2.736334e+00,8.133975e-02 -1.214823e+00 2.739141e+00,8.048711e-02 -1.211497e+00 2.747255e+00,8.102963e-02 -1.205018e+00 2.757071e+00,8.084265e-02 -1.202953e+00 2.759812e+00,8.035001e-02 -1.208340e+00 2.760796e+00,8.210189e-02 -1.204924e+00 2.763448e+00,8.040443e-02 -1.207324e+00 2.763481e+00,8.224903e-02 -1.238858e+00 2.738527e+00,8.404692e-02 -1.244799e+00 2.736572e+00,7.899035e-02 -1.226432e+00 2.749882e+00,7.760022e-02 -1.227404e+00 2.750232e+00,7.397515e-02 -1.229841e+00 2.748411e+00,8.429184e-02 -1.201266e+00 2.771943e+00,8.428505e-02 -1.201541e+00 2.771906e+00,7.707552e-02 -1.223892e+00 2.755086e+00,7.711194e-02 -1.224662e+00 2.754648e+00,7.570557e-02 -1.223713e+00 2.753081e+00,7.826234e-02 -1.215029e+00 2.761113e+00,7.927734e-02 -1.208212e+00 2.763568e+00,7.420878e-02 -1.217449e+00 2.760094e+00,8.082628e-02 -1.235363e+00 2.742975e+00,7.591853e-02 -1.232518e+00 2.746665e+00,7.611133e-02 -1.232904e+00 2.746775e+00,7.708453e-02 -1.226375e+00 2.750219e+00
6.538446e-02 -1.267514e+00 2.623970e+00,6.732889e-02 -1.265928e+00 2.619164e+00,7.098739e-02 -1.266072e+00 2.621599e+00,7.116463e-02 -1.266472e+00 2.625093e+00,7.856156e-02 -1.267668e+00 2.626584e+00,7.525249e-02 -1.266601e+00 2.623912e+00,7.345216e-02 -1.266601e+00 2.624119e+00,6.816658e-02 -1.267445e+00 2.630064e+00,6.811563e-02 -1.267948e+00 2.619798e+00,6.817247e-02 -1.267781e+00 2.619611e+00,6.734931e-02 -1.267267e+00 2.622503e+00,6.296669e-02 -1.267292e+00 2.605336e+00,6.428757e-02 -1.266026e+00 2.600452e+00,6.446321e-02 -1.267172e+00 2.602325e+00,6.461000e-02 -1.267754e+00 2.602241e+00,6.386289e-02 -1.268293e+00 2.602484e+00,6.486276e-02 -1.267738e+00 2.604325e+00,6.455841e-02 -1.268402e+00 2.615566e+00,6.589369e-02 -1.269349e+00 2.616238e+00,6.635298e-02 -1.268330e+00 2.613652e+00,7.182535e-02 -1.269471e+00 2.617050e+00,7.034629e-02 -1.269487e+00 2.614058e+00,7.046110e-02 -1.268689e+00 2.614625e+00,7.111956e-02 -1.267089e+00 2.613568e+00,6.582904e-02 -1.267323e+00 2.623707e+00,6.979240e-02 -1.272870e+00 2.609518e+00,7.225425e-02 -1.273478e+00 2.605104e+00,7.006948e-02 -1.269175e+00 2.625134e+00,6.746155e-02 -1.271473e+00 2.626421e+00,7.169567e-02 -1.270107e+00 2.621920e+00,7.149313e-02 -1.266961e+00 2.624954e+00,7.152805e-02 -1.269535e+00 2.619573e+00,7.810363e-02 -1.267196e+00 2.621884e+00,7.592678e-02 -1.267742e+00 2.620330e+00,8.362912e-02 -1.268461e+00 2.624012e+00,8.151728e-02 -1.267606e+00 2.634355e+00,7.932544e-02 -1.268050e+00 2.635802e+00,6.628673e-02 -1.268422e+00 2.631155e+00,6.502382e-02 -1.280363e+00 2.620599e+00,7.354815e-02 -1.269247e+00 2.618275e+00,7.159313e-02 -1.271512e+00 2.619447e+00,7.317630e-02 -1.270171e+00 2.625808e+00
3.422983e-02 -5.083055e-02 2.781314e+00,3.362574e-02 -5.040712e-02 2.779352e+00,3.266427e-02 -4.959040e-02 2.776377e+00,3.218966e-02 -4.940472e-02 2.775218e+00,3.155525e-02 -4.857350e-02 2.771450e+00,3.048867e-02 -4.773667e-02 2.768446e+00,3.072111e-02 -4.701221e-02 2.766078e+00,3.154269e-02 -4.505616e-02 2.761195e+00,3.311745e-02 -4.403187e-02 2.758536e+00,3.318199e-02 -4.227496e-02 2.756220e+00,3.417634e-02 -3.276727e-02 2.746059e+00,3.359744e-02 -2.995660e-02 2.744971e+00,4.084986e-02 -1.805579e-02 2.726827e+00,4.451776e-02 -1.740906e-02 2.718104e+00,4.440025e-02 -1.666290e-02 2.717645e+00,4.382280e-02 -1.622415e-02 2.717988e+00,4.342766e-02 -1.603358e-02 2.718260e+00,3.985563e-02 -1.795123e-02 2.722574e+00,3.834449e-02 -2.147505e-02 2.727943e+00,3.813812e-02 -2.537225e-02 2.734541e+00,3.693812e-02 -3.053238e-02 2.739165e+00,3.640334e-02 -3.675845e-02 2.742109e+00,3.832462e-02 -4.076858e-02 2.745599e+00,3.861275e-02 -4.141129e-02 2.746125e+00,3.938485e-02 -4.208030e-02 2.747022e+00,4.057963e-02 -4.312558e-02 2.748201e+00,4.154030e-02 -4.407909e-02 2.748734e+00,4.519077e-02 -4.589696e-02 2.750732e+00,4.659371e-02 -4.652214e-02 2.751844e+00,4.836916e-02 -4.723961e-02 2.753253e+00,4.858054e-02 -4.746930e-02 2.753589e+00,4.887256e-02 -4.805753e-02 2.754641e+00,4.876031e-02 -4.891494e-02 2.755187e+00,4.868868e-02 -4.913272e-02 2.755403e+00,4.808804e-02 -4.991836e-02 2.755734e+00,4.778309e-02 -5.028312e-02 2.755970e+00,4.769672e-02 -5.040717e-02 2.755878e+00,4.707272e-02 -5.091662e-02 2.755784e+00,4.674415e-02 -5.099198e-02 2.755647e+00,4.580687e-02 -5.106197e-02 2.755543e+00,4.550466e-02 -5.112115e-02 2.755559e+00,4.504706e-02 -5.119374e-02 2.755748e+00
-1.512839e-01 -5.860262e-01 2.651448e+00,-1.500398e-01 -5.846862e-01 2.650783e+00,-1.499248e-01 -5.842469e-01 2.648784e+00,-1.471596e-01 -5.912659e-01 2.642692e+00,-1.510836e-01 -5.852533e-01 2.647949e+00,-1.501804e-01 -5.732880e-01 2.653462e+00,-1.490292e-01 -5.743383e-01 2.659712e+00,-1.580651e-01 -5.772003e-01 2.643954e+00,-1.492781e-01 -5.639824e-01 2.661330e+00,-1.605484e-01 -5.593536e-01 2.659045e+00,-1.522757e-01 -5.663919e-01 2.662105e+00,-1.540212e-01 -5.584696e-01 2.660676e+00,-1.502669e-01 -5.627722e-01 2.670824e+00,-1.501423e-01 -5.639433e-01 2.679107e+00,-1.503845e-01 -5.651263e-01 2.685196e+00,-1.521292e-01 -5.653706e-01 2.688030e+00,-1.523402e-01 -5.666333e-01 2.692012e+00,-1.388986e-01 -5.741773e-01 2.691306e+00,-1.510191e-01 -5.728043e-01 2.701745e+00,-1.562598e-01 -5.812994e-01 2.699663e+00,-1.540900e-01 -5.895349e-01 2.700456e+00,-1.541660e-01 -5.971871e-01 2.701948e+00,-1.636211e-01 -5.848818e-01 2.710464e+00,-1.558210e-01 -5.856978e-01 2.714436e+00,-1.601491e-01 -5.880111e-01 2.699122e+00,-1.454600e-01 -5.917896e-01 2.677450e+00,-1.286647e-01 -5.933905e-01 2.657448e+00,-1.277378e-01 -5.819228e-01 2.638122e+00,-1.256334e-01 -5.881040e-01 2.644451e+00,-1.148383e-01 -5.839729e-01 2.645157e+00,-1.193542e-01 -5.846993e-01 2.642884e+00,-1.194832e-01 -5.852991e-01 2.645598e+00,-1.235948e-01 -5.698380e-01 2.652138e+00,-1.365607e-01 -5.849457e-01 2.646452e+00,-1.397565e-01 -5.760162e-01 2.638458e+00,-1.354571e-01 -5.841964e-01 2.648454e+00,-1.315102e-01 -5.842825e-01 2.646654e+00,-1.356608e-01 -5.742491e-01 2.652297e+00,-1.329378e-01 -5.717017e-01 2.646021e+00,-1.315381e-01 -5.713838e-01 2.651391e+00,-1.281977e-01 -5.877210e-01 2.648118e+00,-1.413501e-01 -5.716554e-01 2.649036e+00
-1.685165e-01 -5.270699e-01 2.646508e+00,-1.704829e-01 -5.257956e-01 2.641886e+00,-1.718517e-01 -5.279709e-01 2.639109e+00,-1.702510e-01 -5.373556e-01 2.639929e+00,-1.719451e-01 -5.333761e-01 2.642187e+00,-1.700650e-01 -5.321030e-01 2.642439e+00,-1.718467e-01 -5.463578e-01 2.644200e+00,-1.724322e-01 -5.272499e-01 2.638412e+00,-1.694725e-01 -5.385403e-01 2.641104e+00,-1.762799e-01 -4.905117e-01 2.656444e+00,-1.774721e-01 -5.064732e-01 2.647143e+00,-1.748666e-01 -5.020083e-01 2.653758e+00,-1.740619e-01 -4.979950e-01 2.659999e+00,-1.743042e-01 -4.786310e-01 2.675222e+00,-1.749891e-01 -5.061683e-01 2.675847e+00,-1.689963e-01 -5.083678e-01 2.681834e+00,-1.681242e-01 -5.315804e-01 2.681444e+00,-1.537036e-01 -5.451568e-01 2.700333e+00,-1.672134e-01 -5.273135e-01 2.692778e+00,-1.695078e-01 -5.270810e-01 2.700083e+00,-1.748861e-01 -5.371621e-01 2.695357e+00,-1.742840e-01 -5.555789e-01 2.698750e+00,-1.768781e-01 -5.113851e-01 2.709125e+00,-1.782963e-01 -5.188739e-01 2.699667e+00,-1.756082e-01 -5.262243e-01 2.686765e+00,-1.686812e-01 -5.385286e-01 2.662300e+00,-1.653596e-01 -5.325096e-01 2.643857e+00,-1.530270e-01 -5.326661e-01 2.626786e+00,-1.495214e-01 -5.276587e-01 2.632199e+00,-1.416959e-01 -5.585840e-01 2.629445e+00,-1.463183e-01 -5.461898e-01 2.630592e+00,-1.478083e-01 -5.449868e-01 2.629001e+00,-1.490748e-01 -5.377973e-01 2.632600e+00,-1.555297e-01 -5.190088e-01 2.642857e+00,-1.512905e-01 -5.274795e-01 2.637073e+00,-1.537362e-01 -5.249186e-01 2.638801e+00,-1.572125e-01 -5.117663e-01 2.639800e+00,-1.558599e-01 -5.361187e-01 2.636000e+00,-1.551592e-01 -5.314988e-01 2.637615e+00,-1.624660e-01 -5.053591e-01 2.641778e+00,-1.499104e-01 -5.683722e-01 2.639600e+00,-1.575717e-01 -5.363835e-01 2.634500e+00
